Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2015,22.21,10.80,25.10,17.47,25.01,14.31,23.69,19.57,10.97,14.26,22.53
2016,22.15,11.14,25.04,17.75,24.97,14.43,23.48,19.65,11.26,14.51,22.38
2017,22.46,11.25,25.11,17.81,25.28,14.65,23.88,19.76,11.10,14.39,22.80
2018,22.23,11.21,25.16,17.68,25.16,14.68,23.78,19.53,11.14,14.39,22.36
2019,21.96,11.07,25.04,17.65,24.65,14.53,23.16,19.58,11.18,14.32,22.28
2020,22.45,11.13,25.05,17.75,25.25,14.64,23.68,19.90,11.12,14.27,22.92
2021,22.28,11.15,25.19,17.80,25.01,14.53,23.71,19.46,11.21,14.46,22.62
2022,22.26,11.18,25.11,17.76,24.99,14.53,23.51,19.81,11.36,14.59,22.62
2023,22.55,11.17,25.21,17.82,25.49,14.53,23.95,19.83,11.25,14.59,22.86
2024,22.60,11.37,25.22,18.10,25.35,14.73,24.05,19.96,11.35,14.63,22.88
2025,22.55,11.23,25.07,18.10,25.38,14.86,23.99,19.80,11.39,14.53,22.84
2026,22.66,11.60,25.25,18.21,25.56,14.93,24.26,20.02,11.49,14.71,22.74
2027,22.57,11.50,25.26,17.97,25.36,14.82,23.81,19.91,11.44,14.73,23.03
2028,22.67,11.36,25.49,18.11,25.48,14.75,24.15,19.95,11.26,14.54,22.96
2029,22.42,11.00,25.19,17.63,25.37,14.57,23.61,19.77,11.29,14.47,22.89
2030,22.66,11.47,25.20,18.16,25.54,15.05,24.11,19.98,11.32,14.70,22.90
2031,22.58,11.34,25.34,17.92,25.40,14.82,23.96,20.00,11.59,14.75,22.90
2032,22.32,11.31,25.08,17.84,25.17,14.58,23.65,19.83,11.56,14.64,22.55
2033,22.80,11.42,25.30,18.23,25.79,14.89,24.16,20.14,11.55,14.75,23.05
2034,22.79,11.50,25.37,18.18,25.70,14.97,24.19,20.19,11.64,14.89,23.03
2035,22.83,11.43,25.37,18.11,25.91,15.00,24.19,20.07,11.38,14.63,23.13
2036,22.56,11.39,25.41,17.89,25.24,14.75,23.83,19.96,11.46,14.74,23.04
2037,22.31,11.29,25.29,17.91,24.87,14.77,23.65,19.85,11.36,14.66,22.64
2038,22.76,11.40,25.46,18.20,25.65,14.99,24.10,19.96,11.38,14.66,23.14
2039,22.67,11.50,25.19,18.16,25.71,14.78,24.23,20.12,11.38,14.69,22.71
2040,22.58,11.45,25.35,18.09,25.44,14.96,23.94,19.92,11.27,14.57,22.88
2041,22.54,11.23,25.63,18.07,25.17,14.73,24.11,19.84,11.25,14.41,22.81
2042,22.52,11.32,25.42,17.94,25.41,14.85,23.87,19.85,11.63,14.74,22.81
2043,22.53,11.08,25.17,17.89,25.34,14.60,23.58,20.11,11.61,14.78,23.04
2044,22.83,11.48,25.37,18.26,25.83,14.87,24.45,20.04,11.38,14.69,22.96
2045,23.18,11.85,25.47,18.54,26.12,15.22,24.62,20.39,11.62,14.93,23.48
2046,22.85,11.67,25.30,18.30,25.92,15.00,24.22,20.12,11.28,14.79,23.09
2047,22.71,11.72,25.30,18.34,25.41,15.17,24.03,20.06,11.58,14.76,23.06
2048,22.68,11.38,25.28,18.10,25.51,14.64,23.96,19.99,11.43,14.79,23.07
2049,22.89,11.40,25.50,18.23,25.67,14.97,24.33,20.36,11.68,14.93,23.18
2050,22.81,11.46,25.52,18.29,25.67,15.03,24.35,20.06,11.57,14.92,22.99
2051,22.89,11.75,25.47,18.48,25.68,15.06,24.10,20.33,11.70,15.00,23.28
2052,22.85,11.71,25.28,18.39,25.79,14.96,24.22,20.25,11.51,14.93,23.06
2053,22.55,11.45,25.42,18.00,25.33,14.85,23.84,19.98,11.71,14.87,22.87
2054,22.81,11.61,25.26,18.41,25.65,15.14,24.41,20.09,11.66,14.80,22.93
2055,22.42,11.30,25.37,17.71,25.16,14.85,23.65,19.88,11.57,14.75,22.86
2056,22.48,11.40,25.30,17.95,25.17,14.82,23.82,19.87,11.53,14.74,22.86
2057,22.54,11.39,25.32,18.01,25.35,14.81,23.98,19.99,11.44,14.75,22.77
2058,22.80,11.85,25.36,18.32,25.57,15.11,24.23,20.21,11.25,14.82,23.06
2059,22.72,11.54,25.54,18.23,25.39,15.04,24.12,20.12,11.45,14.85,23.07
2060,22.68,11.53,25.40,18.43,25.40,15.00,24.19,20.14,11.36,14.76,22.81
2061,22.77,11.49,25.25,18.18,25.59,14.79,24.20,19.97,11.32,14.71,23.14
2062,22.72,11.77,25.26,18.38,25.53,15.02,24.13,20.11,11.41,14.84,22.94
2063,22.88,11.77,25.27,18.43,25.77,15.25,24.19,20.27,11.45,14.89,23.16
