Variable:,tasmin
,Fiji,Central,Eastern,Northern,Western
2015,21.82,21.95,23.07,22.09,22.63
2016,21.79,21.89,22.98,22.10,22.56
2017,21.86,21.96,23.06,22.15,22.61
2018,21.72,21.84,22.97,22.02,22.48
2019,21.99,22.08,23.18,22.26,22.75
2020,21.96,22.05,23.12,22.27,22.74
2021,22.00,22.08,23.15,22.29,22.74
2022,21.97,22.07,23.18,22.27,22.72
2023,21.95,22.08,23.17,22.20,22.74
2024,22.12,22.23,23.32,22.39,22.89
2025,22.12,22.23,23.33,22.40,22.89
2026,22.09,22.17,23.29,22.40,22.84
2027,22.12,22.24,23.35,22.39,22.90
2028,22.12,22.23,23.31,22.40,22.88
2029,22.05,22.12,23.21,22.35,22.80
2030,22.18,22.32,23.42,22.43,22.99
2031,22.09,22.17,23.27,22.38,22.85
2032,22.07,22.15,23.23,22.37,22.80
2033,22.30,22.42,23.48,22.56,23.09
2034,22.15,22.24,23.35,22.46,22.92
2035,22.27,22.38,23.48,22.53,23.07
2036,22.16,22.26,23.38,22.47,22.95
2037,22.22,22.34,23.46,22.50,23.00
2038,22.25,22.37,23.49,22.52,23.03
2039,22.40,22.48,23.58,22.68,23.15
2040,22.28,22.36,23.49,22.57,23.02
2041,22.41,22.53,23.63,22.70,23.20
2042,22.34,22.46,23.56,22.59,23.13
2043,22.44,22.49,23.62,22.75,23.17
2044,22.41,22.50,23.59,22.70,23.18
2045,22.54,22.66,23.75,22.81,23.29
2046,22.51,22.60,23.69,22.80,23.27
2047,22.39,22.50,23.59,22.67,23.18
2048,22.41,22.53,23.64,22.69,23.19
2049,22.53,22.65,23.73,22.80,23.33
2050,22.51,22.61,23.69,22.79,23.28
2051,22.51,22.60,23.71,22.81,23.28
2052,22.53,22.66,23.72,22.74,23.30
2053,22.61,22.74,23.83,22.87,23.40
2054,22.64,22.75,23.84,22.95,23.39
2055,22.63,22.76,23.84,22.89,23.41
2056,22.66,22.77,23.88,22.93,23.43
2057,22.70,22.84,23.91,22.94,23.52
2058,22.62,22.70,23.81,22.93,23.39
2059,22.75,22.81,23.92,23.07,23.48
2060,22.75,22.87,23.95,23.04,23.54
2061,22.75,22.86,23.95,23.01,23.54
2062,22.67,22.76,23.86,22.97,23.44
2063,22.72,22.80,23.90,23.01,23.47
2064,22.80,22.90,23.99,23.08,23.58
2065,22.80,22.90,24.03,23.10,23.55
2066,22.83,22.94,24.00,23.08,23.62
2067,22.73,22.82,23.91,23.00,23.49
2068,22.78,22.90,23.99,23.03,23.56
2069,22.89,22.96,24.04,23.17,23.64
2070,22.94,23.06,24.14,23.21,23.74
2071,22.88,23.02,24.09,23.13,23.66
2072,22.75,22.85,23.94,23.05,23.52
2073,22.79,22.91,23.98,23.03,23.57
2074,22.90,23.01,24.14,23.18,23.67
2075,22.95,23.11,24.23,23.22,23.77
2076,22.92,23.00,24.10,23.24,23.64
2077,22.97,23.09,24.18,23.22,23.76
2078,23.18,23.29,24.40,23.47,23.97
2079,22.88,22.99,24.12,23.14,23.62
2080,22.93,23.05,24.10,23.18,23.73
2081,22.90,23.05,24.09,23.13,23.73
2082,23.10,23.23,24.31,23.34,23.88
2083,23.05,23.20,24.26,23.24,23.84
2084,23.06,23.19,24.26,23.29,23.83
2085,23.09,23.23,24.32,23.33,23.92
2086,22.97,23.09,24.18,23.25,23.76
2087,23.00,23.16,24.30,23.27,23.80
2088,22.99,23.12,24.22,23.25,23.78
2089,22.95,23.07,24.17,23.23,23.74
2090,22.98,23.08,24.16,23.25,23.75
2091,23.07,23.20,24.32,23.33,23.85
2092,22.97,23.06,24.19,23.29,23.73
2093,23.25,23.35,24.43,23.52,24.01
2094,23.30,23.43,24.51,23.57,24.09
2095,23.10,23.18,24.27,23.38,23.84
2096,23.08,23.20,24.34,23.38,23.84
2097,23.11,23.22,24.29,23.36,23.90
2098,23.11,23.21,24.28,23.40,23.87
2099,23.19,23.29,24.38,23.44,23.96
2100,23.23,23.31,24.41,23.51,23.98
