Variable:,tasmax
,Niger,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
2015,36.11,35.78,36.88,36.31,35.78,36.73,37.23,36.90,36.22
2016,36.16,35.81,37.00,36.26,35.90,36.57,37.28,36.84,36.35
2017,36.31,35.97,37.09,36.37,36.03,36.73,37.46,36.94,36.48
2018,36.19,35.86,36.95,36.33,35.86,36.73,37.31,36.97,36.26
2019,36.31,35.99,37.05,36.48,36.00,36.82,37.44,37.08,36.40
2020,36.26,35.92,37.04,36.55,35.92,36.91,37.35,37.03,36.39
2021,36.24,35.90,36.99,36.32,35.99,36.67,37.34,36.94,36.41
2022,36.59,36.30,37.34,36.58,36.15,36.95,37.64,37.17,36.66
2023,36.35,36.05,37.10,36.39,36.03,36.76,37.41,37.03,36.45
2024,36.72,36.43,37.55,36.75,36.31,37.10,37.73,37.29,36.83
2025,36.57,36.27,37.31,36.53,36.15,36.91,37.56,37.17,36.72
2026,36.57,36.23,37.34,36.72,36.30,37.07,37.70,37.34,36.74
2027,36.64,36.41,37.31,36.61,36.12,36.92,37.60,37.24,36.60
2028,36.64,36.30,37.43,36.75,36.25,37.09,37.72,37.36,36.78
2029,36.85,36.50,37.71,36.88,36.54,37.20,37.98,37.55,37.03
2030,36.67,36.39,37.50,36.52,36.27,36.88,37.64,37.19,36.79
2031,36.69,36.45,37.42,36.69,36.21,37.06,37.64,37.24,36.68
2032,36.68,36.42,37.38,36.79,36.23,37.19,37.67,37.36,36.64
2033,36.89,36.64,37.54,36.76,36.44,37.15,37.96,37.48,36.87
2034,36.71,36.38,37.49,36.99,36.41,37.36,37.81,37.39,36.84
2035,36.72,36.43,37.45,36.73,36.26,37.23,37.75,37.38,36.75
2036,36.84,36.54,37.56,36.87,36.51,37.23,37.87,37.50,36.96
2037,37.02,36.71,37.76,37.06,36.64,37.28,38.13,37.67,37.10
2038,36.93,36.57,37.73,37.07,36.70,37.45,38.06,37.67,37.08
2039,36.98,36.66,37.72,37.10,36.72,37.46,38.08,37.63,37.11
2040,36.84,36.53,37.57,36.97,36.52,37.38,37.97,37.63,36.92
2041,37.12,36.80,37.91,37.20,36.62,37.58,38.21,37.82,37.17
2042,37.14,36.84,37.92,37.20,36.74,37.53,38.21,37.78,37.23
2043,37.12,36.85,37.89,37.03,36.66,37.31,38.09,37.65,37.18
2044,36.98,36.71,37.69,36.96,36.54,37.27,38.01,37.67,37.02
2045,37.10,36.78,37.87,37.09,36.80,37.51,38.15,37.76,37.28
2046,37.22,36.91,37.97,37.21,36.92,37.52,38.28,37.82,37.37
2047,37.29,36.97,38.02,37.35,36.98,37.74,38.43,38.03,37.41
2048,37.47,37.20,38.22,37.46,36.91,37.76,38.43,38.07,37.53
2049,37.25,36.95,38.05,37.32,36.82,37.67,38.25,37.83,37.39
2050,37.26,37.01,37.95,37.22,36.77,37.59,38.26,37.85,37.24
2051,37.27,36.92,38.07,37.36,37.07,37.68,38.42,37.96,37.54
2052,37.68,37.42,38.38,37.57,37.33,37.91,38.70,38.11,37.79
2053,37.28,37.02,37.98,37.21,36.83,37.57,38.27,37.81,37.30
2054,37.51,37.21,38.21,37.51,37.14,37.84,38.62,38.15,37.59
2055,37.59,37.34,38.24,37.53,37.10,37.89,38.60,38.18,37.58
2056,37.59,37.27,38.32,37.66,37.25,38.01,38.72,38.27,37.69
2057,37.89,37.64,38.56,37.83,37.43,38.20,38.97,38.43,37.88
2058,37.60,37.35,38.31,37.70,37.10,38.04,38.57,38.21,37.58
2059,37.78,37.52,38.51,37.67,37.15,38.01,38.74,38.31,37.79
2060,37.60,37.28,38.37,37.58,37.26,38.06,38.68,38.32,37.76
2061,37.68,37.40,38.34,37.81,37.25,38.19,38.75,38.36,37.71
2062,37.77,37.49,38.54,37.68,37.41,38.01,38.73,38.31,37.95
2063,37.57,37.22,38.30,37.85,37.40,38.22,38.77,38.45,37.73
2064,37.74,37.51,38.43,37.63,37.21,37.98,38.67,38.23,37.73
2065,37.85,37.60,38.48,37.80,37.43,38.14,38.86,38.42,37.85
2066,37.84,37.51,38.60,37.92,37.50,38.35,38.94,38.55,37.97
2067,37.83,37.55,38.59,37.83,37.37,38.20,38.80,38.44,37.92
