Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
2015,15.10,15.43,16.81,10.86,22.24,9.90,17.60,20.96,18.56,22.99,8.61,15.44,15.52,11.38,21.52,10.11,11.91,15.31,9.41,16.97,7.51,19.15,21.11,4.93,15.83
2016,14.97,15.32,16.71,10.74,21.90,9.93,17.44,20.65,18.27,22.72,8.42,15.40,15.41,11.28,21.41,10.12,11.90,15.08,9.30,16.84,7.64,18.83,20.81,4.97,15.69
2017,15.12,15.44,16.76,10.89,22.13,10.01,17.66,20.79,18.39,23.00,8.52,15.56,15.62,11.53,21.53,10.21,12.04,15.22,9.53,17.10,7.72,18.98,20.97,5.07,15.72
2018,15.11,15.43,16.88,10.94,21.96,10.11,17.63,20.66,18.31,22.88,8.54,15.58,15.60,11.60,21.39,10.32,12.08,15.24,9.56,17.13,7.71,18.86,20.86,5.04,15.82
2019,15.22,15.54,16.86,11.07,22.14,10.05,17.86,20.86,18.52,22.99,8.69,15.70,15.79,11.62,21.50,10.36,12.11,15.34,9.61,17.29,7.63,19.14,21.14,4.94,15.95
2020,15.08,15.38,16.81,10.96,21.98,10.10,17.61,20.69,18.29,22.84,8.76,15.38,15.59,11.37,21.39,10.16,11.97,15.31,9.46,17.03,7.76,18.91,20.86,5.15,15.73
2021,15.21,15.52,16.82,11.12,22.29,9.93,17.86,20.95,18.55,23.14,8.80,15.47,15.82,11.55,21.58,10.15,11.93,15.48,9.65,17.21,7.70,19.14,21.13,5.17,15.96
2022,15.30,15.68,17.01,11.15,22.27,10.16,17.82,20.96,18.56,23.20,8.83,15.75,15.84,11.69,21.71,10.30,12.17,15.41,9.75,17.37,7.72,19.17,21.10,5.11,15.99
2023,15.22,15.62,16.99,10.97,22.11,10.20,17.69,20.88,18.56,22.91,8.71,15.65,15.67,11.62,21.48,10.43,12.18,15.28,9.63,17.17,7.87,19.09,20.95,5.14,15.79
2024,15.42,15.77,17.20,11.24,22.32,10.29,17.97,21.06,18.70,23.22,8.96,15.92,15.90,11.81,21.88,10.55,12.35,15.60,9.82,17.44,7.88,19.33,21.23,5.20,16.07
2025,15.32,15.63,17.23,11.26,22.40,10.04,17.89,21.16,18.72,23.35,9.05,15.55,15.94,11.64,21.89,10.27,12.03,15.67,9.78,17.19,7.69,19.27,21.22,5.10,16.13
2026,15.47,15.83,17.28,11.28,22.47,10.36,17.97,21.27,18.82,23.38,8.96,15.81,15.92,11.91,21.93,10.58,12.35,15.59,9.90,17.43,7.98,19.33,21.27,5.16,16.15
2027,15.49,15.89,17.29,11.27,22.54,10.31,17.97,21.41,18.99,23.33,8.90,15.84,15.93,11.84,21.79,10.54,12.31,15.55,9.87,17.37,7.92,19.54,21.48,5.23,16.14
2028,15.29,15.57,17.04,11.13,22.31,10.16,17.70,21.03,18.58,23.24,8.98,15.65,15.74,11.67,21.75,10.34,12.16,15.55,9.63,17.25,7.82,19.16,21.19,5.24,16.05
2029,15.43,15.65,17.11,11.34,22.47,10.22,18.03,21.12,18.73,23.30,9.13,15.78,15.97,11.88,21.78,10.54,12.29,15.63,9.93,17.41,7.85,19.41,21.35,5.26,16.16
2030,15.39,15.66,16.99,11.18,22.55,10.20,17.88,21.12,18.62,23.46,9.02,15.79,15.76,11.81,21.98,10.51,12.21,15.62,9.73,17.36,7.90,19.24,21.25,5.21,16.15
2031,15.58,15.85,17.25,11.49,22.65,10.30,18.18,21.38,18.93,23.50,9.23,15.94,16.18,11.97,22.00,10.56,12.38,15.85,10.02,17.63,7.90,19.63,21.55,5.20,16.39
2032,15.49,15.69,17.11,11.23,22.50,10.45,17.95,21.24,18.79,23.40,9.02,15.84,15.95,11.98,21.85,10.64,12.39,15.65,9.93,17.48,8.09,19.34,21.26,5.37,16.06
2033,15.40,15.72,16.91,11.16,22.31,10.34,17.84,21.13,18.72,23.18,9.04,15.85,15.84,11.77,21.80,10.57,12.39,15.58,9.86,17.36,7.96,19.23,21.16,5.22,16.04
2034,15.50,15.72,17.09,11.18,22.58,10.50,17.96,21.23,18.73,23.39,9.00,15.87,15.86,11.86,21.89,10.68,12.48,15.59,9.78,17.43,8.16,19.41,21.34,5.45,16.09
2035,15.56,15.82,17.38,11.54,22.62,10.26,18.10,21.35,19.02,23.57,9.24,15.87,16.18,11.98,22.16,10.59,12.31,15.84,10.07,17.63,7.93,19.51,21.33,5.44,16.34
2036,15.54,15.77,17.20,11.36,22.64,10.38,17.97,21.28,18.81,23.49,9.18,15.87,16.05,12.00,22.04,10.73,12.42,15.73,9.95,17.48,8.03,19.50,21.43,5.31,16.33
2037,15.56,15.80,17.13,11.50,22.58,10.39,18.00,21.20,18.77,23.41,9.34,15.93,16.12,12.06,22.07,10.61,12.34,15.91,10.03,17.60,8.14,19.33,21.42,5.43,16.41
2038,15.49,15.68,17.13,11.50,22.46,10.30,17.96,21.13,18.79,23.41,9.28,15.76,16.08,11.89,21.92,10.59,12.33,15.86,10.03,17.34,8.05,19.42,21.38,5.37,16.25
2039,15.65,15.89,17.25,11.56,22.79,10.38,18.13,21.42,18.94,23.73,9.50,16.03,16.20,12.00,22.12,10.61,12.43,15.96,10.08,17.60,8.10,19.53,21.48,5.44,16.47
2040,15.57,15.83,17.42,11.40,22.77,10.35,18.00,21.57,19.08,23.55,9.17,15.87,16.01,11.95,22.14,10.59,12.35,15.74,9.95,17.48,8.01,19.62,21.45,5.35,16.28
2041,15.63,15.88,17.33,11.64,22.83,10.39,18.07,21.48,18.95,23.64,9.36,15.85,16.20,11.96,22.18,10.68,12.36,15.93,10.13,17.52,8.06,19.60,21.62,5.43,16.42
2042,15.49,15.69,17.08,11.45,22.49,10.39,17.92,21.17,18.81,23.38,9.36,15.79,16.02,11.89,21.91,10.65,12.34,15.86,9.93,17.39,7.96,19.36,21.35,5.30,16.23
2043,15.56,15.78,17.17,11.52,22.56,10.41,18.07,21.38,18.85,23.39,9.29,15.94,16.03,11.98,22.06,10.62,12.38,15.82,10.01,17.46,8.16,19.47,21.33,5.47,16.26
2044,15.56,15.83,17.30,11.62,22.50,10.40,18.10,21.17,18.82,23.42,9.41,15.86,16.17,11.88,21.89,10.45,12.30,15.90,10.09,17.51,8.11,19.44,21.41,5.40,16.32
2045,15.64,15.88,17.18,11.62,22.74,10.38,18.12,21.42,18.90,23.65,9.43,15.91,16.28,12.02,22.31,10.72,12.44,16.02,10.10,17.63,7.90,19.55,21.61,5.25,16.49
2046,15.74,15.90,17.47,11.84,22.76,10.52,18.26,21.48,19.15,23.73,9.71,15.88,16.40,12.08,22.30,10.75,12.46,16.21,10.31,17.65,8.15,19.72,21.67,5.41,16.68
2047,15.70,15.88,17.35,11.64,22.73,10.53,18.15,21.36,19.07,23.57,9.40,16.02,16.27,12.13,22.10,10.83,12.55,16.00,10.24,17.57,8.18,19.59,21.58,5.60,16.41
2048,15.77,15.98,17.38,11.66,22.87,10.59,18.29,21.57,19.03,23.74,9.48,16.00,16.34,12.18,22.28,10.90,12.57,16.08,10.22,17.68,8.22,19.68,21.65,5.48,16.55
2049,15.66,15.78,17.36,11.76,22.92,10.37,18.18,21.56,19.04,23.86,9.67,15.75,16.29,11.96,22.40,10.53,12.26,16.17,10.18,17.55,8.04,19.68,21.63,5.25,16.67
2050,15.68,15.92,17.28,11.70,22.73,10.40,18.20,21.33,18.87,23.75,9.63,16.01,16.29,11.99,22.26,10.66,12.45,16.07,10.10,17.59,8.18,19.51,21.56,5.48,16.53
2051,15.69,15.86,17.36,11.61,22.90,10.49,18.13,21.53,19.07,23.77,9.55,15.95,16.18,12.00,22.14,10.74,12.42,16.05,10.08,17.50,8.20,19.71,21.71,5.45,16.47
