Variable:,tas
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
2015,27.32,28.14,27.91,23.56,28.51,28.40,25.83,25.02
2016,27.24,28.01,27.82,23.37,28.52,28.23,25.65,24.92
2017,27.30,28.08,27.92,23.49,28.56,28.34,25.75,24.99
2018,27.42,28.19,28.05,23.72,28.68,28.61,25.96,25.09
2019,27.56,28.34,28.17,23.77,28.84,28.61,26.03,25.26
2020,27.45,28.24,28.06,23.67,28.66,28.53,25.91,25.14
2021,27.50,28.27,28.16,23.74,28.75,28.59,25.99,25.20
2022,27.53,28.33,28.14,23.83,28.77,28.67,26.00,25.23
2023,27.51,28.32,28.13,23.71,28.81,28.54,25.93,25.20
2024,27.77,28.59,28.38,23.92,28.98,28.82,26.21,25.47
2025,27.58,28.37,28.20,23.77,28.87,28.65,26.05,25.27
2026,27.70,28.47,28.37,23.77,28.97,28.69,26.02,25.41
2027,27.72,28.50,28.34,23.90,28.97,28.80,26.09,25.39
2028,27.73,28.52,28.38,23.91,29.01,28.82,26.15,25.40
2029,27.67,28.49,28.20,23.89,28.91,28.81,26.13,25.33
2030,27.66,28.51,28.25,23.79,28.90,28.74,26.08,25.33
2031,27.96,28.82,28.49,24.12,29.13,29.00,26.41,25.67
2032,27.83,28.64,28.46,24.12,29.16,28.91,26.28,25.52
2033,27.89,28.70,28.46,24.13,29.11,29.05,26.36,25.57
2034,27.82,28.68,28.33,24.01,29.03,28.95,26.33,25.53
2035,27.97,28.80,28.55,24.22,29.17,29.12,26.43,25.70
2036,28.05,28.98,28.53,24.26,29.24,29.27,26.54,25.73
2037,28.07,28.95,28.57,24.29,29.28,29.22,26.60,25.76
2038,28.08,28.88,28.71,24.29,29.30,29.05,26.57,25.84
2039,28.15,28.93,28.74,24.37,29.37,29.22,26.66,25.87
2040,27.95,28.78,28.46,24.20,29.20,29.13,26.43,25.63
2041,28.09,28.93,28.66,24.35,29.26,29.21,26.59,25.80
2042,28.16,28.99,28.67,24.41,29.32,29.29,26.65,25.86
2043,28.08,28.92,28.71,24.33,29.34,29.17,26.51,25.79
2044,28.07,28.86,28.62,24.30,29.32,29.18,26.57,25.75
2045,28.13,29.03,28.65,24.26,29.24,29.26,26.61,25.84
2046,28.27,29.15,28.82,24.43,29.49,29.31,26.67,25.97
2047,28.14,29.04,28.68,24.46,29.30,29.31,26.67,25.86
2048,28.14,28.94,28.69,24.34,29.47,29.17,26.60,25.85
2049,28.29,29.20,28.80,24.53,29.42,29.44,26.85,26.01
2050,28.30,29.18,28.82,24.57,29.49,29.42,26.85,26.02
2051,28.27,29.06,28.80,24.49,29.51,29.34,26.70,25.97
2052,28.27,29.12,28.84,24.44,29.42,29.37,26.78,25.98
2053,28.13,29.04,28.65,24.48,29.29,29.32,26.69,25.84
2054,28.16,28.95,28.78,24.32,29.45,29.17,26.55,25.84
2055,28.09,28.92,28.69,24.29,29.33,29.20,26.49,25.83
2056,28.28,29.17,28.81,24.53,29.38,29.44,26.83,26.00
2057,28.16,29.00,28.75,24.48,29.41,29.30,26.73,25.87
2058,28.25,29.01,28.87,24.47,29.48,29.34,26.69,25.95
2059,28.39,29.22,28.96,24.70,29.57,29.52,26.93,26.10
2060,28.32,29.09,28.98,24.53,29.54,29.27,26.79,26.02
2061,28.20,28.96,28.85,24.41,29.47,29.24,26.70,25.91
2062,28.31,29.16,28.87,24.57,29.55,29.40,26.85,26.04
2063,28.24,29.09,28.80,24.48,29.40,29.30,26.72,25.96
2064,28.15,28.99,28.78,24.49,29.36,29.32,26.75,25.86
2065,28.27,29.13,28.81,24.50,29.51,29.40,26.88,25.96
2066,28.39,29.26,28.95,24.67,29.66,29.57,26.87,26.07
2067,28.31,29.12,28.84,24.50,29.55,29.43,26.89,26.02
2068,28.21,29.04,28.79,24.39,29.44,29.24,26.60,25.92
2069,28.20,29.05,28.83,24.41,29.51,29.26,26.53,25.88
2070,28.37,29.21,28.90,24.65,29.68,29.50,26.86,26.06
2071,28.32,29.14,28.84,24.55,29.60,29.45,26.68,26.02
2072,28.31,29.15,28.81,24.70,29.60,29.48,26.86,26.08
2073,28.28,29.14,28.76,24.50,29.60,29.44,26.82,25.96
2074,28.31,29.22,28.86,24.59,29.52,29.46,26.85,26.03
2075,28.06,28.81,28.66,24.34,29.41,29.12,26.57,25.75
2076,28.31,29.10,28.93,24.51,29.59,29.42,26.77,25.97
2077,28.25,29.10,28.77,24.49,29.55,29.39,26.76,25.93
2078,28.37,29.21,28.93,24.63,29.55,29.49,26.95,26.10
2079,28.31,29.17,28.82,24.56,29.50,29.46,26.91,26.03
2080,28.29,29.16,28.81,24.56,29.42,29.53,26.88,25.98
2081,28.33,29.23,28.83,24.49,29.54,29.44,26.81,26.03
2082,28.27,29.08,28.86,24.62,29.53,29.38,26.77,25.96
2083,28.13,28.90,28.74,24.43,29.43,29.31,26.67,25.82
2084,28.19,28.96,28.71,24.37,29.55,29.20,26.59,25.88
2085,28.22,29.05,28.73,24.46,29.52,29.36,26.67,25.93
2086,28.37,29.14,29.02,24.64,29.70,29.43,26.89,26.13
2087,28.30,29.19,28.85,24.47,29.40,29.46,26.74,26.02
2088,28.23,29.02,28.85,24.43,29.59,29.29,26.61,25.92
2089,28.13,29.00,28.62,24.28,29.32,29.23,26.63,25.82
2090,28.27,29.07,28.81,24.52,29.50,29.40,26.69,25.98
2091,28.41,29.29,28.93,24.54,29.47,29.51,26.89,26.12
2092,28.25,29.06,28.80,24.45,29.50,29.33,26.68,25.95
2093,28.17,28.93,28.75,24.35,29.42,29.23,26.56,25.85
2094,28.26,29.09,28.81,24.52,29.46,29.42,26.80,25.93
2095,28.10,28.90,28.63,24.51,29.41,29.32,26.65,25.77
2096,27.92,28.70,28.56,24.22,29.24,29.00,26.36,25.59
2097,27.99,28.71,28.69,24.11,29.34,28.91,26.28,25.68
2098,28.25,29.05,28.83,24.46,29.54,29.30,26.61,25.95
2099,28.36,29.16,28.93,24.59,29.63,29.49,26.82,26.09
2100,28.24,29.15,28.77,24.48,29.47,29.38,26.79,25.94
