Variable:,tasmin
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Labe,Mamou,Nzerekore
2015,20.23,22.40,24.80,20.09,19.51,23.16,20.22,21.23,18.88
2016,20.33,22.50,24.77,20.16,19.60,23.20,20.37,21.31,18.89
2017,20.37,22.45,24.88,20.18,19.69,23.23,20.29,21.30,19.08
2018,20.45,22.58,24.84,20.27,19.71,23.30,20.49,21.43,19.02
2019,20.40,22.63,25.02,20.22,19.64,23.40,20.42,21.42,19.02
2020,20.31,22.44,24.83,20.16,19.60,23.26,20.30,21.33,18.94
2021,20.47,22.65,25.01,20.31,19.71,23.43,20.49,21.50,19.13
2022,20.60,22.77,25.10,20.47,19.88,23.50,20.59,21.59,19.27
2023,20.50,22.66,25.07,20.32,19.77,23.42,20.48,21.47,19.16
2024,20.80,22.90,25.15,20.68,20.10,23.64,20.77,21.79,19.44
2025,20.66,22.79,25.08,20.52,19.92,23.54,20.67,21.63,19.31
2026,20.76,22.89,25.11,20.57,20.03,23.60,20.74,21.71,19.38
2027,20.60,22.70,25.09,20.46,19.94,23.48,20.52,21.54,19.31
2028,20.74,22.85,25.22,20.57,20.02,23.60,20.74,21.67,19.41
2029,20.83,22.98,25.26,20.68,20.09,23.72,20.82,21.82,19.45
2030,20.66,22.79,25.06,20.52,19.95,23.54,20.61,21.64,19.32
2031,20.94,23.01,25.34,20.80,20.22,23.74,21.03,21.88,19.47
2032,20.79,22.90,25.23,20.64,20.08,23.65,20.76,21.77,19.46
2033,20.99,23.05,25.36,20.84,20.32,23.82,20.97,21.92,19.51
2034,20.84,22.95,25.24,20.68,20.14,23.68,20.80,21.80,19.44
2035,20.89,22.97,25.29,20.73,20.16,23.76,20.86,21.90,19.51
2036,20.89,22.95,25.26,20.73,20.19,23.72,20.84,21.85,19.52
2037,21.11,23.17,25.36,20.95,20.42,23.90,21.05,22.09,19.73
2038,21.14,23.25,25.56,20.97,20.42,23.98,21.13,22.09,19.73
2039,21.11,23.19,25.43,20.96,20.41,23.90,21.05,22.04,19.76
2040,21.03,23.22,25.47,20.83,20.28,23.95,20.98,21.99,19.71
2041,21.07,23.12,25.47,20.90,20.38,23.90,21.03,22.01,19.70
2042,21.16,23.21,25.54,21.02,20.47,23.97,21.16,22.12,19.75
2043,21.16,23.22,25.48,21.00,20.47,23.93,21.15,22.08,19.74
2044,21.17,23.19,25.51,21.00,20.48,23.89,21.17,22.04,19.78
2045,21.19,23.20,25.43,21.02,20.49,23.95,21.17,22.14,19.85
2046,21.29,23.30,25.60,21.13,20.59,24.01,21.31,22.22,19.93
2047,21.44,23.46,25.66,21.27,20.75,24.14,21.36,22.34,19.99
2048,21.42,23.51,25.79,21.23,20.65,24.22,21.48,22.37,19.93
