Variable:,tas
,Comoros,Anjouan,Moheli,Ngazidja
2015,26.30,26.61,26.58,26.12
2016,26.21,26.52,26.50,26.01
2017,26.43,26.73,26.68,26.23
2018,26.38,26.68,26.62,26.17
2019,26.33,26.66,26.62,26.14
2020,26.22,26.59,26.55,26.03
2021,26.33,26.64,26.60,26.13
2022,26.44,26.77,26.77,26.24
2023,26.49,26.80,26.75,26.29
2024,26.54,26.83,26.80,26.35
2025,26.45,26.76,26.72,26.25
2026,26.53,26.83,26.83,26.35
2027,26.53,26.82,26.84,26.35
2028,26.60,26.92,26.90,26.41
2029,26.70,26.99,26.96,26.50
2030,26.55,26.87,26.85,26.37
2031,26.61,26.93,26.88,26.43
2032,26.63,26.91,26.87,26.44
2033,26.71,27.01,27.00,26.53
2034,26.62,26.98,26.93,26.41
2035,26.68,27.00,26.98,26.51
2036,26.64,26.97,26.93,26.44
2037,26.85,27.17,27.10,26.64
2038,26.90,27.22,27.15,26.70
2039,26.81,27.12,27.10,26.63
2040,26.73,27.03,27.02,26.54
2041,26.86,27.15,27.11,26.67
2042,26.87,27.24,27.20,26.68
2043,26.84,27.16,27.13,26.65
2044,26.86,27.15,27.10,26.66
2045,26.93,27.23,27.23,26.75
2046,26.91,27.25,27.19,26.71
2047,27.05,27.31,27.29,26.86
2048,27.11,27.42,27.40,26.92
2049,27.06,27.37,27.36,26.88
2050,27.02,27.31,27.26,26.81
2051,27.01,27.31,27.27,26.82
2052,27.19,27.51,27.49,27.02
2053,27.05,27.40,27.38,26.86
2054,27.07,27.36,27.34,26.89
2055,27.22,27.54,27.49,27.01
2056,27.02,27.33,27.30,26.82
2057,27.27,27.61,27.57,27.09
2058,27.16,27.44,27.44,26.99
2059,27.34,27.68,27.63,27.16
2060,27.36,27.69,27.65,27.16
2061,27.08,27.40,27.36,26.90
2062,27.16,27.49,27.48,26.98
2063,27.39,27.65,27.65,27.20
2064,27.39,27.72,27.69,27.21
2065,27.36,27.70,27.65,27.16
2066,27.30,27.64,27.57,27.11
2067,27.32,27.61,27.58,27.13
2068,27.39,27.72,27.67,27.21
2069,27.43,27.72,27.67,27.22
2070,27.30,27.63,27.60,27.10
2071,27.31,27.67,27.61,27.11
2072,27.44,27.77,27.72,27.25
2073,27.50,27.85,27.80,27.30
2074,27.40,27.75,27.65,27.17
2075,27.43,27.76,27.71,27.23
2076,27.43,27.80,27.74,27.24
2077,27.62,27.92,27.89,27.42
2078,27.48,27.81,27.77,27.29
2079,27.57,27.89,27.86,27.38
2080,27.65,27.99,27.92,27.45
2081,27.65,28.02,28.00,27.49
2082,27.50,27.86,27.83,27.32
2083,27.58,27.91,27.86,27.39
2084,27.62,27.97,27.93,27.42
2085,27.63,27.91,27.91,27.44
2086,27.62,27.94,27.94,27.44
2087,27.61,27.92,27.91,27.41
2088,27.60,27.85,27.79,27.41
2089,27.63,27.94,27.91,27.44
2090,27.56,27.91,27.87,27.37
2091,27.62,27.90,27.93,27.43
2092,27.68,27.93,27.95,27.50
2093,27.64,28.00,27.96,27.45
2094,27.56,27.94,27.91,27.37
2095,27.70,28.03,28.00,27.51
2096,27.64,27.95,27.88,27.44
2097,27.64,27.90,27.91,27.43
2098,27.69,27.97,27.97,27.49
2099,27.72,28.03,27.99,27.52
2100,27.80,28.13,28.06,27.59
