Variable:,tasmax
,"Northern Mariana Islands","Administrative unit not available"
2015,29.35,29.07
2016,29.36,29.09
2017,29.34,29.05
2018,29.42,29.12
2019,29.38,29.11
2020,29.45,29.19
2021,29.38,29.11
2022,29.48,29.20
2023,29.52,29.25
2024,29.48,29.22
2025,29.53,29.23
2026,29.57,29.28
2027,29.58,29.28
2028,29.59,29.30
2029,29.57,29.31
2030,29.66,29.37
2031,29.65,29.37
2032,29.64,29.38
2033,29.73,29.46
2034,29.70,29.42
2035,29.73,29.46
2036,29.77,29.48
2037,29.77,29.48
2038,29.83,29.56
2039,29.81,29.52
2040,29.91,29.62
2041,29.93,29.65
2042,29.84,29.57
2043,29.91,29.64
2044,29.93,29.67
2045,29.99,29.70
2046,30.02,29.72
2047,29.96,29.69
2048,29.95,29.68
2049,30.00,29.73
2050,30.12,29.86
2051,30.08,29.80
2052,30.03,29.75
2053,30.13,29.84
2054,30.17,29.91
2055,30.20,29.95
2056,30.26,30.00
2057,30.25,29.96
2058,30.21,29.95
2059,30.29,30.02
2060,30.36,30.08
2061,30.33,30.06
2062,30.35,30.07
2063,30.19,29.93
2064,30.35,30.06
2065,30.26,29.98
2066,30.35,30.06
2067,30.42,30.14
2068,30.50,30.21
2069,30.42,30.14
2070,30.48,30.20
2071,30.49,30.19
2072,30.41,30.12
2073,30.44,30.17
2074,30.54,30.26
2075,30.49,30.23
2076,30.61,30.32
2077,30.58,30.30
2078,30.60,30.31
2079,30.53,30.27
2080,30.49,30.21
2081,30.53,30.27
2082,30.63,30.35
2083,30.61,30.35
2084,30.55,30.28
2085,30.78,30.50
2086,30.78,30.47
2087,30.70,30.42
2088,30.74,30.45
2089,30.70,30.41
2090,30.65,30.38
2091,30.76,30.47
2092,30.77,30.50
2093,30.74,30.46
2094,30.85,30.58
2095,30.73,30.47
2096,30.82,30.54
2097,30.77,30.51
2098,30.82,30.53
2099,30.66,30.37
2100,30.69,30.41
