Variable:,tas
,Andorra,"Andorra La Vella",Canillo,Encamp,Escaldes-engordany,"La Massana",Ordino,"Sant Julia De Loria"
2015,12.12,12.90,12.90,12.90,12.90,12.90,12.90,12.90
2016,12.10,12.94,12.94,12.94,12.94,12.94,12.94,12.94
2017,12.04,12.90,12.90,12.90,12.90,12.90,12.90,12.90
2018,12.10,13.10,13.10,13.10,13.10,13.10,13.10,13.10
2019,12.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32
2020,12.04,13.02,13.02,13.02,13.02,13.02,13.02,13.02
2021,11.92,12.86,12.86,12.86,12.86,12.86,12.86,12.86
2022,12.72,13.52,13.52,13.52,13.52,13.52,13.52,13.52
2023,12.35,13.24,13.24,13.24,13.24,13.24,13.24,13.24
2024,12.06,12.90,12.90,12.90,12.90,12.90,12.90,12.90
2025,12.85,13.87,13.87,13.87,13.87,13.87,13.87,13.87
2026,12.20,13.08,13.08,13.08,13.08,13.08,13.08,13.08
2027,12.67,13.44,13.44,13.44,13.44,13.44,13.44,13.44
2028,12.60,13.40,13.40,13.40,13.40,13.40,13.40,13.40
2029,12.47,13.39,13.39,13.39,13.39,13.39,13.39,13.39
2030,12.47,13.29,13.29,13.29,13.29,13.29,13.29,13.29
2031,12.47,13.37,13.37,13.37,13.37,13.37,13.37,13.37
2032,12.35,13.31,13.31,13.31,13.31,13.31,13.31,13.31
2033,12.39,13.33,13.33,13.33,13.33,13.33,13.33,13.33
2034,12.75,13.43,13.43,13.43,13.43,13.43,13.43,13.43
2035,12.41,13.19,13.19,13.19,13.19,13.19,13.19,13.19
2036,12.92,13.82,13.82,13.82,13.82,13.82,13.82,13.82
2037,12.63,13.48,13.48,13.48,13.48,13.48,13.48,13.48
2038,12.88,13.78,13.78,13.78,13.78,13.78,13.78,13.78
2039,12.73,13.57,13.57,13.57,13.57,13.57,13.57,13.57
2040,12.76,13.70,13.70,13.70,13.70,13.70,13.70,13.70
2041,12.77,13.61,13.61,13.61,13.61,13.61,13.61,13.61
2042,12.81,13.80,13.80,13.80,13.80,13.80,13.80,13.80
2043,12.70,13.80,13.80,13.80,13.80,13.80,13.80,13.80
2044,12.65,13.56,13.56,13.56,13.56,13.56,13.56,13.56
2045,12.59,13.58,13.58,13.58,13.58,13.58,13.58,13.58
2046,12.72,13.66,13.66,13.66,13.66,13.66,13.66,13.66
