Variable:,tasmax
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
2015,26.96,24.78,25.62,24.42,24.84
2016,26.86,24.65,25.43,24.26,24.72
2017,27.01,24.76,25.62,24.39,24.83
2018,27.12,24.92,25.78,24.56,25.11
2019,27.18,24.98,25.83,24.61,25.08
2020,26.97,24.80,25.66,24.43,24.92
2021,27.13,25.01,25.84,24.64,25.15
2022,27.18,24.96,25.80,24.62,25.08
2023,27.15,24.96,25.80,24.60,25.01
2024,27.49,25.30,26.17,24.97,25.43
2025,27.11,24.90,25.80,24.57,25.08
2026,27.38,25.23,26.12,24.90,25.36
2027,27.33,25.16,26.00,24.81,25.25
2028,27.26,25.09,25.93,24.74,25.18
2029,27.61,25.52,26.31,25.18,25.56
2030,27.42,25.29,26.09,24.90,25.32
2031,27.39,25.18,26.03,24.81,25.28
2032,27.43,25.34,26.13,25.01,25.41
2033,27.67,25.51,26.28,25.12,25.48
2034,27.55,25.37,26.21,25.01,25.45
2035,27.44,25.25,26.09,24.88,25.28
2036,27.33,25.19,26.03,24.90,25.32
2037,27.53,25.36,26.19,25.04,25.50
2038,27.76,25.59,26.39,25.21,25.60
2039,27.65,25.51,26.30,25.15,25.54
2040,27.69,25.55,26.37,25.18,25.56
2041,27.46,25.27,26.13,24.95,25.42
2042,27.92,25.71,26.52,25.38,25.78
2043,27.92,25.81,26.61,25.45,25.89
2044,27.83,25.67,26.46,25.30,25.70
2045,27.84,25.67,26.49,25.31,25.72
2046,28.02,25.91,26.75,25.58,25.99
2047,28.21,26.11,26.93,25.75,26.12
2048,28.29,26.21,27.00,25.85,26.29
2049,28.05,25.89,26.65,25.49,25.89
2050,28.14,25.99,26.74,25.59,25.97
2051,28.18,26.05,26.90,25.75,26.10
2052,28.19,26.02,26.83,25.65,26.07
2053,28.31,26.12,26.94,25.79,26.21
2054,28.27,26.17,26.92,25.79,26.11
2055,28.22,26.12,26.96,25.83,26.26
2056,28.34,26.19,27.04,25.88,26.21
2057,28.52,26.37,27.14,25.99,26.41
2058,28.19,26.11,26.89,25.79,26.08
2059,28.37,26.25,26.95,25.82,26.19
2060,28.24,26.08,26.90,25.74,26.22
2061,28.34,26.20,26.97,25.85,26.21
2062,28.42,26.26,27.04,25.92,26.23
2063,28.58,26.41,27.28,26.10,26.55
2064,28.35,26.22,27.06,25.91,26.38
2065,28.30,26.15,26.96,25.81,26.26
2066,28.52,26.45,27.25,26.13,26.44
2067,28.31,26.17,27.03,25.90,26.31
2068,28.54,26.48,27.32,26.18,26.64
2069,28.57,26.41,27.20,26.08,26.46
2070,28.31,26.21,27.02,25.90,26.26
2071,28.47,26.33,27.15,26.02,26.44
2072,28.53,26.40,27.15,26.02,26.41
2073,29.05,26.98,27.72,26.63,26.93
2074,28.73,26.63,27.44,26.29,26.64
2075,28.64,26.57,27.36,26.21,26.63
2076,28.75,26.67,27.46,26.36,26.71
2077,28.67,26.50,27.27,26.16,26.50
2078,28.75,26.65,27.44,26.32,26.72
2079,28.67,26.61,27.41,26.29,26.62
2080,29.26,27.16,27.90,26.78,27.07
2081,28.79,26.71,27.49,26.35,26.74
2082,28.90,26.88,27.63,26.54,26.83
2083,28.94,26.80,27.58,26.47,26.80
2084,28.94,26.85,27.62,26.48,26.83
2085,28.88,26.79,27.65,26.54,26.97
2086,28.95,26.84,27.59,26.46,26.78
2087,28.78,26.63,27.40,26.28,26.60
2088,28.82,26.72,27.48,26.37,26.75
2089,28.91,26.79,27.59,26.49,26.86
2090,28.88,26.81,27.59,26.54,26.87
2091,28.90,26.89,27.60,26.55,26.88
2092,29.16,27.09,27.93,26.83,27.23
2093,28.82,26.65,27.46,26.33,26.70
2094,28.91,26.83,27.64,26.51,26.93
2095,28.95,26.90,27.62,26.58,26.82
2096,29.03,26.93,27.73,26.65,26.97
2097,29.08,26.93,27.68,26.54,26.91
2098,29.20,27.05,27.81,26.67,26.97
2099,29.09,27.06,27.83,26.76,27.03
2100,28.89,26.86,27.60,26.55,26.90
