Variable:,tas
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2015,21.31,23.20,18.75,23.26,16.60,25.52,27.12,20.08,4.49
2016,21.07,22.96,18.53,23.05,16.39,25.24,26.92,19.77,4.31
2017,21.18,23.03,18.66,23.16,16.55,25.43,27.08,19.95,4.26
2018,21.19,23.10,18.53,23.13,16.47,25.40,27.04,19.95,4.26
2019,21.24,23.18,18.58,23.08,16.38,25.49,27.17,19.95,4.20
2020,21.30,23.13,18.76,23.35,16.57,25.67,27.08,20.10,4.30
2021,21.39,23.30,18.85,23.40,16.65,25.59,27.25,20.13,4.48
2022,21.38,23.28,18.69,23.29,16.60,25.66,27.29,20.05,4.46
2023,21.39,23.26,18.81,23.36,16.71,25.64,27.24,20.14,4.55
2024,21.68,23.56,19.07,23.66,16.94,25.92,27.47,20.42,4.80
2025,21.53,23.43,19.04,23.54,16.85,25.79,27.30,20.33,4.62
2026,21.51,23.45,18.79,23.35,16.67,25.68,27.47,20.13,4.56
2027,21.65,23.51,19.16,23.76,17.00,25.93,27.39,20.48,4.73
2028,21.75,23.63,19.16,23.87,16.96,26.06,27.58,20.61,4.69
2029,21.57,23.40,18.92,23.63,16.83,25.82,27.45,20.38,4.81
2030,21.55,23.51,18.84,23.42,16.78,25.68,27.42,20.20,4.69
2031,21.78,23.67,19.15,23.76,16.98,26.07,27.54,20.52,4.86
2032,21.74,23.57,19.09,23.72,16.98,26.02,27.61,20.50,4.86
2033,21.72,23.68,18.94,23.52,16.87,25.89,27.63,20.33,4.85
2034,21.80,23.64,19.21,23.80,17.05,26.04,27.72,20.51,4.97
2035,21.92,23.79,19.42,23.89,17.23,26.19,27.77,20.70,4.95
2036,21.89,23.76,19.31,23.83,17.22,26.12,27.73,20.60,4.99
2037,21.90,23.83,19.23,23.85,17.12,26.16,27.75,20.55,4.90
2038,21.92,23.81,19.22,23.81,17.08,26.24,27.80,20.55,4.84
2039,22.00,23.86,19.42,24.01,17.29,26.24,27.88,20.77,5.10
2040,21.87,23.77,19.31,23.78,17.15,26.12,27.75,20.53,4.83
