Variable:,tasmax
,Fiji,Central,Eastern,Northern,Western
2015,27.97,27.36,27.19,28.61,27.74
2016,27.96,27.31,27.12,28.61,27.68
2017,28.07,27.42,27.26,28.73,27.77
2018,27.97,27.36,27.16,28.60,27.72
2019,28.17,27.52,27.31,28.82,27.91
2020,28.09,27.47,27.30,28.73,27.84
2021,28.10,27.47,27.31,28.77,27.85
2022,28.13,27.47,27.31,28.80,27.83
2023,28.15,27.53,27.35,28.78,27.91
2024,28.23,27.61,27.45,28.90,27.99
2025,28.28,27.65,27.49,28.93,28.02
2026,28.30,27.66,27.47,28.98,28.01
2027,28.34,27.70,27.51,28.99,28.07
2028,28.32,27.67,27.47,28.97,28.03
2029,28.28,27.61,27.40,28.94,27.99
2030,28.41,27.80,27.61,29.03,28.17
2031,28.31,27.65,27.43,28.94,28.06
2032,28.27,27.60,27.39,28.95,28.01
2033,28.50,27.86,27.65,29.14,28.24
2034,28.41,27.76,27.51,29.05,28.15
2035,28.47,27.82,27.64,29.12,28.21
2036,28.42,27.80,27.58,29.04,28.17
2037,28.46,27.83,27.61,29.09,28.20
2038,28.50,27.84,27.66,29.17,28.22
2039,28.57,27.90,27.73,29.26,28.28
2040,28.45,27.79,27.63,29.11,28.19
2041,28.59,27.95,27.77,29.24,28.33
2042,28.52,27.88,27.68,29.18,28.30
2043,28.59,27.90,27.77,29.28,28.33
2044,28.60,27.94,27.74,29.26,28.32
2045,28.69,28.08,27.87,29.34,28.39
2046,28.67,28.03,27.85,29.33,28.41
2047,28.54,27.89,27.72,29.20,28.30
2048,28.55,27.91,27.76,29.22,28.28
2049,28.75,28.10,27.89,29.42,28.49
2050,28.71,28.07,27.86,29.34,28.46
2051,28.75,28.13,27.93,29.40,28.49
2052,28.78,28.13,27.92,29.43,28.49
2053,28.76,28.15,27.98,29.41,28.54
2054,28.85,28.20,27.94,29.47,28.61
2055,28.79,28.18,28.02,29.43,28.57
2056,28.88,28.25,28.05,29.51,28.64
2057,28.94,28.34,28.10,29.53,28.74
2058,28.81,28.11,27.96,29.51,28.51
2059,28.89,28.21,28.06,29.57,28.60
2060,28.94,28.29,28.06,29.59,28.68
2061,28.92,28.30,28.11,29.57,28.69
2062,28.84,28.18,28.02,29.55,28.54
2063,28.90,28.21,27.99,29.56,28.63
2064,28.98,28.31,28.11,29.67,28.73
2065,28.99,28.37,28.19,29.62,28.74
2066,29.03,28.40,28.17,29.67,28.80
2067,28.95,28.29,28.06,29.62,28.69
2068,28.92,28.29,28.11,29.58,28.68
2069,29.01,28.34,28.16,29.69,28.72
2070,29.14,28.52,28.29,29.79,28.89
2071,29.10,28.49,28.26,29.75,28.79
2072,28.95,28.31,28.07,29.58,28.71
2073,28.96,28.34,28.16,29.58,28.73
2074,29.10,28.48,28.31,29.74,28.85
2075,29.10,28.52,28.38,29.70,28.87
2076,29.13,28.48,28.28,29.75,28.82
2077,29.24,28.56,28.33,29.88,28.96
2078,29.36,28.74,28.58,30.02,29.17
2079,29.09,28.46,28.29,29.75,28.80
2080,29.15,28.52,28.27,29.73,28.89
2081,29.18,28.56,28.24,29.79,28.90
2082,29.28,28.68,28.48,29.91,29.04
2083,29.24,28.61,28.39,29.85,29.00
2084,29.18,28.56,28.34,29.81,28.94
2085,29.36,28.71,28.47,29.97,29.08
2086,29.12,28.49,28.30,29.76,28.88
2087,29.35,28.74,28.54,30.03,29.10
2088,29.21,28.60,28.38,29.84,28.99
2089,29.10,28.47,28.31,29.75,28.86
2090,29.16,28.51,28.27,29.77,28.91
2091,29.24,28.61,28.45,29.89,28.98
2092,29.22,28.55,28.39,29.91,28.92
2093,29.47,28.83,28.62,30.13,29.21
2094,29.46,28.84,28.63,30.09,29.18
2095,29.24,28.59,28.40,29.89,28.96
2096,29.29,28.65,28.46,29.94,29.02
2097,29.25,28.60,28.42,29.90,29.00
2098,29.29,28.63,28.40,29.97,29.03
2099,29.38,28.73,28.53,30.00,29.11
2100,29.42,28.73,28.53,30.10,29.14
