Variable:,tasmin
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2015,9.56,10.19,12.54,14.06,13.90,9.45,7.47,13.52,11.51,7.73,8.94,12.57,7.19,11.93,13.69,16.03,11.75,3.19,11.32,3.11,10.22
2016,9.50,10.04,12.39,13.94,13.80,9.50,7.41,13.49,11.58,7.80,8.87,12.40,7.27,11.73,13.65,16.00,11.77,3.14,11.25,3.10,10.28
2017,9.54,10.03,12.52,14.06,13.86,9.54,7.46,13.42,11.49,7.77,8.86,12.51,7.17,11.92,13.61,16.07,11.71,3.22,11.19,3.01,10.34
2018,9.64,10.12,12.57,14.14,13.91,9.60,7.56,13.56,11.63,7.97,8.88,12.52,7.36,11.90,13.69,16.14,11.84,3.43,11.31,3.27,10.35
2019,9.82,10.34,12.71,14.33,14.10,9.78,7.71,13.79,11.85,8.12,9.09,12.74,7.53,12.09,13.99,16.31,12.06,3.49,11.51,3.41,10.39
2020,9.85,10.33,12.66,14.24,14.04,9.84,7.95,13.72,11.80,8.19,9.17,12.65,7.55,12.02,13.88,16.27,12.07,3.61,11.53,3.47,10.54
2021,9.92,10.40,12.80,14.33,14.16,9.89,7.93,13.76,11.84,8.19,9.23,12.80,7.55,12.17,13.97,16.31,12.07,3.71,11.56,3.46,10.69
2022,10.07,10.66,12.99,14.54,14.41,9.97,8.07,14.02,11.97,8.33,9.36,13.10,7.69,12.35,14.10,16.52,12.18,3.80,11.71,3.54,10.84
2023,9.84,10.42,12.82,14.34,14.21,9.75,7.76,13.83,11.81,8.05,9.17,12.84,7.43,12.13,13.96,16.36,12.04,3.49,11.56,3.30,10.50
2024,9.87,10.53,12.89,14.44,14.27,9.77,7.70,13.84,11.89,8.05,9.17,12.93,7.56,12.25,13.98,16.47,12.04,3.44,11.51,3.46,10.41
2025,9.92,10.47,12.89,14.43,14.25,9.86,7.87,13.86,11.88,8.17,9.22,12.87,7.52,12.28,13.92,16.41,12.12,3.66,11.60,3.42,10.50
2026,10.15,10.68,12.99,14.52,14.35,10.07,8.19,14.01,12.09,8.44,9.48,13.03,7.82,12.37,14.22,16.56,12.29,4.00,11.83,3.64,10.96
2027,9.98,10.51,12.90,14.45,14.27,9.92,7.98,13.94,12.02,8.27,9.28,12.92,7.73,12.25,14.13,16.44,12.19,3.67,11.70,3.62,10.64
2028,10.06,10.64,13.10,14.69,14.45,9.98,8.02,14.01,11.90,8.23,9.41,13.07,7.56,12.48,14.14,16.54,12.19,3.65,11.79,3.52,10.75
2029,10.10,10.65,12.97,14.54,14.35,10.04,8.13,13.95,11.99,8.38,9.44,12.96,7.67,12.35,14.06,16.55,12.24,3.89,11.72,3.56,10.80
2030,9.88,10.50,12.81,14.34,14.22,9.86,7.78,13.89,11.90,8.12,9.25,12.88,7.50,12.24,14.01,16.35,12.14,3.48,11.65,3.31,10.48
