Variable:,tas
2015,22.80
2016,22.86
2017,22.98
2018,22.98
2019,22.95
2020,22.83
2021,22.90
2022,23.16
2023,23.10
2024,23.04
2025,22.92
2026,23.02
2027,23.08
2028,23.20
2029,23.14
2030,23.19
2031,23.25
2032,23.23
2033,23.25
2034,23.30
2035,23.35
2036,23.19
2037,23.44
2038,23.51
2039,23.42
2040,23.35
2041,23.38
2042,23.44
2043,23.43
2044,23.56
2045,23.42
2046,23.46
2047,23.62
2048,23.68
2049,23.56
2050,23.52
2051,23.59
2052,23.73
2053,23.61
2054,23.58
2055,23.72
2056,23.64
2057,23.76
2058,23.71
2059,23.86
2060,24.03
2061,23.73
2062,23.77
2063,23.98
2064,23.85
2065,23.94
2066,23.89
2067,24.03
2068,23.94
2069,23.87
2070,23.98
2071,23.93
2072,23.97
2073,24.07
2074,23.97
2075,23.92
2076,24.00
2077,24.10
2078,23.97
2079,24.07
2080,24.12
2081,24.19
2082,24.14
2083,24.07
2084,24.18
2085,24.13
2086,24.05
2087,24.11
2088,24.06
2089,24.18
2090,24.16
2091,24.23
2092,24.23
2093,24.11
2094,24.10
2095,24.19
2096,24.24
2097,24.26
2098,24.36
2099,24.26
2100,24.32
