Variable:,tasmin
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
2015,5.40,5.17,5.13,2.89,5.70,6.16,2.53,5.35,6.73,5.81,5.47,8.82,5.17,4.03,5.60,6.82,7.44,5.13,4.77,4.73,4.12,6.10,4.70,5.31,7.07,5.22
2016,5.49,5.23,5.24,2.89,5.94,6.56,2.45,5.66,6.99,5.66,5.57,9.02,5.23,3.76,5.94,6.92,7.38,5.34,4.55,4.91,3.94,6.04,4.49,5.17,7.38,5.10
2017,5.91,5.76,5.73,3.19,6.34,6.77,2.82,6.16,7.25,6.08,5.95,9.16,5.70,4.16,6.24,7.24,7.73,5.89,5.11,5.47,4.36,6.44,4.97,5.38,7.57,5.55
2018,5.32,5.13,5.11,2.93,5.59,6.10,2.52,5.31,6.64,5.70,5.40,8.61,5.10,3.84,5.58,6.77,7.40,5.09,4.57,4.73,3.99,6.04,4.50,5.12,6.89,5.10
2019,4.98,4.68,4.65,2.46,5.32,6.15,2.01,5.10,6.41,5.25,5.02,8.55,4.61,3.39,5.59,6.43,7.00,4.70,4.14,4.28,3.55,5.53,4.14,4.59,6.86,4.58
2020,5.76,5.53,5.57,3.14,6.02,6.54,2.66,5.73,7.12,6.17,5.75,9.05,5.56,4.21,5.97,7.12,7.62,5.63,5.13,5.22,4.36,6.45,5.01,5.34,7.43,5.61
2021,5.80,5.52,5.45,3.25,6.29,6.86,2.78,6.00,7.25,6.02,5.86,9.26,5.39,4.20,6.22,7.32,7.87,5.58,4.99,5.15,4.35,6.38,4.88,5.40,7.76,5.37
2022,5.67,5.42,5.46,3.07,6.08,6.65,2.68,5.85,7.18,5.85,5.74,9.11,5.28,3.95,6.01,7.10,7.58,5.57,4.79,5.22,4.18,6.11,4.70,5.31,7.56,5.18
2023,5.79,5.52,5.60,3.27,6.14,6.65,2.75,5.94,7.21,6.09,5.90,9.16,5.44,4.06,6.20,7.28,7.88,5.62,4.95,5.26,4.28,6.39,4.79,5.38,7.48,5.42
2024,5.74,5.47,5.41,3.35,6.18,6.71,2.95,5.96,7.17,6.01,5.76,9.13,5.34,4.27,6.10,7.12,7.80,5.61,4.87,5.23,4.41,6.33,4.80,5.63,7.54,5.33
2025,6.01,5.77,5.80,3.54,6.39,6.79,2.98,6.08,7.50,6.33,6.10,9.37,5.68,4.23,6.23,7.61,8.14,5.87,5.24,5.55,4.53,6.70,4.95,5.63,7.75,5.71
2026,5.83,5.52,5.58,3.26,6.15,6.66,2.85,5.90,7.23,6.19,5.89,9.21,5.50,4.25,6.15,7.29,7.85,5.64,5.12,5.25,4.40,6.43,5.01,5.52,7.51,5.60
2027,5.88,5.66,5.56,3.33,6.35,6.86,2.83,6.01,7.32,6.17,5.99,9.17,5.57,4.07,6.25,7.40,7.88,5.69,5.06,5.24,4.41,6.50,4.88,5.36,7.71,5.61
2028,5.86,5.70,5.76,3.19,6.19,6.81,2.72,5.92,7.38,5.95,5.93,9.32,5.60,4.06,6.33,7.30,7.78,5.75,4.89,5.35,4.18,6.49,4.71,5.43,7.66,5.58
2029,6.07,5.78,5.79,3.38,6.46,7.03,2.96,6.29,7.47,6.31,6.10,9.45,5.69,4.34,6.55,7.53,8.03,5.94,5.31,5.56,4.55,6.69,5.11,5.62,7.75,5.72
2030,5.90,5.69,5.62,3.33,6.32,6.84,2.91,5.96,7.47,6.11,6.01,9.44,5.56,4.21,6.22,7.40,7.98,5.73,5.02,5.36,4.38,6.51,4.93,5.60,7.77,5.50
2031,5.57,5.37,5.26,3.18,5.98,6.62,2.69,5.63,7.15,5.86,5.62,9.21,5.30,3.83,5.91,7.13,7.74,5.34,4.64,4.92,4.08,6.33,4.47,5.29,7.46,5.28
2032,5.67,5.47,5.40,3.05,6.12,6.66,2.55,5.76,7.32,5.85,5.82,9.33,5.28,3.90,6.02,7.28,7.72,5.51,4.73,5.13,4.11,6.17,4.65,5.17,7.59,5.19
2033,5.70,5.45,5.36,3.02,6.13,6.62,2.64,5.77,7.18,5.89,5.75,9.17,5.37,4.10,5.93,7.12,7.69,5.56,5.10,5.08,4.26,6.20,5.01,5.36,7.59,5.40
2034,5.84,5.62,5.59,3.32,6.14,6.66,2.99,5.94,7.17,6.18,5.77,9.21,5.61,4.35,6.19,7.23,7.76,5.71,5.11,5.31,4.57,6.46,5.03,5.56,7.44,5.60
2035,5.89,5.56,5.46,3.44,6.44,6.95,2.99,6.04,7.55,6.14,5.93,9.47,5.40,4.23,6.31,7.53,8.07,5.72,4.96,5.27,4.50,6.50,4.88,5.61,7.84,5.35
2036,6.05,5.97,5.83,3.31,6.47,6.84,2.87,6.14,7.46,6.23,6.33,9.48,5.80,4.25,6.23,7.60,8.03,6.04,5.26,5.57,4.48,6.70,5.10,5.55,7.80,5.71
2037,5.78,5.50,5.52,3.36,6.03,6.70,2.85,5.70,7.27,6.13,5.72,9.35,5.50,4.22,6.11,7.27,7.86,5.48,5.08,5.23,4.41,6.47,4.95,5.54,7.55,5.53
2038,6.04,5.74,5.74,3.43,6.59,7.20,2.99,6.48,7.54,6.08,6.08,9.47,5.52,4.27,6.70,7.41,7.91,6.03,4.99,5.63,4.41,6.38,4.90,5.63,7.96,5.42
2039,5.80,5.49,5.61,3.28,6.08,6.74,2.91,5.93,7.11,6.01,5.76,9.20,5.45,4.25,6.26,7.14,7.69,5.62,5.04,5.34,4.40,6.27,4.98,5.61,7.45,5.43
2040,5.86,5.49,5.46,3.32,6.23,6.80,2.92,6.01,7.31,6.12,5.86,9.43,5.41,4.23,6.20,7.33,7.94,5.62,5.08,5.33,4.41,6.44,4.96,5.59,7.70,5.54
2041,5.87,5.55,5.66,3.08,6.32,6.90,2.67,6.08,7.33,6.02,5.87,9.41,5.50,4.13,6.31,7.35,7.84,5.68,5.03,5.38,4.28,6.33,4.93,5.42,7.65,5.50
2042,5.82,5.42,5.55,3.43,6.21,6.62,3.00,5.85,7.38,6.15,5.81,9.32,5.44,4.27,6.04,7.35,7.88,5.63,5.08,5.28,4.45,6.45,5.05,5.69,7.60,5.47
2043,6.38,6.18,6.30,3.92,6.68,7.04,3.57,6.45,7.60,6.76,6.37,9.49,6.20,4.82,6.59,7.70,8.30,6.28,5.62,6.05,5.02,7.05,5.49,6.15,7.88,6.13
2044,5.84,5.43,5.52,3.20,6.24,6.92,2.81,6.08,7.30,5.97,5.75,9.32,5.41,4.10,6.44,7.21,7.68,5.69,5.03,5.32,4.24,6.29,4.88,5.54,7.70,5.45
2045,5.92,5.54,5.79,3.30,6.29,6.91,2.81,6.13,7.36,6.16,5.83,9.43,5.50,4.14,6.41,7.38,7.90,5.73,5.04,5.52,4.43,6.45,4.92,5.47,7.68,5.51
2046,6.33,6.13,6.15,3.85,6.72,7.19,3.40,6.20,7.72,6.76,6.46,9.53,6.12,4.74,6.50,7.87,8.32,6.23,5.73,5.72,5.00,7.04,5.53,6.01,8.06,6.21
2047,5.89,5.68,5.62,3.19,6.32,6.90,2.85,5.89,7.47,6.02,5.99,9.51,5.54,4.19,6.25,7.38,7.94,5.72,5.03,5.31,4.27,6.43,4.88,5.52,7.78,5.55
2048,6.26,6.06,6.20,3.60,6.46,6.99,3.19,6.33,7.51,6.58,6.25,9.47,5.99,4.61,6.56,7.57,8.16,6.19,5.58,5.93,4.82,6.85,5.35,5.89,7.79,6.01
2049,6.45,6.18,6.20,3.87,6.83,7.33,3.47,6.65,7.90,6.69,6.55,9.85,5.98,4.82,6.85,7.95,8.54,6.31,5.57,5.93,4.96,7.06,5.39,6.14,8.15,6.01
2050,5.87,5.57,5.52,3.38,6.33,6.85,2.96,6.06,7.42,6.06,5.91,9.48,5.43,4.26,6.25,7.34,7.78,5.74,5.04,5.27,4.39,6.39,4.94,5.63,7.71,5.49
2051,6.08,5.84,5.84,3.52,6.47,7.11,3.04,6.18,7.53,6.31,6.07,9.58,5.78,4.38,6.51,7.50,8.03,5.85,5.25,5.48,4.60,6.63,5.11,5.68,7.90,5.78
2052,6.42,6.24,6.17,3.88,6.85,7.35,3.59,6.66,7.76,6.60,6.51,9.70,6.09,4.76,6.81,7.87,8.35,6.33,5.55,5.91,4.93,6.98,5.37,6.29,8.18,6.05
2053,6.41,6.17,6.26,3.68,6.80,7.36,3.24,6.60,7.88,6.53,6.50,9.82,6.02,4.64,6.80,7.90,8.43,6.36,5.50,5.98,4.80,6.91,5.46,5.99,8.26,5.96
2054,6.27,6.12,5.99,3.65,6.63,7.16,3.22,6.30,7.78,6.44,6.35,9.84,5.99,4.56,6.56,7.80,8.30,6.08,5.48,5.64,4.74,6.77,5.35,5.83,8.09,6.01
2055,6.22,5.81,5.97,3.54,6.62,7.27,3.14,6.42,7.72,6.36,6.17,9.63,5.74,4.50,6.72,7.70,8.23,6.06,5.41,5.81,4.61,6.63,5.32,5.85,8.01,5.80
2056,6.11,5.79,5.88,3.46,6.46,7.06,3.05,6.27,7.50,6.35,6.08,9.54,5.75,4.47,6.51,7.45,7.94,5.97,5.34,5.72,4.60,6.65,5.20,5.75,7.87,5.78
2057,6.25,5.98,6.03,3.84,6.68,7.20,3.29,6.37,7.80,6.43,6.32,9.70,5.87,4.52,6.73,7.78,8.32,6.09,5.33,5.72,4.76,6.84,5.18,5.93,8.06,5.81
