Variable:,tas
2015,26.38
2016,26.41
2017,26.42
2018,26.51
2019,26.51
2020,26.52
2021,26.61
2022,26.64
2023,26.53
2024,26.74
2025,26.67
2026,26.69
2027,26.85
2028,26.80
2029,26.83
2030,26.72
2031,26.71
2032,26.80
2033,26.76
2034,26.92
2035,26.66
2036,26.88
2037,26.95
2038,26.97
2039,26.88
2040,26.86
2041,26.81
2042,26.92
2043,26.96
2044,26.88
2045,26.89
2046,27.18
2047,27.00
2048,27.05
2049,27.07
2050,27.08
2051,27.05
2052,27.03
2053,26.95
2054,26.88
2055,27.05
2056,27.07
2057,27.06
2058,27.08
2059,27.12
2060,27.12
2061,27.06
2062,27.11
2063,27.01
2064,26.95
2065,27.07
2066,27.09
2067,27.13
2068,27.17
2069,27.12
2070,27.06
2071,27.07
2072,26.98
2073,27.12
2074,27.27
2075,26.99
2076,27.04
2077,27.06
2078,27.16
2079,27.05
2080,27.05
2081,27.26
2082,27.26
2083,27.06
2084,27.17
2085,27.07
2086,26.99
2087,27.02
2088,27.12
2089,27.01
2090,27.05
2091,27.19
2092,27.11
2093,27.18
2094,27.04
2095,27.12
2096,26.89
2097,27.11
2098,26.98
2099,27.00
2100,26.98
