Variable:,tasmin
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2015,14.46,16.49,12.12,16.57,10.39,18.32,20.30,13.88,-0.82
2016,14.29,16.38,11.98,16.12,10.26,18.05,20.14,13.51,-1.01
2017,14.42,16.52,12.08,16.25,10.33,18.20,20.27,13.64,-0.90
2018,14.35,16.46,12.04,16.29,10.21,18.19,20.34,13.56,-1.23
2019,14.35,16.42,12.08,16.33,10.20,18.23,20.23,13.58,-1.04
2020,14.57,16.58,12.27,16.58,10.49,18.45,20.43,13.91,-0.75
2021,14.49,16.56,12.13,16.40,10.35,18.36,20.45,13.71,-0.96
2022,14.61,16.70,12.35,16.52,10.45,18.47,20.47,13.80,-0.84
2023,14.67,16.76,12.36,16.52,10.51,18.51,20.57,13.86,-0.78
2024,14.76,16.84,12.51,16.71,10.70,18.61,20.52,14.02,-0.57
2025,14.81,16.92,12.47,16.67,10.70,18.62,20.69,13.99,-0.58
2026,14.67,16.75,12.39,16.61,10.61,18.43,20.56,13.89,-0.58
2027,14.71,16.72,12.41,16.71,10.65,18.58,20.48,13.98,-0.57
2028,14.77,16.74,12.63,16.90,10.78,18.67,20.50,14.11,-0.45
2029,14.83,16.89,12.48,16.83,10.70,18.68,20.73,13.99,-0.56
2030,14.85,16.96,12.51,16.67,10.75,18.65,20.68,14.01,-0.57
2031,14.90,17.03,12.53,16.74,10.80,18.68,20.67,14.00,-0.40
2032,14.97,16.93,12.77,17.03,11.05,18.85,20.72,14.33,-0.21
2033,14.95,17.02,12.58,16.84,10.79,18.77,20.83,14.15,-0.32
2034,14.97,17.08,12.63,16.85,10.84,18.79,20.90,14.15,-0.59
2035,15.01,17.11,12.64,16.91,10.83,18.83,20.89,14.15,-0.44
2036,15.05,17.05,12.85,17.03,11.08,18.89,20.76,14.33,-0.12
2037,15.21,17.33,12.92,17.00,11.04,18.97,20.99,14.38,-0.07
2038,15.25,17.32,12.93,17.31,11.18,19.12,21.07,14.51,-0.24
2039,15.15,17.23,12.67,17.07,10.97,18.98,21.01,14.41,-0.17
2040,15.19,17.26,12.89,17.04,11.12,19.02,21.02,14.33,-0.21
2041,15.22,17.20,12.93,17.11,11.21,19.07,21.02,14.55,0.06
2042,15.29,17.34,12.93,17.23,11.22,19.14,21.08,14.56,-0.02
2043,15.24,17.26,13.01,17.30,11.18,19.10,21.09,14.62,-0.15
2044,15.44,17.44,13.26,17.46,11.43,19.23,21.15,14.74,0.29
2045,15.29,17.34,13.03,17.27,11.22,19.18,21.04,14.55,-0.06
2046,15.58,17.54,13.29,17.56,11.61,19.47,21.34,14.92,0.34
2047,15.47,17.49,13.15,17.41,11.44,19.33,21.29,14.73,0.23
2048,15.50,17.58,13.10,17.40,11.27,19.39,21.35,14.66,-0.05
2049,15.66,17.69,13.27,17.60,11.57,19.52,21.40,14.85,0.46
2050,15.75,17.79,13.44,17.66,11.73,19.56,21.51,15.00,0.55
2051,15.63,17.64,13.35,17.72,11.62,19.51,21.42,14.99,0.30
2052,15.80,17.83,13.40,17.76,11.60,19.77,21.60,14.99,0.34
2053,15.62,17.69,13.31,17.54,11.48,19.43,21.47,14.77,0.21
2054,15.78,17.80,13.55,17.78,11.71,19.73,21.48,15.01,0.41
2055,15.84,17.88,13.52,17.78,11.70,19.74,21.60,15.04,0.45
2056,15.82,17.77,13.59,17.79,11.83,19.75,21.56,15.07,0.53
2057,16.02,18.06,13.68,17.93,11.94,19.86,21.79,15.22,0.67
2058,15.69,17.77,13.34,17.48,11.55,19.56,21.48,14.82,0.33
2059,15.98,17.98,13.61,17.95,11.98,19.85,21.79,15.24,0.71
2060,15.99,18.08,13.62,17.89,11.80,19.81,21.80,15.19,0.62
2061,15.83,17.87,13.57,17.84,11.71,19.69,21.64,15.00,0.40
2062,15.95,17.94,13.65,17.89,11.99,19.77,21.70,15.21,0.78
2063,16.07,18.07,13.71,17.95,11.96,19.98,21.89,15.24,0.76
2064,16.04,18.08,13.70,18.08,11.97,19.87,21.72,15.37,0.85
2065,15.99,18.02,13.85,18.01,12.06,19.81,21.65,15.23,0.72
2066,16.18,18.23,13.87,18.12,12.09,20.06,21.89,15.37,0.84
2067,16.30,18.29,14.07,18.24,12.21,20.19,22.04,15.48,0.98
2068,16.31,18.33,13.98,18.20,12.20,20.22,21.99,15.51,1.05
2069,16.33,18.32,14.03,18.22,12.27,20.22,22.11,15.49,1.00
2070,16.25,18.24,13.91,18.17,12.11,20.16,22.01,15.49,0.97
2071,16.17,18.26,13.83,18.02,12.01,20.02,21.83,15.36,0.81
2072,16.23,18.19,13.96,18.22,12.26,20.17,21.87,15.52,1.06
2073,16.39,18.41,14.10,18.29,12.26,20.30,22.15,15.60,0.95
2074,16.48,18.54,14.09,18.61,12.44,20.31,22.14,15.83,1.28
2075,16.35,18.35,14.09,18.42,12.38,20.15,22.04,15.66,1.22
2076,16.30,18.26,13.85,18.30,12.21,20.22,22.08,15.54,1.14
2077,16.43,18.53,14.10,18.35,12.32,20.24,22.18,15.64,0.99
2078,16.33,18.28,13.97,18.26,12.22,20.26,22.16,15.53,1.16
2079,16.25,18.26,13.88,18.27,12.13,20.18,21.98,15.48,0.92
2080,16.33,18.33,14.01,18.31,12.33,20.13,22.08,15.61,1.22
2081,16.41,18.40,14.02,18.38,12.28,20.36,22.24,15.67,1.05
2082,16.41,18.41,14.16,18.50,12.42,20.29,22.06,15.83,1.09
2083,16.54,18.52,14.25,18.82,12.58,20.40,22.20,16.03,1.38
2084,16.53,18.51,14.17,18.48,12.54,20.43,22.25,15.82,1.26
2085,16.57,18.58,14.24,18.55,12.49,20.46,22.20,15.89,1.36
2086,16.57,18.58,14.23,18.42,12.47,20.48,22.35,15.75,1.17
2087,16.57,18.61,14.23,18.54,12.51,20.44,22.33,15.82,1.18
2088,16.38,18.42,14.06,18.32,12.26,20.21,22.28,15.56,1.03
2089,16.64,18.70,14.33,18.34,12.48,20.49,22.41,15.64,1.26
2090,16.64,18.65,14.26,18.45,12.58,20.51,22.45,15.74,1.32
2091,16.69,18.74,14.18,18.57,12.54,20.54,22.46,15.93,1.42
2092,16.65,18.66,14.31,18.63,12.56,20.57,22.46,15.91,1.28
2093,16.78,18.74,14.51,18.77,12.73,20.75,22.37,15.97,1.54
2094,16.79,18.65,14.52,18.99,12.82,20.80,22.43,16.16,1.62
2095,16.76,18.70,14.55,18.83,12.75,20.72,22.48,16.11,1.42
2096,16.68,18.64,14.34,18.66,12.66,20.64,22.36,15.92,1.41
2097,16.62,18.67,14.30,18.73,12.56,20.47,22.33,15.89,1.30
2098,16.75,18.73,14.41,18.61,12.70,20.67,22.47,15.90,1.51
2099,16.62,18.65,14.34,18.65,12.58,20.49,22.26,15.86,1.33
2100,16.77,18.66,14.35,18.86,12.66,20.77,22.49,16.04,1.60
