Variable:,tasmin
,Niue,"Administrative unit not available"
2015,23.26,23.45
2016,23.09,23.27
2017,23.26,23.40
2018,23.22,23.34
2019,23.40,23.51
2020,23.30,23.43
2021,23.37,23.53
2022,23.41,23.58
2023,23.37,23.50
2024,23.46,23.56
2025,23.40,23.52
2026,23.58,23.74
2027,23.52,23.64
2028,23.43,23.58
2029,23.44,23.54
2030,23.55,23.67
2031,23.48,23.58
2032,23.34,23.45
2033,23.63,23.80
2034,23.52,23.71
2035,23.77,23.92
2036,23.58,23.78
2037,23.68,23.77
2038,23.79,23.91
2039,23.87,24.01
2040,23.69,23.81
2041,23.77,23.91
2042,23.71,23.82
2043,23.91,24.04
2044,23.89,24.01
2045,23.87,23.99
2046,23.75,23.86
2047,23.82,23.96
2048,23.77,23.90
2049,23.86,23.98
2050,23.81,23.94
2051,23.90,24.10
2052,23.92,24.06
2053,23.98,24.10
2054,23.97,24.17
2055,24.03,24.15
2056,23.99,24.16
2057,23.98,24.12
2058,24.13,24.27
2059,24.16,24.29
2060,24.15,24.24
2061,24.11,24.25
2062,24.03,24.18
2063,24.12,24.29
2064,24.10,24.19
2065,24.18,24.32
2066,24.11,24.23
2067,24.18,24.29
2068,24.07,24.21
2069,24.32,24.46
2070,24.32,24.41
2071,24.26,24.36
2072,24.28,24.40
2073,24.10,24.21
2074,24.27,24.38
2075,24.32,24.49
2076,24.36,24.45
2077,24.29,24.39
2078,24.47,24.59
2079,24.22,24.34
2080,24.24,24.35
2081,24.33,24.38
2082,24.37,24.51
2083,24.33,24.50
2084,24.40,24.56
2085,24.47,24.63
2086,24.47,24.56
2087,24.47,24.62
2088,24.31,24.44
2089,24.50,24.62
2090,24.33,24.41
2091,24.52,24.62
2092,24.34,24.51
2093,24.52,24.64
2094,24.64,24.74
2095,24.54,24.73
2096,24.51,24.63
2097,24.34,24.53
2098,24.43,24.54
2099,24.63,24.74
2100,24.62,24.70
