Variable:,tasmin
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
2015,21.54,21.74,22.42,23.26,24.57
2016,21.59,21.79,22.48,23.28,24.55
2017,21.71,21.89,22.61,23.35,24.68
2018,21.76,21.90,22.64,23.34,24.65
2019,21.85,21.99,22.71,23.47,24.78
2020,21.90,22.09,22.76,23.52,24.78
2021,21.86,22.06,22.73,23.53,24.78
2022,21.83,22.03,22.72,23.54,24.76
2023,21.88,22.05,22.73,23.49,24.73
2024,22.06,22.26,22.90,23.64,24.86
2025,22.06,22.26,22.92,23.64,24.87
2026,22.00,22.18,22.84,23.62,24.96
2027,21.99,22.19,22.86,23.63,24.93
2028,22.14,22.30,23.01,23.77,24.98
2029,22.15,22.32,23.01,23.78,25.04
2030,22.08,22.28,22.93,23.65,24.92
2031,22.21,22.37,23.06,23.79,25.04
2032,22.15,22.28,23.01,23.71,24.99
2033,22.28,22.47,23.12,23.85,25.05
2034,22.22,22.38,23.07,23.81,25.05
2035,22.18,22.36,23.04,23.76,25.02
2036,22.26,22.42,23.12,23.85,25.06
2037,22.29,22.44,23.14,23.86,25.09
2038,22.36,22.55,23.21,23.92,25.16
2039,22.34,22.50,23.23,23.97,25.20
2040,22.23,22.46,23.07,23.84,25.04
2041,22.19,22.38,23.04,23.78,25.04
2042,22.38,22.55,23.25,24.00,25.29
2043,22.43,22.63,23.32,24.08,25.30
2044,22.37,22.55,23.23,23.98,25.23
2045,22.34,22.48,23.20,23.90,25.15
2046,22.46,22.65,23.28,24.03,25.21
2047,22.33,22.51,23.18,23.90,25.19
2048,22.37,22.54,23.27,24.00,25.28
2049,22.49,22.66,23.34,24.05,25.34
2050,22.56,22.71,23.41,24.13,25.47
2051,22.53,22.75,23.39,24.17,25.40
2052,22.35,22.49,23.19,23.87,25.13
2053,22.44,22.59,23.32,24.00,25.26
2054,22.32,22.52,23.18,23.95,25.16
2055,22.38,22.55,23.23,24.00,25.25
2056,22.44,22.62,23.30,24.05,25.27
2057,22.43,22.62,23.29,24.03,25.31
2058,22.43,22.60,23.28,24.05,25.27
2059,22.48,22.66,23.37,24.13,25.48
2060,22.54,22.70,23.38,24.13,25.42
2061,22.47,22.61,23.33,24.03,25.30
2062,22.39,22.55,23.24,23.99,25.29
2063,22.49,22.62,23.35,24.11,25.38
2064,22.55,22.71,23.39,24.05,25.31
2065,22.45,22.63,23.31,24.07,25.35
2066,22.56,22.78,23.40,24.16,25.40
2067,22.64,22.81,23.47,24.20,25.38
2068,22.49,22.68,23.34,24.05,25.27
2069,22.53,22.73,23.37,24.12,25.32
2070,22.59,22.73,23.43,24.09,25.37
2071,22.47,22.65,23.34,24.13,25.43
2072,22.33,22.47,23.20,23.95,25.25
2073,22.50,22.67,23.36,24.07,25.30
2074,22.50,22.63,23.39,24.09,25.39
2075,22.52,22.70,23.40,24.17,25.41
2076,22.50,22.66,23.34,24.07,25.32
2077,22.58,22.71,23.44,24.11,25.32
2078,22.56,22.73,23.41,24.14,25.40
2079,22.52,22.67,23.42,24.19,25.38
2080,22.46,22.63,23.33,24.04,25.35
2081,22.50,22.66,23.36,24.15,25.45
2082,22.52,22.70,23.35,24.11,25.35
2083,22.42,22.54,23.32,24.02,25.32
2084,22.43,22.56,23.31,24.02,25.25
2085,22.38,22.60,23.26,24.07,25.29
2086,22.54,22.73,23.43,24.17,25.34
2087,22.44,22.65,23.33,24.05,25.30
2088,22.39,22.53,23.26,23.98,25.32
2089,22.37,22.54,23.26,23.98,25.27
2090,22.38,22.51,23.24,23.95,25.22
2091,22.51,22.65,23.40,24.16,25.47
2092,22.34,22.49,23.22,23.95,25.26
2093,22.36,22.53,23.28,24.07,25.30
2094,22.36,22.53,23.22,23.98,25.18
2095,22.41,22.61,23.30,24.07,25.34
2096,22.22,22.36,23.12,23.83,25.06
2097,22.35,22.54,23.22,24.05,25.33
2098,22.41,22.62,23.26,24.06,25.30
2099,22.52,22.71,23.39,24.18,25.47
2100,22.36,22.55,23.22,23.97,25.24
