Variable:,tasmax
,"Cook Islands","Administrative unit not available"
2015,26.55,26.45
2016,26.54,26.44
2017,26.47,26.38
2018,26.50,26.39
2019,26.57,26.47
2020,26.70,26.57
2021,26.66,26.56
2022,26.59,26.48
2023,26.71,26.60
2024,26.70,26.60
2025,26.79,26.67
2026,26.83,26.71
2027,26.76,26.64
2028,26.67,26.55
2029,26.65,26.54
2030,26.77,26.64
2031,26.70,26.59
2032,26.60,26.53
2033,26.88,26.77
2034,26.79,26.69
2035,27.00,26.88
2036,26.82,26.73
2037,26.99,26.88
2038,26.99,26.88
2039,27.05,26.92
2040,26.97,26.85
2041,27.07,26.93
2042,26.83,26.74
2043,27.08,26.95
2044,27.04,26.95
2045,27.05,26.94
2046,27.09,27.02
2047,27.01,26.92
2048,27.01,26.88
2049,27.08,26.98
2050,27.18,27.08
2051,27.21,27.08
2052,27.13,27.06
2053,27.30,27.21
2054,27.28,27.16
2055,27.30,27.21
2056,27.15,27.04
2057,27.25,27.16
2058,27.35,27.24
2059,27.44,27.32
2060,27.16,27.04
2061,27.36,27.27
2062,27.22,27.12
2063,27.16,27.06
2064,27.23,27.15
2065,27.21,27.12
2066,27.29,27.20
2067,27.38,27.28
2068,27.30,27.18
2069,27.62,27.53
2070,27.37,27.28
2071,27.42,27.33
2072,27.44,27.34
2073,27.44,27.30
2074,27.53,27.42
2075,27.64,27.53
2076,27.51,27.43
2077,27.33,27.24
2078,27.61,27.50
2079,27.45,27.35
2080,27.34,27.28
2081,27.61,27.45
2082,27.63,27.51
2083,27.63,27.47
2084,27.67,27.52
2085,27.57,27.46
2086,27.59,27.46
2087,27.66,27.52
2088,27.67,27.56
2089,27.72,27.60
2090,27.55,27.45
2091,27.67,27.57
2092,27.67,27.55
2093,27.57,27.49
2094,27.74,27.63
2095,27.58,27.47
2096,27.69,27.56
2097,27.61,27.51
2098,27.63,27.54
2099,27.76,27.66
2100,27.83,27.71
