Variable:,tas
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
2015,7.46,8.42,8.34,7.96,7.72,7.95,7.51,6.77
2016,8.07,8.68,8.94,8.33,8.31,8.49,8.04,7.57
2017,8.22,9.01,9.20,8.40,8.38,8.54,8.32,7.62
2018,8.10,8.92,8.77,8.54,8.31,8.49,8.03,7.61
2019,8.06,8.77,8.79,8.42,8.30,8.46,8.03,7.57
2020,7.94,8.90,8.78,8.41,8.19,8.39,7.85,7.34
2021,7.41,8.54,7.90,8.08,7.66,7.82,7.18,6.95
2022,8.48,9.39,9.32,8.94,8.67,8.84,8.50,7.85
2023,7.52,8.67,8.17,8.26,7.71,7.87,7.38,6.92
2024,8.47,9.40,9.21,9.02,8.72,8.90,8.39,7.91
2025,7.73,8.83,8.55,8.25,7.92,8.10,7.61,7.16
2026,7.78,9.11,8.54,8.51,8.00,8.23,7.56,7.10
2027,8.22,9.25,8.95,8.69,8.50,8.76,8.11,7.65
2028,8.38,9.40,9.40,8.80,8.59,8.80,8.39,7.69
2029,8.16,9.02,8.67,8.67,8.37,8.50,8.03,7.73
2030,7.81,8.54,8.82,8.01,7.95,8.11,8.00,7.21
2031,8.76,9.50,9.53,8.98,8.98,9.16,8.78,8.29
2032,8.90,9.59,9.72,9.20,9.11,9.26,9.00,8.35
2033,8.37,9.06,8.94,8.73,8.55,8.70,8.32,7.97
2034,8.54,9.47,9.06,9.05,8.70,8.84,8.45,8.12
2035,8.69,9.52,9.48,9.14,8.88,9.09,8.63,8.15
2036,8.77,9.69,9.81,8.97,8.96,9.14,8.93,8.12
2037,8.25,9.35,9.14,8.67,8.44,8.57,8.17,7.66
2038,8.24,9.27,9.05,8.77,8.47,8.66,8.19,7.63
2039,9.14,9.71,10.04,9.25,9.33,9.48,9.29,8.62
2040,8.83,9.50,9.69,9.17,8.97,9.08,8.90,8.29
2041,8.43,9.02,9.05,8.74,8.59,8.73,8.45,8.00
2042,8.43,9.16,9.24,8.87,8.73,8.97,8.45,7.82
2043,8.56,9.75,9.29,9.24,8.88,9.09,8.40,7.92
2044,8.52,9.35,9.25,9.00,8.71,8.88,8.48,7.99
2045,8.81,9.71,9.54,9.30,9.11,9.32,8.80,8.22
2046,8.31,9.33,9.05,8.89,8.57,8.75,8.22,7.73
2047,8.41,9.26,9.22,8.77,8.62,8.79,8.45,7.85
2048,8.75,9.47,9.56,9.10,9.06,9.27,8.76,8.16
2049,8.48,9.23,9.35,8.73,8.64,8.77,8.41,8.01
2050,8.42,9.22,9.21,8.71,8.58,8.74,8.47,7.90
2051,8.68,9.66,9.64,9.14,8.98,9.23,8.74,7.94
2052,8.43,9.43,9.14,9.05,8.63,8.86,8.40,7.86
2053,8.56,9.37,9.50,8.73,8.69,8.85,8.68,8.00
2054,8.43,9.11,9.07,8.66,8.50,8.63,8.52,7.98
2055,8.86,9.60,9.79,9.07,9.05,9.23,8.94,8.30
2056,8.38,9.19,9.07,8.77,8.60,8.77,8.37,7.87
2057,8.33,9.14,9.00,8.80,8.48,8.65,8.34,7.78
2058,8.34,9.19,9.07,8.75,8.62,8.84,8.31,7.78
2059,8.64,9.29,9.24,9.01,8.85,9.00,8.59,8.22
2060,7.64,8.64,8.34,8.18,7.90,8.09,7.62,7.03
2061,8.49,9.16,9.40,8.71,8.64,8.84,8.61,7.91
2062,7.65,8.45,8.36,7.96,7.82,7.96,7.63,7.21
2063,8.19,9.17,9.11,8.62,8.46,8.66,8.20,7.48
2064,8.47,9.20,9.12,8.88,8.68,8.87,8.42,7.98
2065,9.16,9.77,9.88,9.43,9.33,9.50,9.21,8.71
2066,8.50,9.32,9.28,8.85,8.62,8.77,8.48,8.04
2067,7.78,8.84,8.49,8.35,8.01,8.22,7.67,7.15
2068,8.67,9.47,9.54,8.93,8.90,9.08,8.68,8.10
2069,8.54,9.28,9.32,8.81,8.81,9.00,8.55,8.02
2070,8.45,9.63,9.28,9.10,8.71,8.92,8.37,7.77
2071,7.99,8.86,8.94,8.33,8.14,8.28,8.00,7.44
2072,8.50,9.57,9.31,9.03,8.78,9.00,8.46,7.82
2073,8.58,9.54,9.33,9.07,8.84,8.99,8.47,8.02
2074,7.97,9.11,8.93,8.50,8.10,8.25,7.87,7.29
2075,8.64,9.53,9.44,9.01,8.84,8.99,8.72,8.05
2076,8.35,9.40,9.23,8.78,8.61,8.86,8.36,7.65
2077,8.76,9.57,9.56,9.09,8.99,9.17,8.78,8.23
2078,8.42,9.33,9.06,9.01,8.61,8.78,8.32,7.88
2079,7.96,8.94,8.92,8.33,8.11,8.25,8.02,7.32
2080,8.86,9.81,9.64,9.39,9.19,9.41,8.86,8.17
2081,8.68,9.70,9.36,9.20,8.85,8.99,8.64,8.13
2082,7.87,8.66,8.61,8.18,7.92,8.07,7.88,7.38
2083,8.19,9.01,8.99,8.55,8.37,8.54,8.16,7.67
2084,8.03,8.84,8.68,8.49,8.25,8.44,7.95,7.52
2085,8.63,9.43,9.40,8.97,8.79,9.00,8.69,8.09
2086,8.47,9.54,9.43,8.85,8.81,9.07,8.60,7.71
