Variable:,tas
2015,25.57
2016,25.34
2017,25.54
2018,25.56
2019,25.53
2020,25.89
2021,25.66
2022,25.67
2023,25.65
2024,25.75
2025,25.75
2026,25.83
2027,25.85
2028,25.71
2029,25.79
2030,25.65
2031,25.80
2032,25.80
2033,25.61
2034,25.80
2035,25.96
2036,25.84
2037,25.82
2038,25.83
2039,25.81
2040,25.94
2041,26.01
2042,25.78
2043,25.60
2044,25.86
2045,25.91
2046,25.82
2047,26.14
2048,25.71
2049,25.85
2050,25.72
2051,25.78
2052,25.87
2053,25.91
2054,25.92
2055,25.80
2056,25.83
2057,25.99
2058,25.74
2059,25.91
2060,25.79
2061,25.70
2062,25.84
2063,25.90
2064,25.93
2065,25.54
2066,25.55
2067,26.05
2068,25.88
2069,25.79
2070,25.83
2071,26.03
2072,25.65
2073,25.66
2074,26.02
2075,25.77
2076,25.86
2077,25.74
2078,25.52
2079,25.66
2080,25.86
2081,25.71
2082,25.71
2083,25.78
2084,25.83
2085,25.65
2086,25.84
2087,25.89
2088,25.71
2089,25.48
2090,25.85
2091,25.88
2092,25.60
2093,25.70
2094,25.68
2095,25.72
2096,25.73
2097,25.55
2098,25.52
2099,25.69
2100,26.05
