Variable:,tasmin
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
2015,6.54,13.06,7.18,4.01,8.35,7.22,4.73,12.98,4.32,6.07,10.99,8.92,8.74,9.26,4.70
2016,6.66,13.29,7.39,4.09,8.57,7.38,4.80,13.28,4.35,6.05,11.16,9.11,8.90,9.34,4.74
2017,6.37,12.87,7.01,3.90,8.13,7.06,4.57,12.87,4.17,5.84,10.82,8.81,8.62,9.11,4.48
2018,6.65,13.27,7.42,4.07,8.54,7.38,4.74,13.27,4.35,6.06,11.19,9.18,8.95,9.29,4.67
2019,6.65,13.21,7.28,4.16,8.44,7.35,4.81,13.20,4.36,6.11,11.17,9.07,8.95,9.51,4.80
2020,6.70,13.24,7.38,4.17,8.52,7.46,4.89,13.19,4.44,6.12,11.25,9.15,9.03,9.50,4.78
2021,6.76,13.31,7.51,4.23,8.63,7.46,4.80,13.34,4.56,6.21,11.17,9.25,8.99,9.45,4.79
2022,6.62,13.33,7.35,4.05,8.49,7.39,4.71,13.38,4.35,6.10,11.10,9.10,8.87,9.31,4.61
2023,6.47,13.00,7.12,3.94,8.26,7.13,4.59,13.01,4.29,6.05,10.91,8.91,8.74,9.21,4.55
2024,6.83,13.37,7.56,4.24,8.72,7.61,5.04,13.41,4.56,6.23,11.26,9.27,9.15,9.62,4.90
2025,6.96,13.64,7.72,4.37,8.75,7.74,5.11,13.52,4.66,6.37,11.47,9.58,9.34,9.56,5.03
2026,6.79,13.34,7.48,4.19,8.68,7.57,4.97,13.34,4.50,6.28,11.30,9.26,9.13,9.55,4.88
2027,6.90,13.55,7.62,4.32,8.73,7.61,5.05,13.55,4.62,6.37,11.50,9.38,9.23,9.65,5.00
2028,6.81,13.46,7.59,4.23,8.64,7.60,4.93,13.44,4.54,6.19,11.27,9.36,9.12,9.56,4.81
2029,6.70,13.30,7.35,4.14,8.51,7.46,4.88,13.26,4.49,6.18,11.21,9.12,9.03,9.48,4.79
2030,7.00,13.56,7.67,4.48,8.74,7.74,5.20,13.51,4.74,6.41,11.49,9.47,9.32,9.77,5.12
2031,6.86,13.45,7.53,4.24,8.68,7.56,4.97,13.48,4.59,6.47,11.31,9.30,9.11,9.53,4.99
2032,6.98,13.49,7.68,4.38,8.75,7.72,5.08,13.50,4.77,6.54,11.51,9.48,9.33,9.77,5.03
2033,6.83,13.42,7.59,4.23,8.74,7.62,4.95,13.48,4.56,6.29,11.37,9.28,9.12,9.57,4.89
2034,6.76,13.32,7.42,4.21,8.57,7.41,4.96,13.34,4.54,6.28,11.21,9.16,8.98,9.50,4.91
2035,6.97,13.56,7.79,4.33,8.94,7.81,5.08,13.52,4.61,6.35,11.48,9.51,9.33,9.74,4.99
2036,6.98,13.53,7.73,4.43,8.90,7.70,5.12,13.55,4.66,6.30,11.48,9.44,9.23,9.71,5.08
2037,7.09,13.59,7.76,4.51,8.97,7.84,5.33,13.62,4.76,6.48,11.60,9.54,9.45,9.87,5.18
2038,7.07,13.77,7.88,4.41,8.96,7.84,5.19,13.78,4.71,6.44,11.63,9.70,9.43,9.82,5.07
2039,6.88,13.51,7.63,4.34,8.81,7.58,4.92,13.55,4.65,6.33,11.27,9.36,9.08,9.53,4.89
2040,6.98,13.48,7.67,4.48,8.81,7.72,5.14,13.47,4.74,6.42,11.43,9.41,9.22,9.75,5.06
2041,6.90,13.50,7.64,4.32,8.70,7.63,5.01,13.51,4.65,6.34,11.38,9.40,9.18,9.56,5.01
2042,6.94,13.53,7.69,4.34,8.82,7.76,5.11,13.56,4.63,6.27,11.46,9.44,9.27,9.66,5.00
2043,6.96,13.57,7.67,4.33,8.83,7.69,5.11,13.55,4.63,6.40,11.56,9.48,9.31,9.76,5.04
2044,6.53,13.04,7.21,4.01,8.38,7.26,4.65,13.05,4.38,6.05,10.85,8.92,8.75,9.32,4.54
2045,6.66,13.16,7.34,4.10,8.54,7.40,4.78,13.17,4.45,6.23,11.11,9.05,8.94,9.38,4.74
2046,6.77,13.39,7.36,4.21,8.56,7.37,4.88,13.38,4.59,6.45,11.23,9.18,9.01,9.52,4.83
2047,7.00,13.65,7.81,4.31,8.99,7.83,5.08,13.71,4.66,6.36,11.54,9.52,9.32,9.73,5.04
2048,7.01,13.41,7.85,4.42,9.13,7.85,5.13,13.46,4.69,6.39,11.47,9.40,9.24,9.75,5.08
2049,6.96,13.64,7.73,4.33,8.83,7.76,5.14,13.56,4.61,6.31,11.56,9.54,9.33,9.75,5.01
2050,6.78,13.40,7.48,4.19,8.64,7.49,4.92,13.43,4.57,6.30,11.25,9.23,9.06,9.51,4.82
2051,6.95,13.61,7.76,4.33,8.89,7.77,5.06,13.62,4.58,6.33,11.52,9.50,9.30,9.64,4.98
2052,6.87,13.43,7.57,4.29,8.73,7.60,5.02,13.41,4.64,6.33,11.38,9.34,9.16,9.61,4.97
2053,6.74,13.13,7.24,4.36,8.45,7.30,4.95,13.11,4.66,6.31,11.05,9.02,8.87,9.47,4.91
2054,6.81,13.34,7.47,4.28,8.56,7.50,4.89,13.35,4.69,6.46,11.16,9.19,8.97,9.43,4.92
2055,6.90,13.44,7.57,4.38,8.75,7.58,5.00,13.41,4.69,6.37,11.34,9.36,9.12,9.62,4.99
2056,6.93,13.49,7.58,4.36,8.80,7.63,5.11,13.53,4.64,6.39,11.50,9.32,9.17,9.59,5.05
2057,6.87,13.35,7.46,4.40,8.63,7.53,5.12,13.33,4.61,6.35,11.41,9.23,9.14,9.59,5.05
2058,6.59,13.00,7.19,4.11,8.35,7.25,4.76,13.08,4.46,6.21,11.03,8.82,8.81,9.33,4.73
2059,6.85,13.38,7.60,4.25,8.75,7.62,5.00,13.36,4.50,6.31,11.36,9.35,9.24,9.61,4.96
2060,6.83,13.47,7.67,4.19,8.83,7.65,4.91,13.52,4.49,6.18,11.30,9.37,9.17,9.55,4.84
2061,6.72,13.20,7.50,4.13,8.62,7.54,4.80,13.24,4.46,6.18,11.15,9.19,9.05,9.43,4.76
2062,6.62,13.04,7.23,4.09,8.53,7.32,4.82,13.11,4.46,6.15,11.06,8.97,8.93,9.43,4.71
2063,6.65,13.18,7.33,4.13,8.46,7.34,4.73,13.23,4.48,6.12,11.10,9.13,8.92,9.31,4.71
2064,6.96,13.54,7.68,4.37,8.85,7.71,5.08,13.50,4.71,6.46,11.41,9.45,9.23,9.65,5.04
2065,6.86,13.42,7.51,4.32,8.65,7.55,4.96,13.49,4.67,6.42,11.30,9.26,9.10,9.52,4.96
2066,6.85,13.44,7.60,4.24,8.76,7.65,4.98,13.43,4.58,6.37,11.35,9.35,9.19,9.63,4.89
2067,6.78,13.24,7.47,4.22,8.67,7.51,4.93,13.21,4.61,6.33,11.29,9.21,9.02,9.52,4.82
2068,6.79,13.33,7.47,4.19,8.69,7.53,4.89,13.34,4.62,6.40,11.30,9.20,9.05,9.56,4.80
2069,6.81,13.34,7.52,4.34,8.63,7.50,4.97,13.34,4.55,6.22,11.24,9.26,9.05,9.61,4.88
2070,6.85,13.25,7.51,4.35,8.69,7.58,5.02,13.22,4.67,6.35,11.25,9.23,9.08,9.56,4.97
2071,6.86,13.34,7.59,4.31,8.71,7.65,5.09,13.29,4.55,6.27,11.34,9.34,9.18,9.64,4.92
2072,7.08,13.62,7.80,4.57,8.96,7.82,5.17,13.63,4.85,6.60,11.59,9.55,9.35,9.78,5.13
2073,6.92,13.58,7.62,4.38,8.74,7.59,5.06,13.55,4.65,6.41,11.49,9.37,9.21,9.67,5.00
2074,7.00,13.50,7.63,4.50,8.78,7.72,5.05,13.55,4.86,6.52,11.40,9.40,9.26,9.68,5.07
