Variable:,tasmin
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
2015,6.03,7.85,6.61
2016,5.91,7.69,6.48
2017,5.99,7.83,6.60
2018,5.92,7.75,6.54
2019,6.15,8.00,6.76
2020,6.39,8.13,6.94
2021,6.22,8.06,6.82
2022,6.61,8.38,7.18
2023,6.17,8.03,6.76
2024,6.33,8.24,6.98
2025,6.45,8.20,7.02
2026,6.61,8.45,7.20
2027,6.46,8.24,7.04
2028,6.67,8.51,7.27
2029,6.65,8.48,7.26
2030,6.53,8.41,7.15
2031,6.60,8.43,7.22
2032,6.88,8.60,7.42
2033,6.49,8.29,7.07
2034,6.81,8.60,7.36
2035,6.84,8.63,7.41
2036,6.96,8.74,7.51
2037,6.94,8.68,7.49
2038,6.94,8.73,7.54
2039,6.83,8.66,7.45
2040,6.96,8.76,7.52
2041,6.67,8.48,7.25
2042,6.89,8.73,7.49
2043,6.96,8.79,7.57
2044,6.94,8.75,7.52
2045,7.11,8.91,7.69
2046,6.91,8.74,7.51
2047,7.22,9.00,7.79
2048,7.46,9.27,8.03
2049,7.26,9.07,7.82
2050,7.27,9.09,7.86
2051,7.14,8.94,7.71
2052,7.34,9.15,7.96
2053,7.50,9.26,8.07
2054,7.23,9.09,7.83
2055,7.33,9.22,7.96
2056,7.37,9.15,7.96
2057,7.27,9.11,7.88
2058,7.57,9.37,8.17
2059,7.50,9.31,8.10
2060,7.46,9.25,8.03
2061,7.45,9.33,8.08
2062,7.54,9.36,8.14
2063,7.67,9.47,8.28
2064,7.54,9.38,8.15
2065,7.68,9.56,8.31
2066,7.68,9.58,8.34
2067,7.71,9.59,8.34
2068,7.71,9.51,8.28
2069,7.81,9.58,8.37
2070,7.44,9.25,8.01
2071,7.72,9.55,8.33
2072,7.87,9.63,8.43
2073,7.86,9.69,8.46
2074,7.65,9.53,8.26
2075,7.59,9.37,8.17
2076,7.82,9.49,8.34
2077,7.64,9.44,8.21
2078,7.72,9.52,8.30
2079,7.91,9.73,8.52
2080,7.84,9.64,8.45
2081,7.90,9.70,8.49
2082,8.07,9.87,8.66
2083,7.81,9.68,8.43
2084,8.24,10.06,8.84
2085,8.03,9.88,8.68
2086,8.11,9.93,8.71
2087,8.07,9.98,8.74
2088,8.17,9.97,8.75
2089,8.02,9.80,8.58
2090,8.16,9.97,8.76
2091,8.12,9.86,8.66
2092,8.29,10.07,8.84
2093,8.13,9.94,8.71
2094,8.37,10.15,8.94
2095,7.97,9.79,8.56
2096,8.24,10.04,8.78
2097,8.36,10.19,8.98
2098,8.42,10.21,8.98
2099,8.37,10.12,8.93
2100,8.19,10.01,8.78
