Variable:,tasmin
,"Macao SAR, China","Administrative unit not available"
2015,21.01,20.47
2016,20.98,20.49
2017,21.17,20.73
2018,21.04,20.64
2019,21.21,20.74
2020,21.10,20.60
2021,21.20,20.74
2022,21.39,21.00
2023,21.43,20.94
2024,21.35,20.87
2025,21.27,20.79
2026,21.40,20.99
2027,21.32,20.97
2028,21.50,20.99
2029,21.44,21.02
2030,21.49,21.04
2031,21.49,21.07
2032,21.64,21.18
2033,21.67,21.27
2034,21.66,21.24
2035,21.64,21.20
2036,21.54,21.13
2037,21.72,21.28
2038,21.88,21.43
2039,21.85,21.52
2040,21.85,21.46
2041,21.71,21.31
2042,21.80,21.43
2043,21.76,21.36
2044,21.90,21.48
2045,21.88,21.47
2046,21.93,21.47
2047,21.93,21.44
2048,22.06,21.63
2049,22.01,21.57
2050,21.99,21.55
2051,22.08,21.63
2052,22.11,21.71
2053,22.07,21.68
2054,22.23,21.77
2055,22.09,21.71
2056,22.28,21.90
2057,22.29,21.88
2058,22.32,21.82
2059,22.38,21.99
2060,22.41,22.00
2061,22.21,21.76
2062,22.15,21.66
2063,22.34,21.86
2064,22.51,22.13
2065,22.28,21.92
2066,22.19,21.73
2067,22.19,21.77
2068,22.44,22.10
2069,22.48,22.14
2070,22.46,22.09
2071,22.45,22.00
2072,22.51,22.16
2073,22.64,22.25
2074,22.60,22.16
2075,22.49,22.03
2076,22.49,22.15
2077,22.79,22.34
2078,22.58,22.17
2079,22.65,22.17
2080,22.86,22.42
2081,22.70,22.31
2082,22.82,22.55
2083,22.66,22.30
2084,22.60,22.17
2085,22.74,22.42
2086,22.93,22.49
2087,22.75,22.49
2088,22.72,22.31
2089,22.89,22.48
2090,22.95,22.54
2091,23.02,22.50
2092,22.90,22.58
2093,22.87,22.47
2094,22.84,22.51
2095,22.84,22.42
2096,22.73,22.37
2097,22.88,22.50
2098,22.87,22.52
2099,23.00,22.56
2100,23.13,22.73
