Variable:,tasmax
2015,30.58
2016,30.67
2017,30.87
2018,30.76
2019,30.99
2020,30.84
2021,30.83
2022,31.08
2023,30.92
2024,31.12
2025,31.04
2026,31.06
2027,31.23
2028,31.15
2029,31.15
2030,31.13
2031,31.19
2032,31.31
2033,31.04
2034,31.39
2035,31.36
2036,31.22
2037,31.37
2038,31.51
2039,31.55
2040,31.44
2041,31.46
2042,31.63
2043,31.59
2044,31.54
2045,31.60
2046,31.68
2047,31.62
2048,31.78
2049,31.63
2050,31.76
2051,31.91
2052,31.90
2053,31.83
2054,31.89
2055,31.90
2056,31.97
2057,32.13
2058,31.97
2059,32.09
2060,32.18
2061,32.06
2062,32.24
2063,32.40
2064,32.19
2065,32.26
2066,32.32
2067,32.27
2068,32.18
2069,32.35
2070,32.32
2071,32.22
2072,32.27
2073,32.80
2074,32.68
2075,32.25
2076,32.36
2077,32.27
2078,32.53
2079,32.60
2080,32.39
2081,32.59
2082,32.44
2083,32.76
2084,32.59
2085,32.59
2086,32.62
2087,32.69
2088,32.92
2089,32.65
2090,32.86
2091,32.82
2092,32.70
2093,32.69
2094,32.75
2095,32.70
2096,32.82
2097,32.75
2098,32.92
2099,32.69
2100,32.53
