Variable:,tasmax
,"French Polynesia","Administrative unit not available"
2015,27.89,27.57
2016,27.94,27.60
2017,27.87,27.55
2018,27.92,27.59
2019,27.88,27.57
2020,28.02,27.69
2021,28.03,27.70
2022,28.07,27.74
2023,28.03,27.71
2024,28.12,27.80
2025,28.09,27.76
2026,28.18,27.85
2027,28.09,27.77
2028,28.07,27.75
2029,28.19,27.86
2030,28.08,27.77
2031,28.13,27.81
2032,28.22,27.89
2033,28.16,27.85
2034,28.22,27.88
2035,28.21,27.91
2036,28.22,27.90
2037,28.35,28.02
2038,28.32,28.00
2039,28.32,27.99
2040,28.35,28.04
2041,28.32,27.99
2042,28.37,28.05
2043,28.35,28.03
2044,28.39,28.06
2045,28.43,28.10
2046,28.50,28.18
2047,28.52,28.21
2048,28.43,28.11
2049,28.48,28.17
2050,28.56,28.23
2051,28.58,28.24
2052,28.62,28.29
2053,28.53,28.23
2054,28.53,28.22
2055,28.59,28.27
2056,28.65,28.33
2057,28.76,28.43
2058,28.66,28.34
2059,28.77,28.44
2060,28.70,28.38
2061,28.63,28.32
2062,28.69,28.36
2063,28.75,28.43
2064,28.73,28.41
2065,28.72,28.39
2066,28.85,28.53
2067,28.72,28.40
2068,28.85,28.51
2069,28.88,28.56
2070,28.85,28.52
2071,28.85,28.52
2072,28.90,28.55
2073,28.87,28.54
2074,28.92,28.59
2075,28.87,28.54
2076,28.94,28.60
2077,29.02,28.68
2078,28.91,28.57
2079,28.90,28.57
2080,28.94,28.61
2081,28.97,28.64
2082,28.96,28.62
2083,28.99,28.67
2084,29.05,28.73
2085,28.97,28.64
2086,28.96,28.63
2087,28.98,28.64
2088,29.05,28.73
2089,29.08,28.76
2090,29.10,28.77
2091,29.03,28.72
2092,29.00,28.68
2093,29.05,28.72
2094,29.07,28.74
2095,29.07,28.75
2096,29.09,28.77
2097,29.02,28.70
2098,29.07,28.74
2099,29.23,28.89
2100,29.19,28.85
