Variable:,tas
2015,25.49
2016,25.52
2017,25.51
2018,25.56
2019,25.61
2020,25.62
2021,25.70
2022,25.74
2023,25.64
2024,25.80
2025,25.71
2026,25.80
2027,25.93
2028,25.90
2029,25.90
2030,25.81
2031,25.80
2032,25.89
2033,25.88
2034,25.97
2035,25.75
2036,25.96
2037,26.04
2038,26.02
2039,25.97
2040,25.95
2041,25.88
2042,25.97
2043,26.10
2044,25.97
2045,25.96
2046,26.32
2047,26.09
2048,26.11
2049,26.19
2050,26.15
2051,26.14
2052,26.10
2053,26.01
2054,25.98
2055,26.07
2056,26.13
2057,26.14
2058,26.17
2059,26.16
2060,26.23
2061,26.12
2062,26.17
2063,26.09
2064,26.04
2065,26.15
2066,26.25
2067,26.21
2068,26.26
2069,26.20
2070,26.20
2071,26.14
2072,26.05
2073,26.18
2074,26.29
2075,26.12
2076,26.13
2077,26.16
2078,26.25
2079,26.15
2080,26.13
2081,26.34
2082,26.31
2083,26.15
2084,26.24
2085,26.14
2086,26.07
2087,26.12
2088,26.17
2089,26.06
2090,26.14
2091,26.26
2092,26.22
2093,26.21
2094,26.11
2095,26.19
2096,25.95
2097,26.20
2098,26.03
2099,26.09
2100,26.05
