Variable:,tasmin
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
2015,7.05,-0.20,5.25,2.35,6.05,0.33,12.55,5.08,4.57,3.63,14.07,9.89,7.81,3.60,12.46,3.42,7.91,7.97,6.62,6.59,4.47,7.76,15.25,5.11,8.39,6.26,1.90,1.81,6.26,1.00,8.49,4.78,3.04,1.35,8.71
2016,7.23,0.02,5.62,2.55,6.52,0.54,12.73,5.49,4.63,3.78,14.14,10.17,8.29,3.64,12.50,3.49,8.12,7.88,6.96,6.55,4.58,7.69,15.39,5.09,8.26,6.55,2.18,2.12,6.54,1.06,8.49,4.80,3.12,1.41,8.77
2017,7.06,-0.22,5.41,2.59,6.31,0.62,12.56,5.37,4.50,3.61,13.89,9.93,8.27,3.71,12.32,3.57,7.78,7.74,6.59,6.53,4.50,7.66,15.11,4.88,8.05,6.16,2.20,2.05,6.14,1.18,8.27,4.66,3.18,1.59,8.52
2018,6.94,-0.01,5.26,2.23,6.08,0.22,12.56,5.15,4.16,3.61,13.91,9.91,7.91,2.99,12.26,2.96,7.41,7.52,6.58,6.03,3.89,7.18,15.15,4.82,7.87,5.70,1.87,1.85,6.30,0.57,8.18,4.62,2.80,0.93,8.50
2019,7.03,-0.30,5.39,2.35,6.39,0.34,12.35,5.32,4.65,3.72,13.97,9.85,8.11,3.60,12.26,3.35,8.02,7.54,6.87,6.30,4.59,7.47,15.13,4.58,8.19,6.50,2.08,1.98,6.36,1.09,8.22,4.77,2.81,1.33,8.52
2020,7.69,0.54,5.97,3.24,6.91,1.27,13.04,5.88,5.24,4.33,14.57,10.45,8.59,4.13,12.97,4.05,8.24,8.09,7.51,6.96,5.00,8.05,15.69,5.33,8.92,6.68,2.83,2.56,7.16,1.83,9.13,5.39,3.74,2.11,9.28
2021,7.30,0.06,5.87,2.57,6.64,0.54,12.82,5.88,4.62,3.95,14.18,10.30,8.55,3.98,12.41,3.73,7.91,7.89,7.03,6.68,4.69,7.82,15.50,5.01,8.06,6.29,2.17,2.27,6.59,1.30,8.37,4.82,3.20,1.66,8.67
2022,7.18,-0.04,5.64,2.67,6.28,0.71,12.53,5.35,4.77,3.92,13.96,10.10,8.11,3.77,12.35,3.66,7.95,8.01,6.82,6.63,4.65,7.77,15.19,5.17,8.32,6.33,2.13,2.01,6.52,1.34,8.41,4.85,3.32,1.63,8.64
2023,7.54,0.34,6.05,2.88,6.72,1.03,13.02,5.86,4.91,4.31,14.35,10.55,8.56,3.89,12.71,3.74,8.10,8.20,7.17,6.79,4.74,7.95,15.62,5.34,8.54,6.47,2.55,2.56,6.79,1.50,8.84,5.20,3.40,1.78,9.10
2024,7.73,0.11,6.22,2.98,6.65,1.32,13.28,6.01,5.42,4.62,14.72,10.72,8.49,4.23,13.08,4.06,8.60,8.19,6.97,7.16,5.16,8.28,15.86,5.44,9.15,6.98,2.59,2.76,6.58,1.85,9.18,5.58,3.68,2.07,9.34
2025,7.90,0.72,6.31,3.34,7.06,1.48,13.28,6.27,5.30,4.74,14.68,10.72,8.89,4.41,13.09,4.31,8.51,8.72,7.55,7.32,5.21,8.45,15.90,5.91,8.90,6.88,2.92,3.05,7.29,1.94,9.10,5.61,4.00,2.28,9.38
2026,7.92,0.69,6.41,3.38,7.21,1.51,13.29,6.30,5.25,4.84,14.77,10.77,8.94,4.16,13.11,4.10,8.44,8.34,7.77,7.12,5.04,8.24,15.93,5.57,8.76,6.81,3.11,3.18,7.38,1.80,9.08,5.67,3.83,2.12,9.50
2027,7.96,0.66,6.43,3.27,7.00,1.37,13.60,6.25,5.51,4.56,14.98,10.96,8.89,4.37,13.19,4.18,8.56,8.47,7.54,7.09,5.26,8.23,16.22,5.66,9.14,6.93,2.80,2.77,7.16,2.01,9.22,5.60,3.78,2.24,9.49
2028,7.52,0.42,5.92,3.09,6.87,0.92,12.91,5.84,4.75,4.06,14.43,10.37,8.70,3.81,12.81,3.77,7.85,8.08,7.41,6.75,4.61,7.87,15.60,5.33,8.42,6.18,2.66,2.55,7.00,1.40,8.78,5.00,3.55,1.82,8.99
2029,7.68,0.16,6.18,3.16,6.96,1.07,13.24,6.03,5.34,4.43,14.60,10.62,8.74,4.33,12.86,4.20,8.12,8.01,7.41,6.92,5.11,7.97,15.86,5.34,8.82,6.64,2.72,2.61,6.96,1.71,8.98,5.46,3.78,2.10,9.24
2030,8.21,0.88,6.64,3.53,7.41,1.85,13.61,6.65,5.90,5.08,14.98,11.11,9.25,4.78,13.29,4.53,8.94,8.71,7.75,7.52,5.69,8.66,16.19,5.84,9.24,7.43,3.27,3.41,7.33,2.39,9.42,6.10,4.03,2.58,9.71
2031,7.84,0.55,6.15,3.37,7.05,1.51,13.21,6.09,5.55,4.66,14.60,10.66,8.80,4.47,13.07,4.31,8.76,8.36,7.54,7.14,5.41,8.27,15.81,5.44,8.99,7.22,3.00,2.96,7.07,2.09,9.18,5.65,3.84,2.34,9.47
2032,7.58,0.08,6.02,2.93,6.87,1.15,12.98,5.95,5.24,4.21,14.41,10.45,8.75,4.02,12.81,3.79,8.62,8.19,7.23,6.91,5.06,8.09,15.60,5.23,8.77,7.04,2.70,2.62,6.70,1.77,9.00,5.34,3.35,1.94,9.25
2033,7.77,0.76,6.13,3.21,7.17,1.45,13.03,6.27,5.26,4.45,14.58,10.49,9.03,3.95,12.95,3.85,8.14,8.07,7.43,6.70,4.91,7.79,15.74,5.44,8.69,6.61,2.93,3.00,7.18,1.94,8.94,5.49,3.60,2.09,9.32
2034,8.35,1.41,6.90,3.97,7.69,1.84,13.54,6.77,5.85,5.09,14.89,11.21,9.53,4.89,13.32,4.84,9.12,9.26,8.18,7.93,5.74,9.07,16.04,6.45,9.36,7.47,3.53,3.46,7.91,2.36,9.52,6.03,4.58,2.77,9.71
2035,7.64,0.22,6.04,3.01,6.82,1.14,13.27,5.95,4.91,4.30,14.73,10.71,8.65,3.78,13.11,3.61,8.09,8.07,7.32,6.69,4.69,7.86,15.88,5.18,8.47,6.43,2.74,2.67,6.82,1.58,8.78,5.15,3.27,1.83,9.00
2036,7.80,0.40,6.30,2.99,6.98,1.34,13.32,6.16,5.32,4.56,14.74,10.76,8.80,4.21,13.07,3.88,8.39,8.29,7.44,6.94,5.06,8.12,15.98,5.33,8.82,6.75,2.83,2.83,6.94,1.92,9.12,5.53,3.35,2.05,9.42
2037,8.01,0.54,6.37,3.44,7.16,1.56,13.52,6.36,5.52,4.65,14.99,11.02,9.13,4.64,13.33,4.50,8.71,8.38,7.61,7.18,5.46,8.26,16.10,5.62,9.02,7.13,2.92,2.88,7.23,2.14,9.07,5.75,4.05,2.43,9.55
2038,8.13,0.92,6.53,3.67,7.42,1.56,13.47,6.55,5.59,4.80,14.91,10.97,9.30,4.68,13.33,4.55,8.86,8.70,7.93,7.55,5.51,8.68,16.06,5.82,9.23,7.23,3.21,3.18,7.56,2.18,9.38,5.74,4.16,2.56,9.61
2039,8.07,0.75,6.56,3.62,7.31,1.70,13.27,6.53,5.82,4.95,14.71,10.78,9.12,4.83,13.02,4.63,9.11,9.05,7.88,7.77,5.73,8.92,16.00,6.23,9.44,7.55,3.20,3.22,7.43,2.32,9.44,6.02,4.23,2.60,9.53
2040,7.78,1.04,6.10,3.47,7.11,1.33,12.96,6.11,5.35,4.38,14.35,10.45,8.94,4.18,12.71,4.15,8.55,8.68,7.86,7.37,5.13,8.52,15.58,5.83,8.83,6.95,2.97,2.75,7.59,1.88,8.90,5.46,3.96,2.20,9.23
2041,8.34,1.18,6.66,3.90,7.72,1.85,13.62,6.68,5.76,4.91,15.15,11.13,9.52,4.68,13.62,4.60,9.08,9.01,8.17,7.63,5.61,8.77,16.27,6.20,9.40,7.45,3.56,3.37,7.77,2.40,9.66,5.87,4.36,2.72,9.92
2042,7.97,0.87,6.31,3.84,7.31,1.74,13.12,6.33,5.78,4.81,14.55,10.53,9.02,4.66,12.96,4.73,8.71,8.42,7.76,7.35,5.54,8.39,15.85,5.74,9.17,7.21,3.35,3.19,7.42,2.25,9.22,5.82,4.48,2.67,9.41
2043,7.80,0.22,6.71,2.88,7.13,1.12,13.11,6.59,5.30,4.72,14.50,10.79,9.16,4.16,13.15,3.98,8.72,8.34,7.24,7.08,5.16,8.22,15.59,5.58,9.07,7.17,2.59,3.09,6.77,1.67,9.24,5.54,3.63,1.91,9.44
2044,7.96,0.62,6.50,3.51,7.34,1.60,13.34,6.45,5.40,4.86,14.69,10.78,9.13,4.27,13.03,4.19,8.45,8.44,7.81,7.17,5.18,8.26,15.90,5.75,8.93,6.91,3.20,3.23,7.37,1.99,9.10,5.75,3.93,2.27,9.49
2045,7.99,0.82,6.50,3.45,7.09,1.66,13.32,6.44,5.60,4.74,14.74,10.88,9.17,4.55,12.98,4.39,8.72,8.54,7.63,7.22,5.42,8.35,16.00,5.69,9.05,7.12,3.02,3.06,7.30,2.20,9.17,5.87,3.97,2.43,9.49
2046,8.09,0.85,6.42,3.43,7.12,1.78,13.54,6.39,5.79,4.90,15.00,10.88,8.97,4.70,13.32,4.45,8.79,8.60,7.55,7.34,5.57,8.48,16.23,5.72,9.29,7.21,3.05,3.11,7.23,2.46,9.39,5.92,3.96,2.60,9.65
2047,8.25,1.28,6.61,3.86,7.64,1.74,13.66,6.57,5.58,4.85,15.01,11.13,9.47,4.75,13.36,4.73,8.79,8.67,8.17,7.44,5.55,8.50,16.22,6.11,9.16,7.25,3.48,3.34,7.69,2.19,9.39,5.79,4.50,2.64,9.68
2048,8.03,0.85,6.46,3.38,7.15,1.58,13.34,6.37,5.74,4.87,14.73,10.80,8.97,4.70,13.16,4.49,8.92,8.70,7.58,7.61,5.59,8.75,15.88,5.87,9.25,7.32,2.94,3.06,7.30,2.26,9.43,5.90,4.06,2.48,9.69
2049,7.70,0.50,6.12,2.98,6.99,1.11,13.12,6.01,5.27,4.35,14.50,10.58,8.76,4.30,12.89,4.12,8.61,8.52,7.25,7.27,5.18,8.45,15.65,5.59,8.87,6.96,2.65,2.73,6.90,1.72,9.02,5.32,3.71,2.02,9.18
2050,7.70,0.58,5.88,3.07,6.89,1.18,13.12,5.81,5.27,4.21,14.56,10.54,8.70,4.18,12.97,3.96,8.52,8.48,7.29,6.98,5.08,8.11,15.75,5.80,8.92,6.87,2.75,2.57,6.98,1.78,9.12,5.38,3.60,2.03,9.37
2051,8.33,1.13,6.71,3.93,7.45,2.27,13.62,6.71,6.06,5.32,15.01,11.07,9.19,5.12,13.40,4.94,8.99,8.91,7.84,7.76,5.94,8.84,16.20,6.17,9.33,7.49,3.49,3.55,7.57,2.86,9.41,6.33,4.51,3.06,9.76
2052,8.07,0.64,6.67,3.53,7.00,2.09,13.32,6.39,5.93,5.25,14.70,10.90,8.74,5.10,13.06,4.77,9.04,8.74,7.48,7.60,5.89,8.72,15.87,5.88,9.41,7.52,3.10,3.27,7.18,2.63,9.38,6.21,4.14,2.78,9.53
2053,7.89,0.70,6.42,3.10,7.08,1.27,13.42,6.24,5.28,4.62,14.73,10.89,8.97,4.37,13.06,4.21,8.62,8.68,7.43,7.30,5.22,8.46,15.98,5.85,8.87,6.97,2.75,2.90,7.11,1.81,9.05,5.51,3.84,2.10,9.42
2054,7.89,0.93,6.25,3.35,6.95,1.39,13.29,6.09,5.42,4.59,14.65,10.70,8.89,4.53,13.05,4.38,8.74,8.72,7.43,7.51,5.36,8.66,15.83,5.82,9.03,7.10,2.81,2.68,7.18,1.99,9.18,5.64,3.98,2.34,9.45
2055,8.33,1.28,6.84,3.76,7.60,1.79,13.56,6.75,6.01,5.13,14.89,11.24,9.39,5.06,13.25,4.89,9.29,9.11,7.99,7.83,5.95,8.97,16.06,6.27,9.62,7.73,3.33,3.41,7.66,2.42,9.63,6.16,4.45,2.78,9.80
2056,8.16,1.29,6.51,3.83,7.43,1.86,13.36,6.40,5.72,4.90,14.70,10.94,9.12,4.88,13.11,4.81,8.71,8.96,7.98,7.61,5.63,8.70,15.88,6.32,9.21,7.11,3.42,3.15,7.64,2.50,9.37,5.89,4.56,2.83,9.63
2057,7.94,0.81,6.37,3.16,7.16,1.30,13.39,6.27,5.38,4.64,14.85,10.82,9.04,4.26,13.24,4.10,8.61,8.56,7.47,7.21,5.16,8.37,16.08,5.69,9.10,6.95,2.86,2.96,7.10,1.81,9.27,5.62,3.75,2.09,9.47
2058,7.60,0.37,6.00,2.96,6.65,0.79,13.20,5.91,5.24,4.27,14.49,10.64,8.68,3.99,12.80,3.89,8.29,8.23,7.20,6.94,4.93,8.07,15.87,5.47,8.77,6.73,2.37,2.46,6.88,1.37,9.03,5.38,3.58,1.78,9.26
2059,7.96,0.79,6.54,3.34,7.28,1.34,13.38,6.51,5.39,4.64,14.74,10.93,9.23,4.53,13.09,4.41,8.74,8.65,7.57,7.43,5.33,8.57,15.96,5.78,8.97,7.07,2.93,3.04,7.22,1.89,9.07,5.55,4.01,2.28,9.31
2060,7.69,0.22,6.25,2.86,6.56,1.04,13.10,6.01,5.68,4.57,14.65,10.50,8.48,4.33,13.02,4.07,8.81,8.33,7.03,7.24,5.37,8.42,15.81,5.37,9.21,7.28,2.39,2.44,6.69,1.87,9.14,5.75,3.56,2.03,9.34
2061,7.85,0.51,6.23,3.20,6.97,1.37,13.33,6.14,5.34,4.58,14.71,10.85,8.85,4.10,13.16,3.95,8.51,8.41,7.47,7.14,5.05,8.32,15.89,5.43,9.01,6.88,2.88,2.85,7.05,1.83,9.19,5.64,3.59,2.06,9.48
2062,8.20,1.36,6.53,3.66,7.58,1.58,13.68,6.61,5.43,4.81,15.04,11.22,9.38,4.45,13.34,4.44,8.69,8.68,7.97,7.46,5.33,8.58,16.04,5.80,9.00,7.11,3.31,3.27,7.57,2.09,9.18,5.67,4.20,2.46,9.48
