Variable:,tas
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
2015,9.96,15.62,15.84,14.60,10.15,17.49,17.29,15.84,17.49,15.62,17.49,12.95,16.81,14.61,8.58,13.38,15.65,10.83,12.93,17.49,16.77,8.55
2016,9.72,15.46,15.68,14.45,9.92,17.31,17.11,15.68,17.31,15.46,17.31,12.76,16.63,14.46,8.34,13.17,15.49,10.71,12.74,17.31,16.66,8.31
2017,10.10,15.73,15.96,14.73,10.27,17.65,17.45,15.96,17.65,15.73,17.65,13.07,16.95,14.74,8.70,13.46,15.76,11.03,13.04,17.65,16.97,8.67
2018,9.98,15.68,15.91,14.65,10.20,17.62,17.41,15.91,17.62,15.68,17.62,13.01,16.92,14.66,8.63,13.48,15.71,10.82,12.99,17.62,16.82,8.60
2019,9.99,15.77,15.99,14.76,10.20,17.57,17.38,15.99,17.57,15.77,17.57,13.05,16.90,14.77,8.60,13.42,15.80,11.01,13.02,17.57,17.03,8.57
2020,9.71,15.43,15.67,14.42,9.90,17.46,17.24,15.67,17.46,15.43,17.46,12.74,16.73,14.43,8.32,13.12,15.46,10.68,12.71,17.46,16.68,8.29
2021,9.97,15.62,15.85,14.61,10.17,17.51,17.31,15.85,17.51,15.62,17.51,12.96,16.82,14.62,8.61,13.37,15.65,10.87,12.94,17.51,16.79,8.58
2022,10.38,16.09,16.31,15.08,10.57,17.94,17.74,16.31,17.94,16.09,17.94,13.40,17.26,15.09,8.99,13.75,16.12,11.33,13.37,17.94,17.18,8.96
2023,10.07,15.72,15.95,14.76,10.29,17.60,17.40,15.95,17.60,15.72,17.60,13.07,16.91,14.77,8.74,13.44,15.75,11.19,13.05,17.60,16.94,8.71
2024,10.17,15.76,15.98,14.78,10.33,17.59,17.40,15.98,17.59,15.76,17.59,13.11,16.91,14.79,8.78,13.44,15.79,11.17,13.08,17.59,16.99,8.75
2025,10.44,16.12,16.35,15.09,10.64,18.02,17.82,16.35,18.02,16.12,18.02,13.45,17.33,15.10,9.07,13.88,16.15,11.29,13.42,18.02,17.26,9.04
