Variable:,tasmax
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
2015,25.85,24.85,25.56,22.65,23.45,23.90,27.92,24.35,27.41,26.36
2016,25.80,24.60,25.39,22.63,23.45,23.81,28.26,24.35,27.19,26.25
2017,26.09,25.19,25.77,22.72,23.70,23.96,28.25,24.40,27.77,26.59
2018,26.23,25.47,25.98,22.64,23.66,24.24,28.41,24.68,28.00,26.69
2019,26.22,25.32,25.87,22.77,23.79,24.17,28.25,24.57,27.98,26.75
2020,25.95,24.91,25.62,22.67,23.60,23.98,28.10,24.38,27.45,26.45
2021,26.12,25.26,25.62,22.80,23.78,24.12,28.11,24.51,27.69,26.64
2022,26.27,25.44,25.84,22.85,23.89,24.22,28.23,24.66,27.86,26.82
2023,26.24,25.32,25.89,22.82,23.75,24.14,28.47,24.60,27.95,26.75
2024,26.45,25.63,26.17,22.95,24.01,24.45,28.56,24.95,28.04,26.95
2025,26.10,25.18,25.71,22.78,23.68,24.17,28.06,24.51,27.63,26.67
2026,26.45,25.59,26.15,23.00,23.93,24.36,28.48,24.78,28.14,27.04
2027,26.33,25.43,26.05,22.96,23.94,24.33,28.45,24.81,28.01,26.76
2028,26.31,25.33,25.94,22.94,23.93,24.27,28.41,24.70,27.85,26.87
2029,26.68,25.87,26.47,23.07,24.19,24.64,28.59,25.17,28.41,27.24
2030,26.44,25.48,26.27,23.03,23.95,24.37,28.66,24.96,28.16,26.93
2031,26.42,25.48,25.99,23.00,23.94,24.38,28.49,24.84,28.01,26.98
2032,26.67,25.82,26.48,23.02,24.15,24.57,28.79,25.14,28.50,27.19
2033,26.74,25.87,26.67,23.08,24.07,24.52,29.03,25.28,28.57,27.25
2034,26.66,25.85,26.37,22.99,24.07,24.52,28.71,25.06,28.51,27.23
2035,26.31,25.42,25.99,22.99,23.93,24.32,28.40,24.84,27.86,26.77
