Variable:,tasmax
,Svalbard,"Administrative unit not available"
2015,-3.07,-2.40
2016,-3.31,-2.57
2017,-2.97,-2.34
2018,-2.87,-2.20
2019,-2.51,-1.89
2020,-3.27,-2.62
2021,-2.51,-1.84
2022,-2.72,-2.06
2023,-2.78,-2.10
2024,-2.75,-2.08
2025,-3.18,-2.52
2026,-2.68,-2.01
2027,-2.94,-2.24
2028,-2.81,-2.16
2029,-2.63,-2.02
2030,-2.10,-1.44
2031,-1.77,-1.16
2032,-2.34,-1.65
2033,-2.42,-1.65
2034,-1.66,-1.06
2035,-1.94,-1.31
2036,-1.84,-1.24
2037,-1.89,-1.25
2038,-1.23,-0.60
2039,-1.33,-0.68
2040,-1.61,-1.03
2041,-1.16,-0.55
2042,-1.25,-0.64
2043,-1.13,-0.47
2044,-0.45,0.15
2045,-1.27,-0.59
2046,-0.54,0.07
2047,-0.92,-0.27
2048,-0.79,-0.11
2049,-0.25,0.41
2050,-0.05,0.54
2051,-0.28,0.41
2052,-0.24,0.35
2053,-0.49,0.08
2054,-0.24,0.37
2055,-0.16,0.51
2056,-0.47,0.12
2057,0.45,1.20
2058,0.06,0.63
2059,-0.20,0.43
2060,-0.16,0.43
2061,0.43,0.97
2062,0.53,1.14
2063,0.29,0.90
2064,0.89,1.39
2065,0.33,0.88
2066,0.66,1.22
2067,0.54,1.14
2068,1.27,1.77
2069,0.69,1.30
2070,0.93,1.57
2071,1.59,2.09
2072,1.08,1.69
2073,1.05,1.64
2074,0.47,1.09
2075,0.85,1.40
2076,1.14,1.69
2077,1.54,2.15
2078,1.81,2.34
2079,1.94,2.45
2080,1.79,2.30
2081,1.82,2.33
2082,1.91,2.43
2083,1.36,1.98
2084,1.26,1.84
2085,1.68,2.24
2086,1.56,2.12
2087,1.78,2.29
2088,2.03,2.56
2089,1.48,2.03
2090,1.65,2.16
2091,1.51,2.11
2092,2.13,2.60
2093,2.34,2.84
2094,2.51,2.99
2095,2.39,2.95
2096,2.40,2.86
2097,2.50,2.94
2098,2.69,3.11
2099,2.73,3.16
2100,2.00,2.55
