Variable:,tasmin
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
2015,5.57,11.35,11.73,10.21,5.80,14.67,14.32,11.75,14.67,11.35,14.67,8.65,13.58,10.23,4.22,8.98,11.40,6.01,8.62,14.67,13.02,4.19
2016,5.47,11.20,11.58,10.09,5.71,14.54,14.18,11.60,14.54,11.20,14.54,8.53,13.45,10.10,4.15,8.86,11.25,5.97,8.50,14.54,12.81,4.12
2017,5.55,11.35,11.72,10.22,5.79,14.62,14.27,11.74,14.62,11.35,14.62,8.64,13.55,10.23,4.20,8.96,11.40,6.03,8.61,14.62,12.91,4.17
2018,5.57,11.41,11.78,10.26,5.82,14.65,14.31,11.80,14.65,11.41,14.65,8.69,13.58,10.27,4.23,8.92,11.46,5.99,8.65,14.65,13.03,4.19
2019,5.72,11.58,11.97,10.43,5.97,14.96,14.60,11.99,14.96,11.58,14.96,8.85,13.85,10.44,4.37,9.15,11.63,6.18,8.81,14.96,13.21,4.34
2020,5.86,11.60,11.98,10.47,6.10,14.92,14.57,12.00,14.92,11.60,14.92,8.92,13.83,10.48,4.54,9.25,11.65,6.27,8.89,14.92,13.22,4.51
2021,5.82,11.63,12.01,10.50,6.05,14.91,14.56,12.02,14.91,11.63,14.91,8.91,13.83,10.51,4.46,9.24,11.68,6.31,8.88,14.91,13.20,4.43
2022,6.23,11.98,12.35,10.86,6.46,15.20,14.86,12.37,15.20,11.98,15.20,9.29,14.14,10.87,4.88,9.56,12.02,6.70,9.25,15.20,13.56,4.84
2023,5.70,11.51,11.90,10.37,5.93,14.92,14.56,11.92,14.92,11.51,14.92,8.79,13.81,10.38,4.34,9.15,11.56,6.14,8.76,14.92,13.14,4.31
2024,5.94,11.71,12.09,10.58,6.17,15.02,14.67,12.11,15.02,11.71,15.02,9.01,13.94,10.59,4.59,9.39,11.76,6.39,8.98,15.02,13.33,4.56
2025,6.08,11.84,12.21,10.71,6.31,15.06,14.72,12.23,15.06,11.84,15.06,9.15,13.99,10.72,4.72,9.36,11.88,6.54,9.10,15.06,13.35,4.69
2026,6.14,11.89,12.27,10.75,6.38,15.21,14.86,12.29,15.21,11.89,15.21,9.21,14.12,10.77,4.81,9.54,11.94,6.55,9.17,15.21,13.53,4.78
2027,6.02,11.73,12.10,10.61,6.26,14.99,14.64,12.12,14.99,11.73,14.99,9.07,13.93,10.62,4.71,9.44,11.78,6.47,9.04,14.99,13.29,4.68
2028,6.21,12.01,12.39,10.87,6.45,15.33,14.98,12.41,15.33,12.01,15.33,9.31,14.24,10.88,4.87,9.65,12.06,6.66,9.27,15.33,13.56,4.84
2029,6.23,12.02,12.40,10.89,6.46,15.30,14.95,12.41,15.30,12.02,15.30,9.32,14.23,10.90,4.88,9.68,12.07,6.71,9.28,15.30,13.61,4.85
2030,6.04,11.76,12.15,10.64,6.24,15.17,14.81,12.17,15.17,11.76,15.17,9.07,14.08,10.65,4.67,9.60,11.81,6.50,9.06,15.17,13.40,4.64
2031,6.09,11.69,12.10,10.59,6.31,15.26,14.88,12.12,15.26,11.69,15.26,9.07,14.13,10.60,4.78,9.61,11.74,6.50,9.06,15.26,13.41,4.75
2032,6.44,12.08,12.45,10.97,6.65,15.34,14.99,12.47,15.34,12.08,15.34,9.44,14.27,10.98,5.10,9.70,12.13,6.84,9.40,15.34,13.64,5.07
2033,6.07,11.89,12.27,10.75,6.29,15.19,14.84,12.29,15.19,11.89,15.19,9.16,14.10,10.76,4.69,9.40,11.94,6.52,9.12,15.19,13.49,4.66
2034,6.22,12.08,12.46,10.94,6.46,15.40,15.05,12.48,15.40,12.08,15.40,9.35,14.31,10.95,4.86,9.64,12.13,6.72,9.31,15.40,13.66,4.83
2035,6.38,12.17,12.54,11.03,6.61,15.42,15.07,12.56,15.42,12.17,15.42,9.47,14.35,11.04,5.03,9.73,12.22,6.81,9.43,15.42,13.73,5.00
2036,6.34,12.12,12.50,10.98,6.57,15.47,15.11,12.52,15.47,12.12,15.47,9.42,14.38,10.99,4.99,9.86,12.17,6.75,9.39,15.47,13.70,4.96
2037,6.43,12.18,12.56,11.04,6.65,15.51,15.16,12.58,15.51,12.18,15.51,9.49,14.42,11.05,5.07,9.79,12.23,6.81,9.45,15.51,13.76,5.04
2038,6.57,12.29,12.66,11.16,6.80,15.48,15.14,12.67,15.48,12.29,15.48,9.62,14.43,11.17,5.24,9.92,12.33,6.98,9.58,15.48,13.87,5.20
2039,6.53,12.25,12.62,11.13,6.76,15.51,15.16,12.64,15.51,12.25,15.51,9.58,14.44,11.14,5.20,9.89,12.30,6.98,9.54,15.51,13.82,5.16
2040,6.43,12.20,12.57,11.07,6.64,15.46,15.11,12.59,15.46,12.20,15.46,9.49,14.39,11.08,5.05,9.80,12.25,6.87,9.46,15.46,13.79,5.02
2041,6.22,11.97,12.36,10.85,6.42,15.35,14.99,12.38,15.35,11.97,15.35,9.27,14.25,10.86,4.83,9.58,12.02,6.70,9.23,15.35,13.57,4.80
2042,6.47,12.23,12.60,11.11,6.70,15.50,15.15,12.62,15.50,12.23,15.50,9.54,14.42,11.12,5.12,9.81,12.28,6.95,9.50,15.50,13.82,5.08
2043,6.51,12.27,12.66,11.14,6.75,15.65,15.29,12.68,15.65,12.27,15.65,9.58,14.55,11.15,5.18,10.00,12.32,6.94,9.56,15.65,13.84,5.15
2044,6.51,12.25,12.63,11.12,6.74,15.61,15.25,12.65,15.61,12.25,15.61,9.57,14.51,11.13,5.17,9.89,12.30,6.93,9.53,15.61,13.85,5.14
2045,6.60,12.49,12.87,11.34,6.83,15.79,15.44,12.89,15.79,12.49,15.79,9.73,14.70,11.36,5.21,10.06,12.54,7.10,9.70,15.79,14.10,5.18
2046,6.53,12.32,12.69,11.19,6.77,15.59,15.24,12.71,15.59,12.32,15.59,9.62,14.52,11.20,5.19,9.95,12.37,6.99,9.58,15.59,13.90,5.16
2047,6.74,12.42,12.80,11.30,6.97,15.73,15.38,12.82,15.73,12.42,15.73,9.77,14.66,11.31,5.42,10.17,12.47,7.14,9.74,15.73,13.98,5.39
2048,6.92,12.74,13.12,11.60,7.15,16.03,15.68,13.14,16.03,12.74,16.03,10.02,14.95,11.61,5.56,10.38,12.79,7.39,9.99,16.03,14.32,5.53
2049,6.70,12.52,12.89,11.37,6.94,15.75,15.41,12.91,15.75,12.52,15.75,9.80,14.69,11.39,5.35,10.14,12.56,7.13,9.77,15.75,14.06,5.32
2050,6.87,12.62,12.99,11.51,7.10,15.88,15.53,13.01,15.88,12.62,15.88,9.93,14.81,11.52,5.52,10.26,12.67,7.40,9.90,15.88,14.20,5.49
2051,6.69,12.51,12.89,11.36,6.92,15.81,15.46,12.91,15.81,12.51,15.81,9.79,14.72,11.37,5.32,10.08,12.56,7.10,9.75,15.81,14.14,5.29
2052,6.98,12.76,13.14,11.62,7.22,16.07,15.72,13.16,16.07,12.76,16.07,10.06,14.99,11.63,5.64,10.39,12.81,7.39,10.03,16.07,14.34,5.61
2053,7.02,12.63,13.02,11.53,7.23,16.02,15.66,13.04,16.02,12.63,16.02,10.00,14.93,11.54,5.70,10.42,12.68,7.45,9.98,16.02,14.21,5.67
2054,6.77,12.50,12.89,11.36,7.02,15.87,15.51,12.91,15.87,12.50,15.87,9.83,14.77,11.37,5.46,10.16,12.55,7.13,9.80,15.87,14.19,5.43
2055,6.92,12.65,13.05,11.53,7.15,16.16,15.79,13.07,16.16,12.65,16.16,9.97,15.03,11.54,5.59,10.38,12.70,7.38,9.95,16.16,14.38,5.56
2056,6.99,12.64,13.02,11.52,7.21,15.93,15.58,13.04,15.93,12.64,15.93,10.00,14.86,11.53,5.66,10.33,12.69,7.35,9.97,15.93,14.22,5.63
2057,6.85,12.67,13.04,11.53,7.10,15.91,15.57,13.06,15.91,12.67,15.91,9.96,14.84,11.54,5.51,10.24,12.72,7.31,9.92,15.91,14.22,5.48
2058,7.09,12.68,13.06,11.55,7.34,15.97,15.62,13.08,15.97,12.68,15.97,10.08,14.91,11.56,5.83,10.54,12.73,7.38,10.06,15.97,14.30,5.80
2059,7.07,12.87,13.25,11.74,7.30,16.17,15.82,13.27,16.17,12.87,16.17,10.16,15.09,11.75,5.71,10.55,12.92,7.54,10.13,16.17,14.45,5.68
2060,6.96,12.72,13.11,11.59,7.19,16.10,15.74,13.13,16.10,12.72,16.10,10.03,15.00,11.60,5.61,10.37,12.77,7.42,9.99,16.10,14.36,5.58
2061,7.07,12.90,13.28,11.79,7.34,16.24,15.88,13.30,16.24,12.90,16.24,10.19,15.15,11.80,5.75,10.50,12.95,7.67,10.16,16.24,14.50,5.72
2062,7.09,12.79,13.16,11.69,7.33,16.06,15.71,13.18,16.06,12.79,16.06,10.13,14.99,11.70,5.78,10.51,12.84,7.62,10.10,16.06,14.32,5.75
2063,7.28,12.96,13.33,11.84,7.53,16.21,15.86,13.35,16.21,12.96,16.21,10.32,15.14,11.85,5.98,10.62,13.01,7.70,10.28,16.21,14.50,5.95
2064,7.20,13.00,13.37,11.86,7.43,16.24,15.90,13.39,16.24,13.00,16.24,10.29,15.17,11.87,5.84,10.57,13.05,7.64,10.25,16.24,14.50,5.81
2065,7.32,13.05,13.44,11.91,7.58,16.42,16.06,13.46,16.42,13.05,16.42,10.39,15.33,11.92,6.03,10.81,13.10,7.68,10.36,16.42,14.69,6.00
2066,7.30,13.18,13.56,12.03,7.58,16.48,16.13,13.58,16.48,13.18,16.48,10.45,15.40,12.04,5.98,10.86,13.23,7.77,10.42,16.48,14.74,5.95
2067,7.29,13.09,13.47,11.95,7.52,16.40,16.05,13.49,16.40,13.09,16.40,10.38,15.32,11.96,5.93,10.78,13.14,7.71,10.35,16.40,14.69,5.90
2068,7.23,12.99,13.37,11.87,7.45,16.28,15.93,13.39,16.28,12.99,16.28,10.29,15.20,11.88,5.87,10.58,13.04,7.72,10.26,16.28,14.54,5.84
2069,7.29,13.09,13.47,11.96,7.51,16.38,16.03,13.49,16.38,13.09,16.38,10.37,15.30,11.97,5.91,10.65,13.14,7.77,10.33,16.38,14.67,5.88
2070,6.95,12.79,13.17,11.66,7.19,16.13,15.77,13.19,16.13,12.79,16.13,10.06,15.03,11.67,5.59,10.36,12.84,7.46,10.03,16.13,14.41,5.56
2071,7.26,13.03,13.40,11.93,7.50,16.27,15.93,13.42,16.27,13.03,16.27,10.34,15.21,11.94,5.92,10.70,13.08,7.84,10.31,16.27,14.63,5.89
2072,7.44,13.22,13.60,12.08,7.64,16.55,16.20,13.62,16.55,13.22,16.55,10.50,15.45,12.09,6.05,10.77,13.27,7.86,10.46,16.55,14.76,6.02
2073,7.40,13.25,13.62,12.12,7.67,16.54,16.19,13.65,16.54,13.25,16.54,10.53,15.46,12.13,6.08,10.85,13.30,7.92,10.50,16.54,14.78,6.05
2074,7.21,12.99,13.37,11.84,7.45,16.32,15.97,13.39,16.32,12.99,16.32,10.29,15.23,11.85,5.87,10.63,13.04,7.57,10.26,16.32,14.53,5.84
2075,7.16,12.88,13.26,11.76,7.36,16.23,15.87,13.28,16.23,12.88,16.23,10.19,15.14,11.77,5.79,10.54,12.93,7.60,10.16,16.23,14.50,5.76
2076,7.37,13.02,13.39,11.91,7.58,16.27,15.92,13.41,16.27,13.02,16.27,10.37,15.20,11.92,6.02,10.64,13.07,7.80,10.33,16.27,14.51,5.99
2077,7.28,13.08,13.45,11.94,7.47,16.32,15.98,13.47,16.32,13.08,16.32,10.35,15.24,11.95,5.87,10.56,13.13,7.70,10.30,16.32,14.66,5.83
2078,7.35,13.04,13.41,11.92,7.61,16.26,15.92,13.43,16.26,13.04,16.26,10.40,15.19,11.93,6.06,10.60,13.08,7.77,10.35,16.26,14.56,6.03
2079,7.56,13.33,13.71,12.20,7.81,16.62,16.27,13.73,16.62,13.33,16.62,10.64,15.54,12.21,6.24,10.92,13.38,8.02,10.61,16.62,14.92,6.20
2080,7.51,13.21,13.59,12.07,7.72,16.51,16.16,13.61,16.51,13.21,16.51,10.54,15.43,12.08,6.16,10.85,13.26,7.85,10.50,16.51,14.76,6.12
2081,7.48,13.26,13.63,12.12,7.72,16.45,16.11,13.64,16.45,13.26,16.45,10.56,15.40,12.13,6.14,10.92,13.30,7.89,10.53,16.45,14.79,6.11
2082,7.76,13.49,13.87,12.37,7.99,16.80,16.45,13.89,16.80,13.49,16.80,10.81,15.71,12.38,6.42,11.06,13.54,8.20,10.77,16.80,15.13,6.39
2083,7.35,13.19,13.57,12.06,7.60,16.51,16.16,13.59,16.51,13.19,16.51,10.47,15.42,12.07,6.00,10.80,13.24,7.87,10.43,16.51,14.79,5.97
2084,7.77,13.54,13.92,12.42,7.97,16.87,16.52,13.94,16.87,13.54,16.87,10.83,15.79,12.43,6.38,11.23,13.59,8.25,10.80,16.87,15.10,6.35
2085,7.65,13.41,13.79,12.27,7.89,16.74,16.39,13.81,16.74,13.41,16.74,10.72,15.66,12.28,6.32,11.12,13.46,8.04,10.70,16.74,14.92,6.29
2086,7.66,13.45,13.84,12.34,7.90,16.83,16.47,13.86,16.83,13.45,16.83,10.75,15.72,12.35,6.32,11.04,13.50,8.21,10.71,16.83,15.05,6.29
2087,7.72,13.48,13.87,12.36,7.97,16.88,16.52,13.89,16.88,13.48,16.88,10.80,15.78,12.37,6.40,11.25,13.53,8.19,10.77,16.88,15.06,6.37
2088,7.75,13.38,13.76,12.25,7.95,16.73,16.37,13.78,16.73,13.38,16.73,10.73,15.64,12.26,6.40,11.09,13.43,8.06,10.70,16.73,15.03,6.36
2089,7.60,13.27,13.64,12.18,7.81,16.50,16.16,13.66,16.50,13.27,16.50,10.61,15.44,12.19,6.24,10.87,13.31,8.13,10.57,16.50,14.86,6.21
2090,7.71,13.36,13.75,12.24,7.93,16.80,16.43,13.77,16.80,13.36,16.80,10.72,15.69,12.25,6.39,11.14,13.41,8.09,10.69,16.80,14.96,6.36
2091,7.59,13.35,13.73,12.22,7.81,16.66,16.31,13.75,16.66,13.35,16.66,10.65,15.57,12.23,6.23,10.95,13.40,8.03,10.62,16.66,14.97,6.20
2092,7.64,13.35,13.72,12.24,7.86,16.60,16.25,13.74,16.60,13.35,16.60,10.67,15.55,12.25,6.29,11.16,13.40,8.12,10.65,16.60,14.95,6.26
2093,7.67,13.40,13.77,12.30,7.89,16.66,16.31,13.79,16.66,13.40,16.66,10.72,15.59,12.31,6.32,11.04,13.45,8.22,10.68,16.66,14.91,6.29
2094,7.89,13.62,13.98,12.50,8.12,16.80,16.46,14.00,16.80,13.62,16.80,10.94,15.76,12.51,6.56,11.30,13.66,8.35,10.91,16.80,15.13,6.53
2095,7.52,13.25,13.63,12.14,7.73,16.60,16.24,13.65,16.60,13.25,16.60,10.56,15.51,12.15,6.15,10.89,13.30,8.02,10.53,16.60,14.87,6.12
2096,7.69,13.47,13.85,12.33,7.91,16.83,16.47,13.87,16.83,13.47,16.83,10.76,15.73,12.35,6.32,11.13,13.52,8.13,10.73,16.83,15.02,6.29
2097,8.01,13.78,14.13,12.65,8.25,16.85,16.52,14.15,16.85,13.78,16.85,11.09,15.83,12.66,6.68,11.41,13.82,8.45,11.06,16.85,15.24,6.65
2098,7.99,13.64,14.02,12.52,8.24,16.92,16.57,14.03,16.92,13.64,16.92,11.01,15.85,12.53,6.69,11.34,13.69,8.35,10.98,16.92,15.22,6.66
2099,7.82,13.56,13.94,12.43,8.06,16.83,16.48,13.95,16.83,13.56,16.83,10.88,15.76,12.44,6.50,11.29,13.61,8.24,10.86,16.83,15.16,6.47
2100,7.76,13.49,13.86,12.37,7.99,16.80,16.45,13.89,16.80,13.49,16.80,10.81,15.72,12.38,6.43,11.15,13.54,8.23,10.78,16.80,14.96,6.40
