Variable:,tasmin
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
2015,19.62,17.89,20.38,19.36,21.04,22.35,19.13,19.03,19.82,20.88,21.89
2016,19.62,17.92,20.42,19.36,20.95,22.36,19.10,19.07,19.93,20.87,21.94
2017,19.58,17.83,20.37,19.32,21.09,22.32,19.11,18.96,19.77,20.86,21.85
2018,19.71,17.94,20.49,19.44,21.18,22.43,19.26,19.13,19.97,20.94,21.99
2019,19.86,18.09,20.59,19.58,21.49,22.50,19.42,19.25,20.04,21.04,22.07
2020,19.92,18.18,20.63,19.66,21.46,22.55,19.48,19.29,20.09,21.12,22.11
2021,19.84,18.08,20.59,19.55,21.36,22.56,19.37,19.27,20.07,21.09,22.12
2022,19.82,17.99,20.57,19.58,21.43,22.50,19.35,19.16,19.99,21.08,22.06
2023,19.89,18.13,20.59,19.59,21.56,22.50,19.54,19.21,20.03,21.09,22.06
2024,20.07,18.31,20.79,19.80,21.63,22.69,19.66,19.44,20.23,21.22,22.25
2025,20.10,18.38,20.86,19.83,21.62,22.74,19.64,19.48,20.30,21.30,22.30
2026,20.06,18.36,20.79,19.80,21.59,22.73,19.63,19.39,20.22,21.28,22.27
2027,19.96,18.22,20.71,19.67,21.55,22.57,19.53,19.39,20.18,21.12,22.17
2028,20.13,18.43,20.90,19.89,21.52,22.78,19.69,19.50,20.35,21.34,22.37
2029,20.17,18.49,20.92,19.89,21.57,22.80,19.80,19.46,20.31,21.34,22.35
2030,20.11,18.33,20.84,19.84,21.67,22.74,19.69,19.45,20.27,21.29,22.33
2031,20.27,18.49,20.98,20.07,21.81,22.85,19.78,19.63,20.42,21.40,22.43
2032,20.18,18.44,20.91,19.92,21.76,22.80,19.73,19.51,20.32,21.36,22.37
2033,20.23,18.56,20.97,19.91,21.76,22.87,19.79,19.60,20.40,21.36,22.46
2034,20.21,18.47,20.94,19.92,21.85,22.81,19.77,19.55,20.38,21.33,22.43
2035,20.17,18.37,20.88,19.86,21.85,22.80,19.83,19.53,20.31,21.39,22.36
2036,20.37,18.65,21.04,20.06,21.99,22.91,20.02,19.69,20.46,21.46,22.48
2037,20.33,18.53,21.02,20.06,22.03,22.90,19.94,19.63,20.45,21.47,22.48
2038,20.24,18.50,20.98,19.99,21.79,22.91,19.76,19.57,20.40,21.45,22.45
2039,20.29,18.53,21.01,20.03,21.82,22.96,19.85,19.62,20.46,21.48,22.53
2040,20.26,18.56,21.00,20.00,21.78,22.87,19.77,19.61,20.39,21.40,22.43
2041,20.28,18.54,21.02,20.04,21.80,22.90,19.82,19.69,20.42,21.47,22.49
2042,20.36,18.64,21.09,20.08,21.87,23.04,19.94,19.73,20.56,21.60,22.60
2043,20.43,18.71,21.16,20.17,21.86,23.13,20.02,19.78,20.58,21.63,22.67
2044,20.34,18.59,21.06,20.08,21.79,22.97,19.93,19.67,20.49,21.51,22.54
2045,20.42,18.66,21.10,20.11,22.12,23.00,19.99,19.79,20.58,21.54,22.60
2046,20.57,18.87,21.24,20.25,22.16,23.15,20.21,20.01,20.76,21.68,22.75
2047,20.43,18.73,21.10,20.15,22.00,23.00,20.08,19.77,20.54,21.56,22.59
2048,20.32,18.64,21.02,20.02,21.85,22.98,19.95,19.64,20.44,21.54,22.56
2049,20.52,18.79,21.22,20.27,22.07,23.14,20.11,19.79,20.70,21.75,22.68
2050,20.57,18.82,21.28,20.27,22.21,23.20,20.17,19.89,20.68,21.73,22.77
2051,20.51,18.81,21.25,20.27,21.92,23.17,20.06,19.88,20.67,21.73,22.75
2052,20.46,18.70,21.16,20.21,22.05,22.99,20.07,19.82,20.59,21.53,22.57
2053,20.39,18.62,21.10,20.14,22.03,23.05,19.95,19.66,20.54,21.63,22.60
2054,20.38,18.67,21.06,20.13,21.96,23.00,19.98,19.68,20.47,21.53,22.56
2055,20.46,18.77,21.14,20.17,22.04,23.00,20.03,19.84,20.58,21.56,22.60
2056,20.47,18.65,21.18,20.21,22.18,23.03,20.06,19.82,20.60,21.65,22.61
2057,20.41,18.68,21.13,20.17,21.92,22.97,19.94,19.76,20.58,21.59,22.56
2058,20.47,18.68,21.22,20.25,22.02,23.09,19.90,19.86,20.65,21.70,22.68
2059,20.46,18.71,21.22,20.27,21.86,23.14,19.98,19.82,20.60,21.74,22.66
2060,20.59,18.83,21.31,20.36,22.09,23.19,20.19,19.89,20.73,21.79,22.77
2061,20.56,18.77,21.30,20.36,22.19,23.16,20.04,19.91,20.75,21.71,22.73
2062,20.46,18.72,21.19,20.19,22.02,23.03,20.06,19.82,20.62,21.54,22.64
2063,20.52,18.76,21.23,20.25,22.08,23.21,20.01,19.82,20.66,21.72,22.75
2064,20.62,18.87,21.33,20.35,22.19,23.28,20.16,19.91,20.80,21.87,22.84
2065,20.41,18.68,21.15,20.13,21.92,23.04,19.96,19.82,20.62,21.56,22.63
2066,20.60,18.77,21.34,20.40,22.18,23.29,20.08,19.97,20.82,21.84,22.84
2067,20.58,18.80,21.27,20.31,22.30,23.12,20.17,19.84,20.68,21.67,22.71
2068,20.50,18.79,21.21,20.23,22.06,23.09,20.08,19.87,20.64,21.69,22.69
2069,20.55,18.77,21.29,20.35,21.94,23.17,20.07,19.86,20.76,21.72,22.74
2070,20.63,18.93,21.34,20.33,22.17,23.23,20.21,20.04,20.85,21.76,22.85
2071,20.45,18.71,21.17,20.10,22.08,23.11,20.06,19.79,20.60,21.67,22.64
2072,20.37,18.55,21.11,20.09,22.00,23.07,19.95,19.64,20.54,21.68,22.58
2073,20.60,18.88,21.25,20.31,22.21,23.15,20.24,19.96,20.72,21.68,22.74
2074,20.57,18.82,21.26,20.32,22.10,23.20,20.14,19.90,20.71,21.78,22.78
2075,20.49,18.78,21.23,20.26,21.88,23.10,20.08,19.83,20.66,21.69,22.70
2076,20.50,18.72,21.24,20.16,22.13,23.15,20.08,19.86,20.67,21.76,22.72
2077,20.56,18.83,21.32,20.24,22.10,23.20,20.20,19.95,20.74,21.80,22.80
2078,20.59,18.73,21.34,20.37,22.21,23.27,20.13,19.88,20.73,21.84,22.80
2079,20.56,18.77,21.28,20.27,22.19,23.22,20.16,19.90,20.69,21.81,22.74
2080,20.41,18.64,21.14,20.11,22.05,23.07,20.00,19.74,20.61,21.60,22.64
2081,20.50,18.74,21.23,20.26,21.99,23.15,20.08,19.78,20.69,21.71,22.74
2082,20.57,18.78,21.34,20.30,22.04,23.24,20.13,19.93,20.76,21.86,22.80
2083,20.43,18.69,21.21,20.15,21.95,23.09,20.01,19.75,20.57,21.69,22.64
2084,20.46,18.77,21.16,20.15,22.01,23.06,20.05,19.79,20.63,21.67,22.71
2085,20.43,18.72,21.17,20.17,22.00,23.05,20.03,19.68,20.55,21.62,22.57
2086,20.49,18.68,21.24,20.23,21.95,23.22,20.07,19.70,20.61,21.75,22.74
2087,20.48,18.73,21.22,20.19,22.08,23.09,20.05,19.78,20.67,21.65,22.68
2088,20.41,18.65,21.12,20.11,21.90,23.15,20.02,19.69,20.58,21.66,22.65
2089,20.36,18.66,21.06,20.04,21.86,22.99,19.97,19.62,20.48,21.58,22.53
2090,20.50,18.88,21.16,20.18,22.20,23.06,20.07,19.77,20.63,21.62,22.64
2091,20.55,18.88,21.24,20.30,22.11,23.15,20.11,19.81,20.70,21.67,22.72
2092,20.43,18.74,21.13,20.17,21.97,23.09,19.99,19.73,20.58,21.62,22.66
2093,20.41,18.71,21.14,20.18,21.89,23.09,19.90,19.67,20.54,21.61,22.64
2094,20.40,18.66,21.13,20.08,21.96,23.11,19.99,19.72,20.56,21.69,22.63
2095,20.46,18.76,21.13,20.17,22.09,23.05,20.09,19.61,20.54,21.71,22.60
2096,20.18,18.45,20.91,19.88,21.65,22.86,19.79,19.52,20.39,21.46,22.43
2097,20.32,18.60,21.10,20.01,21.90,23.12,19.81,19.65,20.49,21.64,22.61
2098,20.44,18.70,21.14,20.14,22.15,23.07,20.08,19.74,20.57,21.58,22.63
2099,20.49,18.69,21.17,20.22,22.14,23.16,20.09,19.76,20.64,21.74,22.73
2100,20.52,18.72,21.23,20.22,22.23,23.10,20.14,19.79,20.62,21.68,22.63
