Variable:,tasmin
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
2015,21.75,21.91,22.63,23.36,24.63
2016,21.55,21.72,22.38,23.15,24.44
2017,21.76,21.95,22.60,23.31,24.60
2018,21.75,21.95,22.59,23.35,24.55
2019,21.70,21.92,22.61,23.40,24.70
2020,22.10,22.29,22.95,23.67,24.86
2021,22.02,22.21,22.89,23.61,24.81
2022,22.04,22.23,22.93,23.64,24.91
2023,21.99,22.17,22.84,23.61,24.84
2024,21.98,22.11,22.87,23.58,24.93
2025,22.13,22.29,23.00,23.69,24.91
2026,22.14,22.29,22.98,23.70,24.84
2027,22.03,22.20,22.93,23.67,24.86
2028,22.02,22.20,22.88,23.63,24.85
2029,22.12,22.29,22.95,23.69,24.88
2030,22.05,22.22,22.92,23.69,25.06
2031,22.16,22.33,23.05,23.74,24.99
2032,21.98,22.25,22.85,23.69,24.94
2033,22.08,22.27,22.94,23.74,24.94
2034,22.15,22.33,22.99,23.75,24.97
2035,22.17,22.36,23.04,23.79,25.11
2036,22.23,22.40,23.09,23.80,25.05
2037,22.21,22.36,23.05,23.75,25.01
2038,22.38,22.56,23.21,23.98,25.26
2039,22.26,22.40,23.13,23.85,25.12
2040,22.36,22.56,23.24,24.01,25.22
2041,22.45,22.67,23.33,24.09,25.40
2042,22.26,22.43,23.10,23.80,25.02
2043,22.05,22.27,22.93,23.68,24.97
2044,22.16,22.31,23.02,23.74,25.00
2045,22.50,22.74,23.34,24.12,25.30
2046,22.30,22.46,23.16,23.92,25.19
2047,22.33,22.48,23.22,23.87,25.07
2048,22.54,22.71,23.38,24.08,25.33
2049,22.19,22.37,23.06,23.86,25.13
2050,22.33,22.50,23.20,23.79,24.93
2051,22.41,22.56,23.24,23.95,25.15
2052,22.19,22.34,23.11,23.88,25.17
2053,22.13,22.31,22.98,23.71,24.95
2054,22.19,22.36,23.06,23.86,25.11
2055,22.22,22.40,23.11,23.84,25.07
2056,22.21,22.36,23.06,23.77,25.00
2057,22.16,22.35,23.03,23.82,25.03
2058,22.22,22.41,23.07,23.88,25.15
2059,22.35,22.58,23.20,24.01,25.15
2060,22.09,22.23,23.03,23.85,25.10
2061,22.05,22.27,22.89,23.75,25.00
2062,22.33,22.46,23.18,23.92,25.22
2063,22.30,22.52,23.10,23.92,25.09
2064,22.20,22.43,23.09,23.90,25.24
2065,22.06,22.30,22.90,23.64,24.80
2066,22.07,22.26,22.96,23.72,24.99
2067,22.49,22.69,23.35,24.01,25.17
2068,22.35,22.55,23.21,24.03,25.34
2069,22.24,22.46,23.10,23.85,25.07
2070,22.24,22.43,23.08,23.86,25.13
2071,22.15,22.38,22.96,23.80,25.02
2072,22.04,22.25,22.94,23.76,25.02
2073,22.11,22.28,22.98,23.76,24.85
2074,22.32,22.52,23.13,23.88,25.09
2075,21.93,22.12,22.80,23.66,24.86
2076,22.31,22.49,23.18,23.91,25.19
2077,22.14,22.37,22.95,23.79,25.00
2078,22.03,22.18,22.89,23.69,24.99
2079,22.14,22.40,22.96,23.70,24.79
2080,22.26,22.44,23.17,23.95,25.14
2081,21.98,22.12,22.88,23.68,24.93
2082,22.08,22.35,22.92,23.71,24.91
2083,22.20,22.36,23.10,23.80,25.08
2084,22.24,22.44,23.10,23.83,25.09
2085,21.99,22.14,22.86,23.55,24.83
2086,22.14,22.37,23.05,23.80,25.03
2087,22.23,22.42,23.09,23.87,25.14
2088,22.06,22.23,22.92,23.67,24.84
2089,21.85,22.09,22.69,23.55,24.83
2090,22.19,22.42,23.10,23.78,24.96
2091,22.44,22.59,23.35,24.00,25.12
2092,22.02,22.25,22.89,23.65,24.88
2093,21.99,22.21,22.89,23.69,24.92
2094,22.17,22.31,23.12,23.85,25.14
2095,22.15,22.30,23.02,23.73,25.00
2096,22.06,22.28,22.98,23.74,25.03
2097,21.95,22.13,22.91,23.73,25.02
2098,22.04,22.17,22.96,23.71,25.04
2099,21.97,22.17,22.86,23.65,24.96
2100,22.08,22.23,22.97,23.79,24.96
