Variable:,tas
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
2015,20.75,18.52,19.33,17.96,18.47
2016,20.91,18.71,19.53,18.16,18.65
2017,20.90,18.72,19.53,18.20,18.68
2018,20.89,18.68,19.55,18.19,18.71
2019,20.87,18.65,19.48,18.10,18.60
2020,20.83,18.60,19.39,18.04,18.55
2021,21.01,18.78,19.61,18.26,18.77
2022,21.12,18.92,19.72,18.40,18.85
2023,21.10,18.91,19.70,18.39,18.85
2024,21.02,18.83,19.66,18.34,18.81
2025,21.24,19.02,19.83,18.49,18.98
2026,21.30,19.06,19.84,18.49,18.98
2027,21.24,19.03,19.81,18.45,18.87
2028,21.18,19.03,19.83,18.51,18.97
2029,21.18,18.98,19.80,18.45,18.95
2030,21.15,18.91,19.76,18.39,18.90
2031,21.04,18.82,19.68,18.33,18.85
2032,21.38,19.21,20.00,18.67,19.14
2033,21.18,18.95,19.78,18.43,18.98
2034,21.18,19.00,19.81,18.50,18.97
2035,21.31,19.10,19.94,18.58,19.06
2036,21.37,19.17,19.96,18.62,19.17
2037,21.50,19.29,20.09,18.75,19.23
2038,21.37,19.16,19.96,18.62,19.09
2039,21.37,19.17,20.00,18.68,19.23
2040,21.28,19.13,19.93,18.62,19.04
2041,21.35,19.15,19.97,18.64,19.15
2042,21.45,19.25,20.11,18.78,19.27
2043,21.50,19.32,20.16,18.87,19.35
2044,21.23,19.07,19.87,18.57,19.01
2045,21.38,19.20,20.04,18.74,19.17
2046,21.50,19.32,20.16,18.84,19.36
2047,21.35,19.16,19.98,18.64,19.18
2048,21.70,19.51,20.37,19.06,19.51
2049,21.44,19.26,20.10,18.76,19.33
2050,21.63,19.45,20.26,18.96,19.40
2051,21.66,19.47,20.29,18.95,19.37
2052,21.45,19.27,20.08,18.76,19.18
2053,21.62,19.42,20.20,18.90,19.31
2054,21.52,19.34,20.13,18.79,19.28
2055,21.37,19.19,19.99,18.65,19.15
2056,21.58,19.42,20.19,18.88,19.33
2057,21.57,19.44,20.23,18.94,19.34
2058,21.68,19.50,20.33,19.02,19.47
2059,21.59,19.41,20.19,18.87,19.34
2060,21.59,19.41,20.21,18.91,19.33
2061,21.56,19.39,20.21,18.90,19.39
2062,21.40,19.25,20.06,18.75,19.24
2063,21.50,19.32,20.11,18.79,19.27
2064,21.65,19.50,20.30,19.01,19.47
2065,21.69,19.50,20.31,18.93,19.47
2066,21.67,19.53,20.29,19.03,19.45
2067,21.43,19.27,20.08,18.78,19.26
2068,21.72,19.55,20.36,19.04,19.50
2069,21.65,19.44,20.24,18.90,19.41
2070,21.68,19.56,20.36,19.09,19.55
2071,21.62,19.44,20.26,18.97,19.39
2072,21.58,19.41,20.22,18.92,19.35
2073,21.75,19.54,20.35,19.02,19.53
2074,21.69,19.42,20.28,18.99,19.43
2075,21.39,19.26,20.05,18.77,19.21
2076,21.40,19.25,20.07,18.76,19.19
2077,21.65,19.54,20.32,19.01,19.47
2078,21.61,19.48,20.35,19.03,19.62
2079,21.64,19.53,20.33,19.05,19.47
2080,21.47,19.27,20.11,18.81,19.21
2081,21.73,19.54,20.34,19.03,19.51
2082,21.80,19.62,20.42,19.09,19.56
2083,21.39,19.22,20.03,18.74,19.23
2084,21.61,19.41,20.21,18.89,19.40
2085,21.48,19.28,20.08,18.74,19.25
2086,21.83,19.69,20.46,19.18,19.64
2087,21.68,19.49,20.24,18.92,19.32
2088,21.53,19.36,20.19,18.87,19.32
2089,21.58,19.34,20.19,18.84,19.33
2090,21.42,19.25,20.08,18.76,19.23
2091,21.88,19.72,20.49,19.18,19.68
2092,21.58,19.41,20.23,18.91,19.39
2093,21.38,19.25,20.12,18.81,19.29
2094,21.74,19.59,20.40,19.08,19.56
2095,21.66,19.42,20.24,18.89,19.38
2096,21.51,19.32,20.12,18.79,19.28
2097,21.50,19.37,20.19,18.92,19.35
2098,21.51,19.34,20.16,18.83,19.33
2099,21.65,19.45,20.28,18.96,19.47
2100,21.42,19.23,20.04,18.72,19.22
