Variable:,tasmax
,"New Caledonia","Administrative unit not available"
2015,25.67,25.43
2016,25.58,25.38
2017,25.65,25.44
2018,25.65,25.43
2019,25.73,25.49
2020,25.82,25.60
2021,25.72,25.49
2022,25.76,25.53
2023,25.84,25.62
2024,25.78,25.55
2025,25.90,25.71
2026,25.83,25.63
2027,25.77,25.57
2028,25.84,25.61
2029,25.93,25.72
2030,25.92,25.71
2031,25.86,25.64
2032,25.91,25.70
2033,26.14,25.89
2034,25.99,25.80
2035,26.01,25.79
2036,26.08,25.87
2037,25.94,25.73
2038,26.01,25.79
2039,26.08,25.85
2040,26.11,25.89
2041,26.21,25.99
2042,26.24,26.02
2043,26.20,25.99
2044,26.24,26.02
2045,26.36,26.13
2046,26.24,26.02
2047,26.28,26.08
2048,26.20,26.01
2049,26.37,26.15
2050,26.35,26.14
2051,26.36,26.17
2052,26.23,26.00
2053,26.44,26.22
2054,26.40,26.19
2055,26.49,26.29
2056,26.53,26.31
2057,26.63,26.40
2058,26.45,26.25
2059,26.48,26.24
2060,26.56,26.34
2061,26.60,26.38
2062,26.29,26.08
2063,26.64,26.44
2064,26.70,26.50
2065,26.60,26.39
2066,26.79,26.58
2067,26.58,26.37
2068,26.66,26.44
2069,26.70,26.49
2070,26.74,26.52
2071,26.67,26.44
2072,26.65,26.47
2073,26.72,26.51
2074,26.94,26.69
2075,26.75,26.59
2076,26.55,26.35
2077,26.76,26.52
2078,27.01,26.77
2079,26.76,26.54
2080,26.84,26.63
2081,26.85,26.64
2082,26.82,26.61
2083,27.00,26.79
2084,27.02,26.79
2085,27.15,26.95
2086,26.93,26.71
2087,26.94,26.73
2088,26.93,26.71
2089,26.88,26.65
2090,26.84,26.65
2091,27.02,26.82
2092,26.98,26.77
2093,26.97,26.74
2094,26.97,26.77
2095,27.06,26.87
2096,27.02,26.81
2097,26.95,26.74
2098,27.03,26.81
2099,27.10,26.92
2100,27.00,26.79
