Variable:,tasmin
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
2015,2.63,3.11,3.99,2.18,2.95,2.47,2.37,3.66,3.59,2.14,3.43,4.04,2.27,2.50,3.00,2.26,1.86
2016,2.77,3.13,4.10,2.35,3.09,2.70,2.45,3.81,3.84,2.45,3.61,4.16,2.54,2.77,3.18,2.60,2.19
2017,2.71,3.08,4.04,2.27,3.03,2.64,2.39,3.79,3.82,2.44,3.58,4.13,2.48,2.74,3.12,2.62,2.16
2018,2.76,3.27,4.15,2.27,3.04,2.56,2.49,3.85,3.78,2.32,3.60,4.22,2.41,2.60,3.05,2.43,2.09
2019,2.90,3.42,4.36,2.36,3.27,2.78,2.61,4.03,3.99,2.48,3.80,4.43,2.58,2.79,3.32,2.62,2.18
2020,2.70,3.13,4.04,2.24,2.98,2.58,2.42,3.68,3.66,2.43,3.47,4.12,2.43,2.73,3.02,2.64,2.13
2021,3.29,3.71,4.53,2.81,3.55,3.20,3.00,4.25,4.24,2.96,4.06,4.59,3.07,3.17,3.58,3.00,2.79
2022,3.43,3.84,4.55,2.91,3.77,3.41,3.19,4.29,4.33,3.22,4.16,4.62,3.26,3.48,3.81,3.38,2.94
2023,2.56,3.13,3.94,2.08,2.84,2.30,2.35,3.56,3.47,2.08,3.33,3.98,2.15,2.35,2.79,2.20,1.83
2024,3.05,3.48,4.38,2.52,3.35,2.97,2.77,4.11,4.14,2.70,3.92,4.45,2.81,2.98,3.41,2.78,2.49
2025,3.42,3.86,4.75,2.98,3.68,3.26,3.14,4.43,4.42,3.04,4.23,4.81,3.12,3.35,3.71,3.17,2.82
2026,3.34,3.77,4.54,2.93,3.60,3.24,3.11,4.31,4.39,3.04,4.20,4.62,3.06,3.38,3.66,3.32,2.64
2027,2.95,3.49,4.60,2.33,3.34,2.80,2.55,4.27,4.17,2.62,3.94,4.66,2.61,2.99,3.41,2.91,2.23
