Variable:,tasmax
,Kiribati,"Administrative unit not available"
2015,29.36,28.30
2016,29.60,28.56
2017,29.68,28.63
2018,29.63,28.60
2019,29.38,28.37
2020,29.41,28.37
2021,29.83,28.76
2022,29.79,28.66
2023,29.75,28.69
2024,29.92,28.85
2025,29.79,28.70
2026,29.86,28.80
2027,29.89,28.89
2028,29.89,28.83
2029,30.01,28.94
2030,29.95,28.84
2031,30.18,29.09
2032,30.13,29.08
2033,29.85,28.81
2034,29.89,28.86
2035,29.75,28.73
2036,30.17,29.12
2037,30.39,29.35
2038,30.18,29.14
2039,30.05,29.05
2040,30.29,29.19
2041,30.32,29.24
2042,30.17,29.15
2043,30.19,29.15
2044,30.00,28.98
2045,30.27,29.23
2046,30.38,29.29
2047,30.28,29.22
2048,30.68,29.56
2049,30.32,29.27
2050,30.29,29.25
2051,30.40,29.34
2052,30.69,29.62
2053,30.31,29.25
2054,30.43,29.36
2055,30.35,29.34
2056,30.66,29.57
2057,30.65,29.58
2058,30.65,29.49
2059,30.90,29.84
2060,31.07,29.91
2061,30.53,29.41
2062,30.66,29.56
2063,30.63,29.61
2064,30.50,29.50
2065,30.96,29.82
2066,30.69,29.63
2067,30.44,29.39
2068,31.06,29.97
2069,30.84,29.69
2070,30.73,29.67
2071,30.79,29.69
2072,30.91,29.86
2073,31.09,30.00
2074,30.66,29.58
2075,30.75,29.69
2076,31.18,30.10
2077,31.02,29.92
2078,30.87,29.84
2079,30.89,29.84
2080,31.03,29.96
2081,30.85,29.84
2082,31.02,29.92
2083,31.10,30.06
2084,30.91,29.89
2085,31.27,30.17
2086,31.26,30.12
2087,31.13,30.05
2088,31.14,30.04
2089,31.05,30.07
2090,31.27,30.15
2091,31.01,29.92
2092,31.32,30.18
2093,31.07,29.95
2094,31.45,30.26
2095,31.09,30.02
2096,31.02,30.01
2097,30.97,29.95
2098,31.22,30.15
2099,31.16,30.14
2100,31.12,30.07
