Variable:,tasmax
,Tajikistan,"Badakhshoni Kuni",Khatlon,Sogd,"Tadzhikistan Territories"
2015,10.17,5.24,23.72,14.70,15.78
2016,10.22,5.39,23.68,14.56,15.73
2017,10.42,5.56,23.75,14.85,15.91
2018,10.00,5.15,23.37,14.41,15.49
2019,10.14,5.26,23.59,14.61,15.68
2020,10.32,5.49,23.82,14.64,15.89
2021,10.41,5.48,23.92,14.89,16.02
2022,10.42,5.49,23.94,14.90,16.04
2023,10.38,5.45,23.83,14.83,15.93
2024,10.70,5.89,24.23,15.02,16.23
2025,10.76,5.84,24.37,15.22,16.39
2026,10.50,5.65,23.96,14.89,16.05
2027,10.67,5.85,24.05,15.01,16.22
2028,10.76,5.80,24.30,15.24,16.43
2029,10.89,6.01,24.50,15.33,16.49
2030,10.74,5.84,24.36,15.21,16.33
2031,10.66,5.79,24.06,15.22,16.16
2032,11.06,6.26,24.56,15.39,16.64
2033,10.72,5.75,24.23,15.26,16.33
2034,10.61,5.68,24.15,15.07,16.17
2035,10.91,6.08,24.34,15.27,16.42
2036,10.84,6.00,24.31,15.26,16.40
2037,11.07,6.15,24.53,15.46,16.66
2038,11.00,6.09,24.43,15.44,16.56
2039,10.74,5.92,24.13,15.10,16.24
2040,11.32,6.40,24.83,15.84,16.92
2041,11.12,6.27,24.61,15.51,16.68
2042,11.02,6.16,24.53,15.35,16.58
2043,11.14,6.20,24.66,15.57,16.74
2044,11.42,6.62,24.79,15.75,16.96
2045,11.37,6.50,24.86,15.81,16.93
2046,11.32,6.37,24.80,15.89,16.89
2047,11.23,6.37,24.78,15.63,16.80
2048,11.37,6.56,24.75,15.63,16.86
2049,11.49,6.60,25.00,15.97,17.07
2050,11.70,6.89,25.15,16.03,17.25
2051,11.55,6.69,25.08,15.87,17.13
2052,11.68,6.70,25.15,16.14,17.30
2053,11.76,6.86,25.19,16.23,17.33
2054,11.80,6.78,25.40,16.35,17.43
2055,11.88,6.97,25.35,16.34,17.52
2056,11.83,6.94,25.29,16.33,17.40
2057,11.94,7.12,25.42,16.36,17.48
2058,11.76,6.78,25.24,16.22,17.38
2059,12.02,7.11,25.53,16.45,17.67
2060,11.65,6.87,25.09,15.93,17.15
2061,11.65,6.81,25.18,16.03,17.20
2062,12.02,7.18,25.56,16.38,17.55
2063,11.98,7.19,25.37,16.31,17.51
2064,11.98,7.09,25.59,16.38,17.61
2065,12.02,7.11,25.48,16.53,17.64
2066,12.03,7.21,25.54,16.41,17.52
2067,12.38,7.40,26.01,16.78,18.07
2068,12.15,7.37,25.41,16.46,17.63
2069,12.43,7.53,25.99,16.83,18.06
2070,12.14,7.22,25.76,16.55,17.73
2071,12.11,7.09,25.70,16.56,17.74
2072,12.13,7.36,25.59,16.43,17.69
2073,12.27,7.38,25.78,16.69,17.79
2074,12.62,7.72,26.23,17.15,18.28
2075,12.44,7.62,25.88,16.77,17.97
2076,12.31,7.57,25.75,16.58,17.85
2077,12.48,7.54,25.98,16.95,18.03
2078,12.24,7.39,25.75,16.58,17.82
2079,12.21,7.33,25.77,16.60,17.82
2080,12.36,7.47,25.78,16.78,17.93
2081,12.22,7.39,25.67,16.59,17.74
2082,12.55,7.63,26.18,16.92,18.22
2083,12.66,7.80,26.12,17.00,18.19
2084,12.72,7.77,26.29,17.23,18.34
2085,12.70,7.92,26.24,17.04,18.29
2086,12.53,7.69,25.93,16.86,18.02
2087,12.64,7.68,26.15,17.13,18.27
2088,12.46,7.61,25.98,16.88,18.07
2089,12.67,7.82,26.21,17.03,18.22
2090,12.71,7.87,26.14,17.01,18.28
2091,12.72,7.84,26.23,17.16,18.25
2092,12.71,7.74,26.26,17.21,18.34
2093,12.66,7.74,26.11,17.17,18.25
2094,12.89,8.02,26.39,17.25,18.52
2095,12.68,7.76,26.24,17.10,18.32
2096,12.84,7.88,26.40,17.34,18.55
2097,12.78,7.87,26.34,17.26,18.34
2098,12.86,8.01,26.39,17.30,18.41
2099,12.73,7.88,26.22,17.21,18.33
2100,12.66,7.76,26.07,17.11,18.23
