Variable:,tas
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
2015,13.20,23.56,22.13,22.08,17.95,20.59
2016,13.10,23.46,22.01,21.91,17.80,20.46
2017,13.17,23.55,22.13,22.04,17.93,20.56
2018,13.09,23.63,22.14,22.07,17.88,20.56
2019,13.20,23.56,22.16,22.00,17.91,20.56
2020,13.21,23.56,22.13,22.03,17.95,20.55
2021,13.23,23.66,22.18,22.08,17.96,20.63
2022,13.30,23.59,22.19,22.11,17.97,20.61
2023,13.34,23.78,22.32,22.23,18.08,20.77
2024,13.60,23.91,22.36,22.43,18.32,20.98
2025,13.27,23.64,22.18,22.07,17.99,20.66
2026,13.56,23.86,22.40,22.42,18.31,20.90
2027,13.45,23.73,22.35,22.31,18.21,20.79
2028,13.48,23.82,22.37,22.28,18.18,20.81
2029,13.56,24.00,22.59,22.42,18.29,20.94
2030,13.47,23.81,22.40,22.17,18.09,20.79
2031,13.51,23.94,22.52,22.28,18.22,20.93
2032,13.70,24.05,22.60,22.41,18.42,21.06
2033,13.59,23.82,22.40,22.30,18.22,20.85
2034,13.74,24.08,22.61,22.52,18.44,21.11
2035,13.66,23.98,22.53,22.54,18.38,20.96
2036,13.55,23.76,22.45,22.22,18.16,20.81
2037,13.75,24.12,22.60,22.65,18.49,21.14
2038,13.77,24.04,22.63,22.57,18.46,21.08
2039,13.79,24.11,22.61,22.62,18.51,21.15
2040,13.80,24.13,22.64,22.54,18.45,21.14
2041,13.97,24.22,22.74,22.69,18.67,21.27
2042,14.12,24.58,23.07,23.03,18.85,21.54
2043,13.93,24.29,22.78,22.77,18.66,21.30
2044,14.24,24.58,23.07,23.13,18.98,21.60
2045,14.01,24.23,22.79,22.84,18.74,21.29
2046,14.07,24.39,22.92,22.97,18.85,21.42
2047,14.06,24.55,23.03,22.76,18.73,21.52
2048,14.11,24.58,23.04,22.99,18.87,21.64
2049,14.25,24.70,23.31,23.08,18.98,21.62
2050,14.36,24.74,23.15,23.23,19.17,21.76
2051,14.29,24.74,23.19,23.16,19.04,21.77
2052,14.33,24.75,23.28,23.20,19.15,21.78
2053,14.31,24.74,23.33,23.13,19.05,21.72
2054,14.39,24.84,23.32,23.18,19.13,21.85
2055,14.50,24.87,23.29,23.49,19.41,21.95
2056,14.47,24.85,23.42,23.36,19.20,21.87
2057,14.62,25.02,23.51,23.59,19.42,22.05
2058,14.44,24.88,23.41,23.34,19.19,21.89
2059,14.56,24.97,23.37,23.49,19.37,21.96
2060,14.71,25.12,23.53,23.54,19.47,22.15
2061,14.66,24.94,23.44,23.56,19.49,22.07
2062,14.74,25.04,23.55,23.62,19.51,22.09
2063,14.64,24.96,23.47,23.43,19.35,21.96
2064,14.77,25.17,23.63,23.66,19.61,22.22
2065,14.62,25.05,23.51,23.56,19.44,22.06
2066,14.73,25.07,23.60,23.68,19.50,22.10
2067,14.68,24.93,23.46,23.50,19.39,22.00
2068,15.08,25.48,23.86,23.93,19.84,22.48
2069,14.98,25.41,23.85,23.86,19.73,22.38
2070,14.72,25.01,23.52,23.53,19.44,22.02
2071,14.73,25.17,23.74,23.45,19.46,22.11
2072,14.92,25.21,23.70,23.71,19.67,22.29
2073,15.05,25.56,23.89,24.06,19.85,22.57
2074,14.96,25.38,23.88,23.86,19.75,22.38
2075,15.11,25.47,23.89,23.97,19.84,22.56
2076,14.99,25.39,23.87,23.76,19.75,22.42
2077,15.02,25.38,23.88,23.90,19.77,22.41
2078,14.95,25.33,23.80,23.78,19.65,22.35
2079,15.11,25.48,23.94,23.92,19.86,22.50
2080,15.15,25.50,24.01,24.06,19.96,22.56
2081,15.15,25.45,24.01,24.02,19.85,22.47
2082,15.09,25.46,23.99,23.90,19.84,22.43
2083,15.27,25.70,24.19,24.33,20.16,22.67
2084,15.20,25.47,24.03,24.16,20.01,22.54
2085,15.07,25.52,24.07,23.86,19.82,22.43
2086,15.05,25.30,23.92,23.83,19.78,22.40
2087,15.17,25.51,24.09,23.96,19.86,22.53
2088,15.12,25.47,23.97,23.92,19.84,22.57
2089,15.08,25.59,24.11,23.84,19.85,22.51
2090,15.28,25.70,24.19,24.11,20.04,22.65
2091,15.30,25.64,24.20,24.08,20.03,22.65
2092,15.35,25.66,24.25,24.17,20.05,22.64
2093,15.19,25.54,24.07,24.11,19.96,22.59
2094,15.40,25.64,24.16,24.33,20.29,22.74
2095,15.47,25.89,24.40,24.40,20.27,22.90
2096,15.36,25.75,24.16,24.23,20.15,22.82
2097,15.31,25.63,24.27,24.13,19.97,22.69
2098,15.24,25.65,24.12,24.15,19.96,22.66
2099,15.32,25.62,24.17,24.13,20.06,22.71
2100,15.52,25.89,24.27,24.40,20.31,22.92
