Variable:,tas
2015,22.83
2016,22.82
2017,22.82
2018,22.83
2019,22.65
2020,23.21
2021,22.91
2022,22.94
2023,23.07
2024,23.19
2025,23.06
2026,22.99
2027,23.15
2028,23.06
2029,23.10
2030,23.13
2031,23.20
2032,23.00
2033,22.95
2034,23.08
2035,22.99
2036,23.04
2037,23.11
2038,23.26
2039,23.10
2040,23.19
2041,23.25
2042,23.16
2043,22.97
2044,22.99
2045,23.22
2046,23.29
2047,23.21
2048,23.32
2049,23.16
2050,22.97
2051,23.05
2052,23.07
2053,23.08
2054,23.26
2055,22.98
2056,23.11
2057,23.18
2058,23.21
2059,23.32
2060,23.30
2061,23.25
2062,23.10
2063,23.26
2064,23.09
2065,22.91
2066,23.11
2067,23.17
2068,23.16
2069,23.14
2070,23.23
2071,23.21
2072,23.07
2073,22.98
2074,23.23
2075,23.04
2076,23.13
2077,23.19
2078,23.02
2079,23.09
2080,23.19
2081,23.21
2082,23.17
2083,23.10
2084,23.08
2085,23.04
2086,22.96
2087,23.11
2088,22.94
2089,22.93
2090,23.17
2091,23.17
2092,23.08
2093,23.01
2094,22.97
2095,23.07
2096,23.07
2097,22.99
2098,22.90
2099,23.01
2100,23.16
