Variable:,tas
2015,25.52
2016,25.46
2017,25.59
2018,25.50
2019,25.59
2020,25.57
2021,25.70
2022,25.71
2023,25.70
2024,25.90
2025,25.78
2026,25.83
2027,25.73
2028,25.86
2029,25.81
2030,25.82
2031,25.95
2032,25.93
2033,25.97
2034,25.90
2035,25.94
2036,25.91
2037,26.01
2038,26.08
2039,26.11
2040,26.08
2041,25.98
2042,26.12
2043,26.03
2044,25.99
2045,26.09
2046,26.14
2047,26.17
2048,26.38
2049,26.23
2050,26.15
2051,26.13
2052,26.45
2053,26.37
2054,26.33
2055,26.31
2056,26.31
2057,26.54
2058,26.34
2059,26.41
2060,26.50
2061,26.44
2062,26.32
2063,26.58
2064,26.57
2065,26.65
2066,26.57
2067,26.57
2068,26.56
2069,26.64
2070,26.70
2071,26.53
2072,26.51
2073,26.75
2074,26.65
2075,26.72
2076,26.74
2077,26.81
2078,26.80
2079,26.63
2080,26.67
2081,26.77
2082,26.78
2083,26.71
2084,26.83
2085,26.92
2086,26.92
2087,26.89
2088,26.70
2089,26.87
2090,26.92
2091,26.87
2092,26.89
2093,26.82
2094,26.95
2095,27.06
2096,26.95
2097,26.87
2098,26.84
2099,26.94
2100,26.95
