Variable:,tas
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
2015,19.70,20.00,19.83,18.55,19.03,18.96
2016,19.76,20.06,19.84,18.66,19.14,19.09
2017,19.98,20.26,20.09,18.87,19.36,19.29
2018,19.89,20.15,19.99,18.81,19.30,19.22
2019,19.88,20.15,19.99,18.77,19.16,19.13
2020,20.22,20.47,20.29,19.14,19.61,19.56
2021,20.00,20.26,20.10,18.94,19.38,19.35
2022,19.89,20.19,20.00,18.80,19.31,19.24
2023,19.94,20.20,20.03,18.86,19.26,19.23
2024,20.13,20.46,20.26,18.96,19.48,19.39
2025,20.15,20.45,20.26,19.07,19.55,19.51
2026,20.07,20.36,20.18,19.04,19.49,19.46
2027,20.09,20.35,20.18,19.00,19.39,19.36
2028,20.13,20.40,20.23,19.05,19.52,19.47
2029,20.02,20.29,20.11,18.94,19.43,19.37
2030,20.17,20.45,20.28,19.05,19.54,19.48
2031,20.14,20.42,20.25,19.02,19.51,19.46
2032,20.14,20.41,20.25,19.04,19.43,19.39
2033,20.19,20.50,20.34,19.08,19.53,19.47
2034,20.33,20.59,20.43,19.23,19.64,19.61
2035,20.34,20.66,20.45,19.20,19.76,19.67
2036,20.50,20.79,20.62,19.36,19.76,19.73
2037,20.33,20.63,20.44,19.20,19.75,19.65
2038,20.38,20.64,20.47,19.29,19.81,19.74
2039,20.20,20.49,20.32,19.12,19.60,19.54
2040,20.27,20.53,20.36,19.21,19.62,19.60
2041,20.35,20.62,20.42,19.37,19.96,19.89
2042,20.06,20.32,20.15,19.01,19.52,19.46
2043,20.15,20.45,20.28,19.04,19.53,19.46
2044,20.47,20.74,20.58,19.42,19.91,19.83
2045,20.59,20.84,20.67,19.51,19.99,19.94
2046,20.55,20.86,20.68,19.42,19.91,19.84
2047,20.32,20.61,20.42,19.34,19.82,19.78
2048,20.35,20.63,20.46,19.24,19.64,19.59
2049,20.29,20.60,20.39,19.11,19.56,19.51
2050,20.36,20.68,20.51,19.24,19.76,19.66
2051,20.53,20.85,20.68,19.43,19.85,19.80
2052,20.59,20.85,20.70,19.47,20.00,19.90
2053,20.27,20.55,20.38,19.24,19.60,19.60
2054,20.38,20.67,20.50,19.27,19.70,19.65
2055,20.33,20.66,20.47,19.19,19.74,19.64
2056,20.21,20.51,20.34,19.10,19.64,19.56
2057,20.24,20.50,20.33,19.13,19.69,19.62
2058,20.44,20.72,20.54,19.35,19.81,19.76
2059,20.43,20.74,20.55,19.29,19.74,19.69
2060,20.42,20.67,20.50,19.30,19.64,19.64
2061,20.43,20.70,20.54,19.27,19.74,19.67
2062,20.47,20.72,20.56,19.40,19.80,19.77
2063,20.53,20.82,20.66,19.45,19.88,19.84
2064,20.21,20.51,20.33,19.13,19.63,19.56
2065,19.94,20.20,20.02,18.93,19.34,19.34
2066,20.28,20.59,20.43,19.18,19.63,19.56
2067,20.44,20.76,20.57,19.26,19.76,19.69
2068,20.37,20.67,20.49,19.26,19.81,19.72
2069,20.30,20.57,20.39,19.19,19.57,19.57
2070,20.20,20.56,20.37,19.09,19.62,19.53
2071,20.31,20.64,20.45,19.24,19.74,19.67
2072,20.16,20.42,20.23,19.03,19.60,19.49
2073,20.33,20.60,20.44,19.21,19.62,19.59
2074,20.36,20.63,20.46,19.26,19.72,19.67
2075,20.01,20.30,20.13,18.90,19.37,19.30
2076,20.36,20.62,20.48,19.25,19.69,19.63
2077,20.37,20.62,20.47,19.32,19.72,19.70
2078,20.33,20.66,20.48,19.14,19.63,19.53
2079,20.24,20.47,20.33,19.16,19.53,19.52
2080,20.41,20.69,20.53,19.28,19.79,19.71
2081,19.96,20.31,20.12,18.86,19.35,19.28
2082,20.29,20.54,20.38,19.21,19.58,19.57
2083,20.20,20.50,20.32,19.08,19.49,19.46
2084,20.05,20.34,20.15,18.86,19.40,19.32
2085,19.98,20.36,20.18,18.87,19.25,19.22
2086,20.10,20.38,20.23,19.03,19.36,19.38
2087,20.35,20.64,20.46,19.26,19.81,19.72
2088,20.05,20.32,20.13,19.01,19.54,19.48
2089,20.06,20.27,20.14,18.92,19.30,19.27
2090,20.30,20.61,20.44,19.14,19.67,19.57
2091,20.33,20.61,20.44,19.24,19.65,19.62
2092,19.96,20.20,20.03,18.92,19.39,19.36
2093,20.16,20.40,20.25,19.05,19.44,19.41
2094,20.27,20.54,20.38,19.14,19.59,19.53
2095,20.13,20.41,20.25,18.99,19.45,19.39
2096,20.21,20.41,20.24,19.10,19.59,19.53
2097,19.92,20.18,20.02,18.82,19.26,19.22
2098,20.14,20.44,20.27,19.03,19.50,19.44
2099,20.01,20.30,20.13,18.88,19.38,19.31
2100,20.36,20.68,20.51,19.31,19.73,19.70
