Variable:,tas
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
2015,27.87,28.06,28.06,28.06,28.06,28.02,28.06,28.06,28.06,28.06
2016,27.95,28.17,28.17,28.17,28.17,28.13,28.17,28.17,28.17,28.17
2017,27.97,28.11,28.11,28.11,28.11,28.08,28.11,28.11,28.11,28.11
2018,28.09,28.22,28.22,28.22,28.22,28.20,28.22,28.22,28.22,28.22
2019,28.17,28.31,28.31,28.31,28.31,28.28,28.31,28.31,28.31,28.31
2020,28.21,28.41,28.41,28.41,28.41,28.37,28.41,28.41,28.41,28.41
2021,28.15,28.33,28.33,28.33,28.33,28.30,28.33,28.33,28.33,28.33
2022,28.11,28.28,28.28,28.28,28.28,28.25,28.28,28.28,28.28,28.28
2023,28.16,28.34,28.34,28.34,28.34,28.31,28.34,28.34,28.34,28.34
2024,28.30,28.50,28.50,28.50,28.50,28.46,28.50,28.50,28.50,28.50
2025,28.22,28.35,28.35,28.35,28.35,28.33,28.35,28.35,28.35,28.35
2026,28.29,28.49,28.49,28.49,28.49,28.45,28.49,28.49,28.49,28.49
2027,28.20,28.37,28.37,28.37,28.37,28.34,28.37,28.37,28.37,28.37
2028,28.33,28.45,28.45,28.45,28.45,28.43,28.45,28.45,28.45,28.45
2029,28.32,28.46,28.46,28.46,28.46,28.43,28.46,28.46,28.46,28.46
2030,28.30,28.44,28.44,28.44,28.44,28.41,28.44,28.44,28.44,28.44
2031,28.40,28.66,28.66,28.66,28.66,28.61,28.66,28.66,28.66,28.66
2032,28.37,28.55,28.55,28.55,28.55,28.52,28.55,28.55,28.55,28.55
2033,28.45,28.70,28.70,28.70,28.70,28.65,28.70,28.70,28.70,28.70
2034,28.39,28.64,28.64,28.64,28.64,28.59,28.64,28.64,28.64,28.64
2035,28.31,28.36,28.36,28.36,28.36,28.35,28.36,28.36,28.36,28.36
2036,28.41,28.66,28.66,28.66,28.66,28.61,28.66,28.66,28.66,28.66
2037,28.49,28.66,28.66,28.66,28.66,28.63,28.66,28.66,28.66,28.66
2038,28.47,28.70,28.70,28.70,28.70,28.66,28.70,28.70,28.70,28.70
2039,28.56,28.70,28.70,28.70,28.70,28.67,28.70,28.70,28.70,28.70
2040,28.45,28.60,28.60,28.60,28.60,28.57,28.60,28.60,28.60,28.60
2041,28.46,28.60,28.60,28.60,28.60,28.57,28.60,28.60,28.60,28.60
2042,28.53,28.69,28.69,28.69,28.69,28.66,28.69,28.69,28.69,28.69
2043,28.62,28.86,28.86,28.86,28.86,28.82,28.86,28.86,28.86,28.86
2044,28.56,28.81,28.81,28.81,28.81,28.76,28.81,28.81,28.81,28.81
2045,28.48,28.64,28.64,28.64,28.64,28.61,28.64,28.64,28.64,28.64
2046,28.60,28.83,28.83,28.83,28.83,28.79,28.83,28.83,28.83,28.83
2047,28.59,28.78,28.78,28.78,28.78,28.74,28.78,28.78,28.78,28.78
2048,28.60,28.77,28.77,28.77,28.77,28.74,28.77,28.77,28.77,28.77
2049,28.58,28.70,28.70,28.70,28.70,28.68,28.70,28.70,28.70,28.70
2050,28.68,28.83,28.83,28.83,28.83,28.80,28.83,28.83,28.83,28.83
2051,28.70,28.86,28.86,28.86,28.86,28.83,28.86,28.86,28.86,28.86
2052,28.67,28.84,28.84,28.84,28.84,28.81,28.84,28.84,28.84,28.84
2053,28.55,28.74,28.74,28.74,28.74,28.70,28.74,28.74,28.74,28.74
2054,28.58,28.74,28.74,28.74,28.74,28.71,28.74,28.74,28.74,28.74
2055,28.54,28.71,28.71,28.71,28.71,28.68,28.71,28.71,28.71,28.71
2056,28.63,28.80,28.80,28.80,28.80,28.77,28.80,28.80,28.80,28.80
2057,28.60,28.82,28.82,28.82,28.82,28.78,28.82,28.82,28.82,28.82
2058,28.63,28.92,28.92,28.92,28.92,28.87,28.92,28.92,28.92,28.92
2059,28.68,28.83,28.83,28.83,28.83,28.80,28.83,28.83,28.83,28.83
2060,28.75,28.91,28.91,28.91,28.91,28.88,28.91,28.91,28.91,28.91
2061,28.65,28.84,28.84,28.84,28.84,28.80,28.84,28.84,28.84,28.84
2062,28.62,28.80,28.80,28.80,28.80,28.77,28.80,28.80,28.80,28.80
2063,28.68,28.84,28.84,28.84,28.84,28.81,28.84,28.84,28.84,28.84
2064,28.81,28.95,28.95,28.95,28.95,28.92,28.95,28.95,28.95,28.95
2065,28.57,28.79,28.79,28.79,28.79,28.75,28.79,28.79,28.79,28.79
2066,28.79,28.96,28.96,28.96,28.96,28.93,28.96,28.96,28.96,28.96
2067,28.80,28.99,28.99,28.99,28.99,28.95,28.99,28.99,28.99,28.99
2068,28.75,28.93,28.93,28.93,28.93,28.90,28.93,28.93,28.93,28.93
2069,28.66,28.92,28.92,28.92,28.92,28.87,28.92,28.92,28.92,28.92
2070,28.82,29.04,29.04,29.04,29.04,29.00,29.04,29.04,29.04,29.04
2071,28.72,28.86,28.86,28.86,28.86,28.83,28.86,28.86,28.86,28.86
2072,28.62,28.77,28.77,28.77,28.77,28.74,28.77,28.77,28.77,28.77
2073,28.77,28.93,28.93,28.93,28.93,28.90,28.93,28.93,28.93,28.93
2074,28.90,29.05,29.05,29.05,29.05,29.02,29.05,29.05,29.05,29.05
2075,28.75,28.92,28.92,28.92,28.92,28.89,28.92,28.92,28.92,28.92
2076,28.67,28.88,28.88,28.88,28.88,28.84,28.88,28.88,28.88,28.88
2077,28.80,28.99,28.99,28.99,28.99,28.95,28.99,28.99,28.99,28.99
2078,28.75,28.87,28.87,28.87,28.87,28.85,28.87,28.87,28.87,28.87
2079,28.82,28.99,28.99,28.99,28.99,28.96,28.99,28.99,28.99,28.99
2080,28.64,28.86,28.86,28.86,28.86,28.82,28.86,28.86,28.86,28.86
2081,28.70,28.92,28.92,28.92,28.92,28.88,28.92,28.92,28.92,28.92
2082,28.86,29.00,29.00,29.00,29.00,28.97,29.00,29.00,29.00,29.00
2083,28.69,28.88,28.88,28.88,28.88,28.84,28.88,28.88,28.88,28.88
2084,28.71,28.88,28.88,28.88,28.88,28.85,28.88,28.88,28.88,28.88
2085,28.67,28.84,28.84,28.84,28.84,28.81,28.84,28.84,28.84,28.84
2086,28.71,28.92,28.92,28.92,28.92,28.88,28.92,28.92,28.92,28.92
2087,28.62,28.82,28.82,28.82,28.82,28.78,28.82,28.82,28.82,28.82
2088,28.65,28.83,28.83,28.83,28.83,28.80,28.83,28.83,28.83,28.83
2089,28.59,28.70,28.70,28.70,28.70,28.68,28.70,28.70,28.70,28.70
2090,28.46,28.57,28.57,28.57,28.57,28.55,28.57,28.57,28.57,28.57
2091,28.79,28.92,28.92,28.92,28.92,28.90,28.92,28.92,28.92,28.92
2092,28.67,28.85,28.85,28.85,28.85,28.82,28.85,28.85,28.85,28.85
2093,28.62,28.79,28.79,28.79,28.79,28.76,28.79,28.79,28.79,28.79
2094,28.70,28.83,28.83,28.83,28.83,28.81,28.83,28.83,28.83,28.83
2095,28.69,28.87,28.87,28.87,28.87,28.84,28.87,28.87,28.87,28.87
2096,28.62,28.89,28.89,28.89,28.89,28.84,28.89,28.89,28.89,28.89
2097,28.74,28.89,28.89,28.89,28.89,28.86,28.89,28.89,28.89,28.89
2098,28.54,28.79,28.79,28.79,28.79,28.74,28.79,28.79,28.79,28.79
2099,28.62,28.74,28.74,28.74,28.74,28.72,28.74,28.74,28.74,28.74
2100,28.61,28.83,28.83,28.83,28.83,28.79,28.83,28.83,28.83,28.83
