Variable:,tasmin
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
2015,6.42,12.99,7.05,3.88,8.22,7.09,4.62,12.94,4.22,5.94,10.98,8.84,8.70,9.20,4.50
2016,6.49,13.04,7.15,3.96,8.30,7.19,4.67,12.97,4.25,5.96,11.02,8.94,8.80,9.28,4.58
2017,6.56,13.16,7.28,3.96,8.36,7.26,4.70,13.15,4.33,6.07,11.09,9.07,8.87,9.31,4.62
2018,6.50,13.00,7.13,3.98,8.29,7.19,4.68,13.04,4.33,6.02,10.96,8.88,8.74,9.26,4.59
2019,6.59,13.15,7.24,4.04,8.40,7.30,4.74,13.15,4.36,6.07,11.11,9.02,8.86,9.35,4.67
2020,6.73,13.37,7.44,4.18,8.58,7.46,4.86,13.31,4.47,6.12,11.26,9.24,9.03,9.46,4.80
2021,6.59,13.23,7.27,4.03,8.38,7.26,4.75,13.16,4.37,6.13,11.09,9.07,8.82,9.31,4.69
2022,6.57,13.13,7.19,4.06,8.34,7.20,4.77,13.11,4.34,6.05,11.11,8.99,8.83,9.29,4.69
2023,6.74,13.22,7.47,4.18,8.63,7.47,4.94,13.22,4.49,6.22,11.24,9.16,9.03,9.50,4.80
2024,6.65,13.22,7.35,4.09,8.49,7.39,4.84,13.24,4.34,6.10,11.14,9.16,8.97,9.43,4.72
2025,6.69,13.21,7.36,4.12,8.54,7.43,4.88,13.20,4.40,6.16,11.20,9.15,9.00,9.48,4.76
2026,6.78,13.30,7.43,4.24,8.59,7.48,4.90,13.33,4.59,6.31,11.21,9.21,9.03,9.51,4.85
2027,6.69,13.17,7.36,4.15,8.47,7.39,4.87,13.19,4.49,6.17,11.17,9.11,8.94,9.41,4.81
2028,6.79,13.38,7.47,4.24,8.62,7.49,4.96,13.34,4.54,6.26,11.32,9.29,9.08,9.53,4.87
2029,6.83,13.29,7.46,4.36,8.67,7.54,5.04,13.27,4.62,6.31,11.25,9.17,9.04,9.54,4.95
2030,6.83,13.47,7.59,4.25,8.76,7.60,4.99,13.47,4.52,6.25,11.34,9.31,9.11,9.55,4.90
2031,6.71,13.27,7.41,4.11,8.55,7.43,4.85,13.25,4.50,6.31,11.17,9.12,8.93,9.42,4.81
