Variable:,tas
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
2015,8.00,8.89,8.78,8.47,8.23,8.46,7.92,7.43
2016,8.00,8.76,8.78,8.35,8.19,8.34,8.03,7.47
2017,8.44,9.18,9.27,8.74,8.60,8.78,8.53,7.88
2018,7.83,8.75,8.55,8.37,8.08,8.21,7.79,7.25
2019,7.86,8.52,8.56,8.18,8.01,8.19,7.91,7.38
2020,8.23,9.08,9.08,8.60,8.38,8.55,8.27,7.65
2021,8.09,9.02,9.01,8.50,8.28,8.45,8.13,7.45
2022,8.18,8.92,8.95,8.52,8.38,8.60,8.15,7.67
2023,8.27,9.06,9.08,8.52,8.45,8.60,8.34,7.72
2024,8.29,9.05,9.10,8.60,8.53,8.79,8.37,7.70
2025,8.65,9.43,9.48,8.99,8.91,9.15,8.67,8.09
2026,8.36,9.13,9.12,8.75,8.56,8.71,8.37,7.85
2027,8.25,9.08,9.15,8.69,8.45,8.59,8.25,7.63
2028,8.34,9.12,9.22,8.64,8.53,8.69,8.40,7.79
2029,8.46,9.32,9.07,8.94,8.69,8.83,8.41,7.96
2030,8.32,9.23,9.20,8.75,8.49,8.67,8.30,7.72
2031,7.94,8.74,8.71,8.34,8.10,8.26,7.92,7.44
2032,8.31,9.08,8.98,8.72,8.51,8.68,8.36,7.80
2033,8.19,9.20,8.95,8.69,8.41,8.60,8.14,7.59
2034,8.36,9.35,9.14,8.77,8.52,8.71,8.32,7.80
2035,8.27,9.12,9.05,8.68,8.48,8.67,8.25,7.71
2036,8.52,9.31,9.37,8.86,8.72,8.90,8.57,7.93
2037,8.28,9.22,9.07,8.67,8.50,8.69,8.25,7.69
2038,8.64,9.40,9.46,8.98,8.80,8.95,8.66,8.11
2039,8.51,9.26,9.24,8.93,8.71,8.82,8.50,7.96
2040,8.65,9.46,9.48,8.97,8.84,9.02,8.71,8.05
2041,8.45,9.30,9.26,8.86,8.69,8.98,8.46,7.84
2042,8.52,9.40,9.17,8.99,8.71,8.86,8.45,8.03
2043,9.04,9.87,9.99,9.37,9.23,9.37,9.09,8.43
2044,8.46,9.39,9.18,8.91,8.66,8.88,8.45,7.87
2045,8.77,9.63,9.66,9.15,8.99,9.18,8.78,8.15
2046,8.99,10.00,10.00,9.43,9.25,9.49,9.01,8.28
2047,8.46,9.26,9.24,8.88,8.65,8.85,8.54,7.84
2048,8.99,9.75,9.80,9.25,9.13,9.32,9.09,8.45
2049,9.12,9.91,9.89,9.44,9.35,9.55,9.15,8.55
2050,8.25,9.19,9.07,8.64,8.44,8.60,8.25,7.67
2051,8.64,9.48,9.48,9.00,8.78,8.96,8.66,8.04
2052,8.98,9.72,9.82,9.30,9.19,9.36,9.01,8.42
2053,8.79,9.71,9.52,9.25,8.97,9.07,8.78,8.23
2054,8.81,9.46,9.57,9.05,9.04,9.21,8.86,8.33
2055,8.81,9.70,9.62,9.25,9.02,9.23,8.81,8.23
2056,8.77,9.54,9.50,9.09,8.94,9.09,8.80,8.28
2057,8.76,9.60,9.61,8.97,8.95,9.21,8.82,8.21
2058,9.03,9.91,9.74,9.53,9.29,9.57,9.00,8.44
2059,8.73,9.52,9.55,9.02,8.86,9.01,8.74,8.20
2060,9.01,9.88,9.81,9.46,9.23,9.41,9.04,8.39
2061,9.01,10.01,9.79,9.45,9.23,9.46,8.99,8.37
2062,8.66,9.47,9.45,9.01,8.86,9.06,8.72,8.07
2063,8.80,9.54,9.50,9.17,9.01,9.19,8.82,8.32
2064,9.02,9.80,9.85,9.25,9.19,9.45,9.16,8.43
2065,8.89,9.56,9.58,9.19,9.06,9.19,8.94,8.41
2066,9.05,9.90,9.78,9.41,9.29,9.48,9.07,8.50
2067,8.56,9.45,9.39,8.96,8.73,8.84,8.56,7.98
2068,9.17,10.09,9.90,9.60,9.37,9.52,9.07,8.64
2069,9.43,10.31,10.24,9.72,9.60,9.76,9.43,8.91
2070,8.94,9.79,9.74,9.28,9.12,9.32,9.00,8.39
2071,8.92,9.72,9.66,9.24,9.13,9.31,8.92,8.43
2072,8.92,9.68,9.67,9.23,9.11,9.29,8.98,8.41
2073,8.95,9.68,9.65,9.34,9.10,9.23,8.91,8.48
2074,9.13,10.03,9.90,9.50,9.33,9.49,9.16,8.57
2075,9.41,10.27,10.06,9.81,9.59,9.73,9.35,8.94
2076,9.23,10.08,10.01,9.62,9.41,9.56,9.21,8.70
2077,8.93,9.72,9.72,9.37,9.18,9.41,8.93,8.35
2078,9.02,9.82,9.85,9.41,9.17,9.32,9.02,8.47
2079,8.63,9.56,9.30,9.08,8.85,9.02,8.55,8.11
2080,8.73,9.70,9.64,9.17,8.99,9.17,8.72,8.05
2081,8.70,9.51,9.51,9.05,8.88,9.06,8.74,8.10
2082,8.66,9.54,9.45,9.03,8.84,9.00,8.69,8.10
2083,8.60,9.43,9.47,9.05,8.76,8.91,8.58,8.00
2084,8.92,9.85,9.78,9.40,9.19,9.42,8.96,8.26
2085,9.04,9.85,9.97,9.31,9.24,9.45,9.17,8.41
2086,9.05,9.89,9.97,9.33,9.23,9.45,9.11,8.45
2087,9.12,10.04,9.97,9.44,9.32,9.53,9.18,8.52
2088,8.87,9.61,9.67,9.22,9.08,9.25,8.85,8.34
2089,8.89,9.81,9.79,9.27,9.09,9.29,8.92,8.25
2090,8.89,9.85,9.80,9.32,9.10,9.31,8.87,8.26
2091,8.83,9.70,9.48,9.35,9.05,9.23,8.75,8.28
2092,8.90,9.74,9.73,9.28,9.13,9.32,8.91,8.34
2093,8.99,9.90,9.83,9.38,9.16,9.33,9.02,8.38
2094,8.94,9.91,9.76,9.27,9.13,9.41,8.91,8.40
2095,8.91,9.56,9.75,9.07,9.03,9.19,9.02,8.42
2096,8.96,9.84,9.70,9.42,9.21,9.40,8.93,8.40
2097,9.03,9.91,9.84,9.47,9.24,9.42,8.99,8.44
2098,9.32,10.11,10.11,9.62,9.47,9.62,9.35,8.77
2099,9.51,10.26,10.32,9.81,9.67,9.84,9.52,9.00
2100,8.85,9.66,9.66,9.18,8.95,9.07,8.91,8.31
