Variable:,tas
,Kiribati,"Administrative unit not available"
2015,26.91,26.70
2016,26.88,26.71
2017,27.45,27.24
2018,26.67,26.44
2019,27.14,26.88
2020,27.44,27.20
2021,27.01,26.86
2022,27.22,27.01
2023,27.26,27.11
2024,27.40,27.14
2025,27.75,27.53
2026,27.24,27.07
2027,27.26,27.14
2028,27.19,27.05
2029,27.37,27.14
2030,27.70,27.42
2031,27.11,26.92
2032,26.88,26.61
2033,27.70,27.36
2034,27.35,27.22
2035,27.41,27.23
2036,27.28,27.05
2037,27.75,27.47
2038,27.30,27.16
2039,27.33,27.10
2040,27.48,27.28
2041,27.37,27.11
2042,27.39,27.15
2043,27.33,27.13
2044,27.84,27.58
2045,27.92,27.69
2046,27.37,27.26
2047,27.46,27.17
2048,27.43,27.24
2049,27.31,27.08
2050,27.53,27.35
2051,27.51,27.32
2052,27.73,27.50
2053,27.17,26.97
2054,27.39,27.10
2055,27.46,27.21
2056,27.28,27.14
2057,27.85,27.46
2058,27.63,27.40
2059,27.76,27.46
2060,27.32,27.07
2061,27.75,27.49
2062,27.77,27.49
2063,27.57,27.38
2064,27.32,27.11
2065,27.17,26.93
2066,27.65,27.40
2067,27.82,27.56
2068,27.37,27.14
2069,27.17,26.99
2070,27.76,27.48
2071,27.18,27.01
2072,27.33,27.09
2073,27.71,27.47
2074,27.47,27.26
2075,27.43,27.12
2076,27.57,27.39
2077,27.36,27.20
2078,27.43,27.29
2079,27.97,27.66
2080,27.50,27.26
2081,27.62,27.36
2082,27.22,26.97
2083,27.72,27.39
2084,27.27,27.12
2085,27.14,26.95
2086,27.22,27.07
2087,27.72,27.46
2088,27.31,27.06
2089,27.20,27.01
2090,27.74,27.42
2091,27.47,27.17
2092,27.11,26.86
2093,27.59,27.27
2094,27.74,27.50
2095,27.29,27.09
2096,27.09,26.89
2097,27.12,26.89
2098,27.66,27.42
2099,27.70,27.50
2100,28.09,27.72
