Variable:,tasmin
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2015,15.22,4.52,23.23,10.88,17.82,8.91,16.65,12.67,7.31,8.90,15.42
2016,15.27,4.57,23.29,10.90,17.78,8.91,16.68,12.71,7.22,8.85,15.54
2017,15.40,4.63,23.37,11.04,17.82,9.09,16.82,12.90,7.27,8.96,15.69
2018,15.44,4.74,23.34,10.98,18.01,9.19,16.90,12.81,7.25,8.92,15.71
2019,15.47,4.80,23.43,11.10,18.06,9.15,16.84,13.00,7.30,9.05,15.70
2020,15.31,4.50,23.26,10.86,17.86,9.01,16.66,12.77,7.45,9.00,15.61
2021,15.36,4.62,23.29,10.95,17.89,9.07,16.79,12.87,7.29,8.95,15.59
2022,15.55,4.80,23.41,11.13,18.14,9.26,16.95,13.01,7.41,9.08,15.79
2023,15.66,4.95,23.42,11.32,18.19,9.32,17.08,13.14,7.50,9.24,15.89
2024,15.73,4.85,23.40,11.23,18.35,9.20,17.09,13.24,7.42,9.12,16.02
2025,15.63,4.82,23.52,11.28,18.17,9.21,17.08,13.21,7.48,9.15,15.81
2026,15.62,4.93,23.38,11.18,18.15,9.26,16.98,13.17,7.47,9.27,15.90
2027,15.60,4.92,23.38,11.20,18.11,9.24,16.95,13.12,7.58,9.25,15.91
2028,15.67,4.97,23.44,11.28,18.26,9.34,17.06,13.10,7.65,9.28,15.91
2029,15.84,4.91,23.65,11.33,18.50,9.41,17.30,13.18,7.61,9.23,16.09
2030,15.68,4.86,23.62,11.25,18.27,9.34,17.07,13.14,7.62,9.23,15.94
2031,15.67,4.92,23.50,11.27,18.15,9.34,16.97,13.16,7.61,9.26,16.05
2032,15.92,5.16,23.57,11.40,18.54,9.47,17.28,13.36,7.53,9.36,16.24
2033,15.87,4.97,23.74,11.46,18.52,9.41,17.36,13.30,7.69,9.35,16.01
2034,15.88,5.14,23.72,11.50,18.41,9.50,17.23,13.36,7.74,9.45,16.18
