Variable:,tasmax
,Togo,Centrale,Kara,Maritime,Plateaux,Savanes
2015,33.00,32.78,33.75,30.85,31.83,34.66
2016,32.81,32.63,33.51,30.81,31.74,34.41
2017,32.95,32.78,33.63,30.75,31.77,34.45
2018,32.90,32.66,33.59,30.81,31.78,34.59
2019,33.04,32.82,33.79,30.85,31.86,34.70
2020,32.97,32.75,33.63,30.79,31.81,34.63
2021,32.99,32.80,33.74,30.91,31.88,34.66
2022,33.18,33.02,33.99,30.96,31.98,34.88
2023,33.09,32.93,33.78,31.03,32.02,34.73
2024,33.17,32.97,33.85,31.09,32.04,34.87
2025,33.08,32.90,33.87,30.96,31.94,34.74
2026,33.15,32.92,33.85,31.03,31.99,34.83
2027,33.31,33.13,33.99,31.19,32.19,34.98
2028,33.30,33.08,34.02,31.15,32.14,34.96
2029,33.49,33.25,34.23,31.29,32.30,35.22
2030,33.26,33.04,34.04,31.08,32.09,35.00
2031,33.37,33.20,34.19,31.13,32.16,35.11
2032,33.49,33.24,34.32,31.23,32.31,35.28
2033,33.40,33.23,34.16,31.20,32.26,35.07
2034,33.39,33.19,34.16,31.24,32.21,35.15
2035,33.36,33.21,34.09,31.22,32.24,35.05
2036,33.42,33.20,34.21,31.28,32.26,35.14
2037,33.60,33.47,34.29,31.55,32.41,35.12
2038,33.72,33.51,34.42,31.56,32.57,35.33
2039,33.63,33.45,34.33,31.38,32.43,35.35
2040,33.57,33.32,34.38,31.48,32.45,35.35
2041,33.79,33.56,34.59,31.54,32.59,35.47
2042,33.74,33.58,34.54,31.45,32.54,35.39
2043,33.61,33.38,34.31,31.36,32.41,35.25
2044,33.69,33.48,34.39,31.45,32.51,35.39
2045,33.80,33.59,34.50,31.59,32.62,35.46
2046,33.85,33.66,34.66,31.64,32.71,35.56
2047,34.01,33.82,34.81,31.69,32.79,35.76
2048,34.02,33.80,34.83,31.73,32.76,35.80
2049,33.91,33.71,34.68,31.65,32.68,35.63
2050,33.71,33.54,34.47,31.55,32.54,35.37
2051,33.86,33.63,34.67,31.57,32.61,35.60
2052,34.07,33.90,34.78,31.88,32.96,35.55
2053,33.88,33.73,34.62,31.87,32.78,35.58
2054,34.02,33.77,34.84,31.80,32.79,35.84
2055,34.12,33.87,34.94,31.78,32.88,35.86
2056,34.06,33.82,34.82,31.69,32.83,35.86
2057,34.28,34.08,35.10,31.92,32.99,36.01
2058,34.34,34.08,35.00,32.04,33.07,36.07
2059,34.13,33.95,34.79,31.95,32.99,35.75
2060,34.20,34.06,34.96,31.99,33.03,35.82
2061,34.18,33.95,34.91,31.94,32.99,35.97
2062,34.17,33.98,34.90,31.97,32.92,35.90
2063,34.33,34.11,35.10,32.10,33.14,36.12
2064,34.29,34.12,35.13,32.03,33.10,36.07
2065,34.26,34.06,35.07,31.92,33.00,36.00
2066,34.29,34.06,35.10,31.97,33.00,36.08
2067,34.37,34.21,35.20,32.07,33.19,36.12
2068,34.32,34.09,35.03,32.10,33.11,36.11
2069,34.40,34.21,35.15,32.13,33.14,36.17
2070,34.39,34.21,35.09,32.00,33.18,36.16
2071,34.31,34.10,35.09,31.99,33.06,36.03
2072,34.40,34.21,35.24,32.07,33.13,36.22
2073,34.51,34.31,35.31,32.27,33.33,36.19
2074,34.51,34.29,35.23,32.17,33.23,36.23
2075,34.47,34.23,35.23,32.04,33.13,36.32
2076,34.56,34.32,35.46,32.20,33.23,36.31
2077,34.74,34.51,35.57,32.32,33.49,36.53
2078,34.63,34.43,35.42,32.22,33.38,36.41
2079,34.47,34.31,35.26,32.15,33.27,36.29
2080,34.63,34.48,35.52,32.31,33.41,36.42
2081,34.70,34.56,35.61,32.38,33.47,36.56
2082,34.53,34.37,35.37,32.36,33.35,36.35
2083,34.53,34.27,35.31,32.26,33.28,36.37
2084,34.66,34.46,35.44,32.39,33.50,36.34
2085,34.73,34.56,35.50,32.39,33.45,36.49
2086,34.71,34.52,35.52,32.46,33.45,36.35
2087,34.72,34.45,35.48,32.39,33.46,36.46
2088,34.77,34.64,35.53,32.45,33.60,36.36
2089,34.67,34.51,35.46,32.36,33.38,36.42
2090,34.78,34.54,35.49,32.51,33.62,36.39
2091,34.73,34.58,35.41,32.66,33.59,36.32
2092,34.97,34.83,35.81,32.58,33.68,36.89
2093,34.88,34.71,35.65,32.45,33.62,36.55
2094,34.83,34.58,35.63,32.53,33.57,36.62
2095,34.87,34.69,35.62,32.59,33.68,36.54
2096,34.78,34.59,35.53,32.59,33.56,36.46
2097,34.70,34.46,35.44,32.44,33.48,36.42
2098,34.69,34.51,35.49,32.56,33.51,36.31
2099,34.82,34.61,35.61,32.56,33.55,36.63
2100,34.78,34.62,35.46,32.43,33.58,36.38
