Variable:,tas
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
2015,16.76,17.75,21.00,17.95,21.00,21.00,21.00
2016,16.65,17.60,20.73,17.82,20.73,20.76,20.73
2017,16.91,17.88,21.07,18.12,21.07,21.11,21.07
2018,16.72,17.68,20.84,17.88,20.84,20.86,20.84
2019,16.76,17.75,20.97,17.94,20.97,20.97,20.97
2020,16.85,17.84,21.03,18.04,21.03,21.05,21.03
2021,16.81,17.78,20.95,17.97,20.95,20.96,20.95
2022,17.08,18.04,21.20,18.28,21.20,21.24,21.20
2023,17.13,18.12,21.33,18.32,21.33,21.34,21.33
2024,17.15,18.09,21.21,18.34,21.21,21.26,21.21
2025,17.21,18.17,21.31,18.37,21.31,21.33,21.31
2026,17.22,18.19,21.31,18.36,21.31,21.31,21.31
2027,17.16,18.11,21.22,18.30,21.22,21.23,21.22
2028,17.15,18.12,21.27,18.29,21.27,21.26,21.27
2029,17.20,18.18,21.33,18.36,21.33,21.34,21.33
2030,17.19,18.15,21.32,18.36,21.32,21.34,21.32
2031,17.24,18.21,21.40,18.42,21.40,21.42,21.40
2032,17.24,18.22,21.38,18.39,21.38,21.38,21.38
2033,17.33,18.30,21.45,18.49,21.45,21.46,21.45
2034,17.38,18.34,21.44,18.50,21.44,21.43,21.44
2035,17.44,18.41,21.58,18.58,21.58,21.57,21.58
2036,17.37,18.35,21.53,18.52,21.53,21.52,21.53
2037,17.40,18.36,21.55,18.54,21.55,21.54,21.55
2038,17.59,18.56,21.75,18.74,21.75,21.74,21.75
2039,17.51,18.46,21.53,18.67,21.53,21.57,21.53
2040,17.41,18.38,21.55,18.56,21.55,21.55,21.55
2041,17.54,18.52,21.66,18.70,21.66,21.67,21.66
2042,17.53,18.52,21.71,18.68,21.71,21.69,21.71
2043,17.50,18.45,21.55,18.62,21.55,21.55,21.55
2044,17.61,18.57,21.70,18.76,21.70,21.71,21.70
2045,17.86,18.80,21.86,18.99,21.86,21.89,21.86
2046,17.95,18.88,21.94,19.06,21.94,21.94,21.94
2047,17.90,18.85,21.97,19.03,21.97,21.97,21.97
2048,17.76,18.71,21.84,18.95,21.84,21.89,21.84
2049,17.76,18.71,21.81,18.91,21.81,21.83,21.81
2050,17.89,18.85,21.98,19.02,21.98,21.98,21.98
2051,17.86,18.83,21.95,18.97,21.95,21.93,21.95
2052,17.88,18.84,21.97,19.01,21.97,21.97,21.97
2053,18.02,18.97,22.06,19.16,22.06,22.08,22.06
2054,18.04,18.99,22.11,19.16,22.11,22.11,22.11
2055,18.16,19.12,22.24,19.27,22.24,22.23,22.24
2056,18.04,19.00,22.12,19.17,22.12,22.12,22.12
2057,17.89,18.85,21.95,18.97,21.95,21.92,21.95
2058,17.88,18.85,22.00,19.03,22.00,22.01,22.00
2059,18.10,19.07,22.19,19.21,22.19,22.17,22.19
2060,17.91,18.87,21.99,19.04,21.99,21.99,21.99
2061,18.09,19.04,22.12,19.23,22.12,22.14,22.12
2062,18.31,19.27,22.36,19.42,22.36,22.35,22.36
2063,18.11,19.04,22.07,19.21,22.07,22.08,22.07
2064,18.28,19.21,22.27,19.40,22.27,22.28,22.27
2065,18.29,19.25,22.38,19.40,22.38,22.36,22.38
2066,18.23,19.18,22.28,19.33,22.28,22.27,22.28
2067,18.25,19.21,22.30,19.36,22.30,22.30,22.30
2068,18.32,19.27,22.34,19.42,22.34,22.34,22.34
2069,18.40,19.35,22.44,19.47,22.44,22.41,22.44
2070,18.20,19.15,22.26,19.32,22.26,22.26,22.26
2071,18.35,19.31,22.46,19.48,22.46,22.46,22.46
2072,18.46,19.41,22.45,19.53,22.45,22.43,22.45
2073,18.41,19.36,22.47,19.54,22.47,22.48,22.47
2074,18.17,19.12,22.20,19.25,22.20,22.18,22.20
2075,18.38,19.34,22.41,19.52,22.41,22.44,22.41
2076,18.51,19.45,22.50,19.61,22.50,22.49,22.50
2077,18.50,19.46,22.54,19.58,22.54,22.52,22.54
2078,18.48,19.43,22.54,19.59,22.54,22.53,22.54
2079,18.64,19.58,22.63,19.75,22.63,22.64,22.63
2080,18.47,19.42,22.50,19.55,22.50,22.48,22.50
2081,18.53,19.50,22.61,19.63,22.61,22.59,22.61
2082,18.61,19.58,22.72,19.72,22.72,22.70,22.72
2083,18.53,19.48,22.55,19.62,22.55,22.54,22.55
2084,18.71,19.66,22.76,19.84,22.76,22.77,22.76
2085,18.63,19.60,22.69,19.68,22.69,22.65,22.69
2086,18.75,19.73,22.90,19.87,22.90,22.88,22.90
2087,18.67,19.59,22.60,19.78,22.60,22.63,22.60
2088,18.67,19.62,22.71,19.79,22.71,22.71,22.71
2089,18.75,19.67,22.68,19.82,22.68,22.67,22.68
2090,18.64,19.61,22.70,19.73,22.70,22.68,22.70
2091,18.78,19.73,22.81,19.87,22.81,22.80,22.81
2092,18.70,19.64,22.64,19.80,22.64,22.66,22.64
2093,18.95,19.89,22.94,20.06,22.94,22.95,22.94
2094,19.16,20.11,23.22,20.25,23.22,23.20,23.22
2095,18.84,19.79,22.83,19.84,22.83,22.76,22.83
2096,18.88,19.84,22.97,19.98,22.97,22.95,22.97
2097,19.05,19.98,23.00,20.14,23.00,23.00,23.00
2098,18.87,19.79,22.77,19.95,22.77,22.78,22.77
2099,18.69,19.62,22.66,19.80,22.66,22.68,22.66
2100,18.97,19.90,22.92,20.03,22.92,22.90,22.92
