Variable:,tasmin
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
2015,3.92,4.71,4.61,4.34,4.21,4.45,3.74,3.47
2016,3.82,4.49,4.50,4.16,4.08,4.27,3.72,3.41
2017,4.35,4.96,4.99,4.63,4.56,4.76,4.32,3.98
2018,3.85,4.57,4.57,4.20,4.11,4.28,3.78,3.43
2019,3.52,4.06,4.07,3.74,3.67,3.77,3.51,3.24
2020,4.11,5.03,4.89,4.50,4.25,4.43,4.06,3.60
2021,3.99,4.79,4.75,4.37,4.29,4.52,3.94,3.47
2022,4.09,4.77,4.71,4.34,4.27,4.45,4.04,3.70
2023,4.22,4.84,4.91,4.50,4.45,4.65,4.17,3.80
2024,4.08,4.66,4.65,4.31,4.37,4.58,3.99,3.75
2025,4.43,5.08,5.14,4.87,4.74,4.93,4.32,3.97
2026,4.32,5.08,4.96,4.80,4.61,4.85,4.19,3.86
2027,4.28,4.95,4.97,4.63,4.58,4.86,4.20,3.83
2028,4.19,4.84,5.00,4.39,4.44,4.68,4.17,3.72
2029,4.43,5.11,5.12,4.69,4.60,4.70,4.37,4.06
2030,4.15,4.90,4.90,4.46,4.31,4.49,4.10,3.71
2031,3.88,4.46,4.51,4.12,4.12,4.34,3.84,3.53
2032,4.21,4.81,4.74,4.49,4.42,4.59,4.20,3.86
2033,4.14,4.98,4.74,4.60,4.47,4.73,4.03,3.68
2034,4.19,4.93,4.94,4.53,4.43,4.62,4.11,3.74
2035,4.13,4.85,4.73,4.50,4.37,4.62,4.06,3.69
2036,4.42,5.18,5.05,4.85,4.71,4.90,4.24,4.00
2037,4.24,4.99,4.95,4.51,4.48,4.70,4.21,3.78
2038,4.51,4.98,5.02,4.72,4.72,4.88,4.43,4.24
2039,4.37,5.03,5.02,4.75,4.56,4.76,4.30,3.94
2040,4.36,5.05,4.97,4.67,4.61,4.85,4.34,3.93
2041,4.21,4.91,4.90,4.55,4.44,4.62,4.12,3.78
2042,4.36,5.14,4.94,4.76,4.59,4.68,4.25,3.99
2043,4.81,5.50,5.47,5.08,5.01,5.29,4.76,4.41
2044,4.30,5.03,4.88,4.68,4.55,4.86,4.19,3.88
2045,4.43,4.98,5.08,4.71,4.62,4.78,4.43,4.01
2046,4.57,5.47,5.49,4.94,4.87,5.03,4.51,4.02
