Variable:,tasmax
,Senegal,Kaolack,Kedougou,Kolda,Sedhiou,Tambacounda,Kaffrine,Dakar,Thies,Ziguinchor,Diourbel,Fatick,Louga,Matam,"Saint louis"
2015,35.93,33.22,34.42,34.36,33.87,36.09,35.56,26.17,31.04,29.18,33.55,32.04,34.71,37.05,35.08
2016,35.99,33.19,34.42,34.30,33.76,36.08,35.62,26.05,31.06,29.10,33.61,32.03,34.80,37.15,35.23
2017,36.10,33.27,34.47,34.32,33.82,36.14,35.65,26.19,31.20,29.21,33.69,32.15,34.95,37.27,35.40
2018,35.94,33.17,34.34,34.33,33.72,36.07,35.57,26.24,31.14,29.13,33.61,32.06,34.78,37.04,35.21
2019,36.21,33.41,34.55,34.53,33.96,36.30,35.81,26.30,31.31,29.27,33.80,32.24,35.03,37.34,35.49
2020,36.03,33.32,34.40,34.36,33.82,36.14,35.67,26.25,31.19,29.23,33.71,32.17,34.88,37.15,35.30
2021,36.16,33.40,34.47,34.50,33.89,36.26,35.74,26.49,31.35,29.31,33.80,32.27,34.98,37.29,35.48
2022,36.24,33.49,34.58,34.55,34.00,36.33,35.80,26.42,31.43,29.47,33.89,32.38,35.06,37.35,35.55
2023,36.25,33.53,34.65,34.62,34.10,36.37,35.88,26.50,31.45,29.46,33.92,32.37,35.06,37.38,35.50
2024,36.36,33.57,34.72,34.71,34.13,36.47,35.92,26.63,31.52,29.54,33.96,32.44,35.16,37.52,35.59
2025,36.31,33.54,34.69,34.63,34.07,36.38,35.90,26.45,31.47,29.43,33.92,32.38,35.19,37.40,35.65
2026,36.34,33.57,34.83,34.69,34.10,36.50,35.95,26.50,31.42,29.51,33.95,32.41,35.07,37.45,35.49
2027,36.42,33.60,34.83,34.75,34.11,36.56,35.97,26.53,31.53,29.52,34.00,32.48,35.16,37.59,35.60
2028,36.41,33.57,34.76,34.65,34.09,36.48,35.95,26.63,31.55,29.52,34.02,32.48,35.22,37.54,35.70
2029,36.43,33.69,34.86,34.79,34.23,36.50,36.07,26.75,31.62,29.62,34.08,32.54,35.26,37.55,35.72
2030,36.25,33.50,34.61,34.53,34.00,36.30,35.89,26.48,31.45,29.39,33.94,32.38,35.13,37.36,35.59
2031,36.58,33.77,34.96,34.90,34.28,36.71,36.14,26.81,31.70,29.71,34.17,32.64,35.39,37.73,35.81
2032,36.50,33.66,34.85,34.66,34.13,36.52,36.02,26.74,31.69,29.61,34.14,32.59,35.31,37.66,35.84
2033,36.57,33.76,34.98,34.77,34.17,36.65,36.21,26.64,31.66,29.57,34.21,32.62,35.36,37.73,35.80
2034,36.49,33.73,34.86,34.74,34.19,36.53,36.10,26.76,31.70,29.71,34.20,32.67,35.40,37.59,35.86
2035,36.53,33.76,34.96,34.83,34.26,36.62,36.12,26.65,31.69,29.66,34.17,32.64,35.36,37.65,35.82
2036,36.60,33.76,34.99,34.94,34.32,36.75,36.16,26.65,31.62,29.62,34.12,32.58,35.31,37.75,35.85
