Variable:,tasmin
,Togo,Centrale,Kara,Maritime,Plateaux,Savanes
2015,22.16,22.23,22.39,23.86,22.51,22.68
2016,22.06,22.17,22.25,23.77,22.42,22.54
2017,22.07,22.15,22.28,23.82,22.50,22.58
2018,22.22,22.29,22.47,23.92,22.57,22.78
2019,22.38,22.41,22.61,24.05,22.73,23.00
2020,22.49,22.56,22.67,24.21,22.89,22.97
2021,22.47,22.50,22.67,24.18,22.84,22.94
2022,22.39,22.49,22.55,24.11,22.78,22.84
2023,22.43,22.56,22.62,24.06,22.78,22.96
2024,22.65,22.74,22.87,24.28,22.96,23.15
2025,22.60,22.70,22.75,24.26,22.98,23.08
2026,22.63,22.67,22.76,24.26,23.00,23.13
2027,22.53,22.57,22.79,24.16,22.88,23.02
2028,22.70,22.79,22.90,24.30,23.06,23.24
2029,22.67,22.82,22.88,24.31,23.02,23.12
2030,22.64,22.75,22.89,24.33,23.02,23.18
2031,22.82,22.95,23.02,24.46,23.20,23.30
2032,22.75,22.82,22.98,24.36,23.04,23.21
2033,22.82,22.90,23.00,24.53,23.19,23.28
2034,22.82,22.87,23.05,24.44,23.18,23.38
2035,22.77,22.81,22.96,24.29,23.05,23.41
2036,22.88,22.95,23.15,24.41,23.15,23.37
2037,22.83,22.93,23.08,24.35,23.09,23.43
2038,22.74,22.74,23.00,24.37,23.08,23.29
2039,22.85,22.92,23.07,24.49,23.15,23.43
2040,22.88,22.96,23.10,24.38,23.21,23.40
2041,22.78,22.89,22.95,24.46,23.12,23.23
2042,22.89,23.02,23.05,24.60,23.29,23.43
2043,22.90,23.02,23.05,24.65,23.33,23.27
2044,22.86,22.90,23.03,24.49,23.21,23.36
2045,22.90,23.02,23.12,24.44,23.20,23.37
2046,23.06,23.10,23.21,24.64,23.38,23.53
2047,22.94,23.01,23.12,24.60,23.34,23.43
2048,22.89,23.01,23.06,24.55,23.30,23.38
2049,22.96,23.05,23.11,24.62,23.32,23.47
2050,23.05,23.07,23.24,24.65,23.37,23.66
2051,23.02,23.10,23.24,24.61,23.35,23.62
2052,23.05,23.21,23.25,24.56,23.38,23.60
2053,22.85,22.90,23.10,24.45,23.14,23.53
2054,22.99,23.06,23.18,24.58,23.33,23.50
2055,22.93,22.98,23.15,24.52,23.26,23.50
2056,23.02,23.12,23.27,24.62,23.35,23.56
2057,22.94,23.00,23.14,24.48,23.28,23.50
2058,22.87,22.98,23.01,24.56,23.29,23.33
2059,22.98,23.06,23.24,24.61,23.30,23.46
2060,23.08,23.15,23.31,24.70,23.45,23.62
2061,23.07,23.16,23.32,24.60,23.39,23.62
2062,22.95,23.00,23.17,24.50,23.23,23.48
2063,22.98,23.08,23.11,24.72,23.40,23.37
2064,23.06,23.10,23.19,24.71,23.44,23.56
2065,22.91,22.94,23.09,24.57,23.28,23.43
2066,23.10,23.15,23.33,24.74,23.44,23.62
2067,23.05,23.14,23.29,24.59,23.35,23.68
2068,23.12,23.24,23.36,24.67,23.44,23.65
2069,23.07,23.20,23.31,24.63,23.40,23.52
2070,23.19,23.27,23.41,24.80,23.56,23.54
2071,23.12,23.18,23.30,24.51,23.34,23.59
2072,22.85,22.88,23.07,24.56,23.24,23.37
2073,23.03,23.04,23.28,24.66,23.38,23.57
2074,23.05,23.11,23.35,24.59,23.31,23.66
2075,22.99,23.02,23.13,24.68,23.37,23.46
2076,23.01,23.07,23.19,24.62,23.34,23.56
2077,23.10,23.27,23.39,24.63,23.37,23.52
2078,23.13,23.15,23.34,24.80,23.45,23.81
2079,23.15,23.19,23.36,24.69,23.44,23.88
2080,22.92,22.96,23.12,24.52,23.33,23.52
2081,23.05,23.13,23.27,24.68,23.40,23.56
2082,23.23,23.32,23.39,24.80,23.55,23.76
2083,22.94,23.01,23.17,24.55,23.27,23.48
2084,22.98,23.02,23.23,24.46,23.22,23.56
2085,22.99,23.10,23.11,24.53,23.29,23.42
2086,23.10,23.18,23.33,24.64,23.37,23.67
2087,23.03,23.09,23.12,24.57,23.42,23.43
2088,22.89,22.95,23.07,24.55,23.30,23.46
2089,22.81,22.89,23.01,24.41,23.14,23.27
2090,23.03,23.14,23.14,24.55,23.31,23.48
2091,23.02,23.10,23.27,24.50,23.29,23.48
2092,22.89,22.92,23.17,24.57,23.22,23.62
2093,22.86,22.86,23.06,24.49,23.15,23.58
2094,22.94,23.02,23.13,24.62,23.26,23.52
2095,22.98,23.08,23.02,24.60,23.36,23.40
2096,22.59,22.67,22.84,24.36,23.03,23.00
2097,22.82,22.96,23.01,24.47,23.13,23.25
2098,22.93,23.02,23.12,24.61,23.31,23.41
2099,23.04,23.17,23.21,24.71,23.39,23.57
2100,22.99,23.07,23.19,24.59,23.33,23.49
