Variable:,tas
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
2015,21.19,26.20,25.63,16.19,14.76,14.50,8.70,8.67,24.36,17.55
2016,21.11,26.24,25.59,16.08,14.68,14.44,8.55,8.52,24.24,17.40
2017,21.11,26.13,25.50,16.05,14.62,14.40,8.56,8.54,24.35,17.42
2018,21.19,26.23,25.60,16.17,14.72,14.58,8.69,8.64,24.37,17.48
2019,21.31,26.33,25.72,16.33,14.88,14.69,8.85,8.79,24.48,17.64
2020,21.32,26.45,25.75,16.37,14.92,14.72,8.88,8.87,24.41,17.65
2021,21.36,26.41,25.77,16.33,14.93,14.71,8.92,8.88,24.54,17.70
2022,21.41,26.45,25.86,16.38,14.89,14.69,8.90,8.87,24.60,17.76
2023,21.45,26.54,25.93,16.34,14.91,14.74,8.82,8.81,24.67,17.58
2024,21.67,26.75,26.10,16.59,15.11,14.92,9.08,9.07,24.89,17.95
2025,21.70,26.73,26.17,16.66,15.15,14.93,9.11,9.10,24.93,18.07
2026,21.71,26.75,26.14,16.58,15.12,14.90,9.06,9.02,25.03,17.86
2027,21.58,26.62,26.03,16.44,15.08,14.81,8.94,8.91,24.82,17.80
2028,21.69,26.67,26.10,16.71,15.22,14.97,9.15,9.20,24.88,17.97
2029,21.80,26.82,26.31,16.72,15.26,15.04,9.23,9.19,24.99,17.96
2030,21.62,26.72,26.07,16.62,15.18,14.95,9.12,9.09,24.78,17.93
2031,21.89,27.00,26.42,16.84,15.37,15.10,9.24,9.24,25.08,18.20
2032,21.71,26.78,26.22,16.66,15.18,15.02,9.13,9.09,24.89,18.00
2033,21.69,26.88,26.19,16.62,15.16,14.99,9.14,9.13,24.82,17.89
2034,21.79,26.84,26.27,16.67,15.26,15.08,9.18,9.17,24.98,17.97
2035,21.80,26.85,26.24,16.79,15.31,15.01,9.17,9.25,25.05,18.08
2036,21.83,26.82,26.24,16.86,15.40,15.19,9.44,9.38,24.99,18.12
2037,21.94,26.94,26.38,16.89,15.42,15.24,9.44,9.38,25.14,18.21
2038,21.92,26.98,26.39,16.86,15.34,15.12,9.27,9.34,25.15,18.19
2039,22.08,27.00,26.51,17.06,15.51,15.28,9.52,9.56,25.33,18.32
2040,21.80,26.90,26.27,16.79,15.30,15.08,9.18,9.22,24.97,18.04
2041,21.96,27.00,26.40,16.91,15.38,15.20,9.44,9.46,25.19,18.27
2042,22.00,27.05,26.50,16.99,15.52,15.32,9.50,9.47,25.12,18.26
2043,22.08,27.10,26.56,16.93,15.55,15.36,9.60,9.46,25.30,18.25
2044,21.97,26.98,26.41,16.92,15.45,15.22,9.47,9.51,25.18,18.21
2045,22.13,27.11,26.60,17.05,15.58,15.34,9.47,9.49,25.40,18.34
2046,22.33,27.42,26.82,17.22,15.72,15.55,9.80,9.79,25.52,18.49
