Variable:,tasmin
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
2015,3.14,3.33,2.26,2.39,3.66,3.03,3.13,3.79,2.29,3.10,3.66,2.86,4.92,5.54,3.76,2.57,2.85,3.50,2.76,2.63,3.70,4.12,4.40,3.88,2.74,3.07,5.02
2016,3.33,3.27,2.60,2.65,3.70,3.20,3.19,3.92,2.62,3.05,3.81,2.99,4.92,5.46,4.09,2.76,2.86,3.49,2.77,2.76,3.88,4.18,4.48,4.01,2.96,3.25,5.05
2017,3.35,3.31,2.61,2.72,3.64,3.15,3.20,3.85,2.63,3.14,3.71,3.08,4.97,5.55,4.03,2.88,2.97,3.48,2.91,2.89,3.82,4.20,4.55,3.99,2.93,3.19,5.06
2018,3.21,3.20,2.44,2.51,3.61,3.00,3.05,3.76,2.44,2.98,3.61,2.80,4.90,5.47,3.91,2.62,2.77,3.41,2.69,2.63,3.73,4.13,4.43,3.89,2.76,3.05,5.06
2019,3.40,3.24,2.62,2.72,3.71,3.14,3.21,4.02,2.63,3.04,3.88,3.04,5.09,5.63,4.11,2.84,2.89,3.48,2.82,2.86,3.90,4.35,4.66,4.14,2.92,3.20,5.24
2020,3.41,3.55,2.65,2.76,3.96,3.23,3.31,4.11,2.63,3.31,4.01,3.10,5.11,5.71,4.03,2.88,3.08,3.76,2.99,2.90,4.00,4.37,4.59,4.18,2.98,3.25,5.18
2021,3.71,3.74,3.01,3.10,4.13,3.54,3.66,4.24,3.00,3.54,4.14,3.43,5.26,5.83,4.35,3.20,3.36,3.94,3.29,3.23,4.22,4.50,4.76,4.32,3.31,3.58,5.40
2022,4.04,4.15,3.38,3.49,4.48,3.88,4.08,4.63,3.37,3.94,4.55,3.88,5.50,6.02,4.64,3.64,3.73,4.32,3.64,3.64,4.56,4.83,5.05,4.66,3.66,3.91,5.58
2023,2.98,2.94,2.20,2.33,3.28,2.79,2.90,3.61,2.19,2.76,3.46,2.73,4.82,5.48,3.61,2.49,2.58,3.11,2.51,2.50,3.44,3.96,4.21,3.70,2.54,2.84,4.96
2024,3.59,3.45,2.77,2.85,3.81,3.43,3.38,4.02,2.80,3.26,3.86,3.20,5.31,5.93,4.39,2.97,3.10,3.64,3.03,3.00,4.06,4.41,4.92,4.22,3.17,3.49,5.52
2025,3.92,3.95,3.16,3.21,4.29,3.80,3.71,4.54,3.21,3.75,4.42,3.49,5.56,6.14,4.68,3.31,3.55,4.12,3.45,3.36,4.47,4.80,5.09,4.63,3.56,3.85,5.69
2026,3.93,4.05,3.32,3.40,4.34,3.81,3.90,4.49,3.30,3.84,4.41,3.66,5.45,6.02,4.56,3.45,3.64,4.20,3.55,3.49,4.44,4.70,4.96,4.53,3.59,3.83,5.56
2027,3.65,3.70,2.92,3.02,4.09,3.44,3.59,4.27,2.92,3.50,4.18,3.39,5.29,5.89,4.36,3.17,3.30,3.90,3.23,3.18,4.21,4.50,4.82,4.34,3.21,3.48,5.40
2028,3.96,3.96,3.12,3.14,4.22,3.88,3.75,4.58,3.18,3.73,4.46,3.49,5.68,6.29,4.84,3.22,3.49,4.08,3.36,3.25,4.51,4.85,5.23,4.70,3.60,3.94,5.80
2029,3.98,3.87,3.32,3.43,4.25,3.88,3.94,4.44,3.35,3.75,4.34,3.79,5.35,5.82,4.68,3.58,3.65,4.06,3.63,3.61,4.44,4.68,4.95,4.52,3.66,3.93,5.54
2030,4.03,3.96,3.31,3.35,4.38,3.93,3.81,4.55,3.32,3.78,4.44,3.53,5.61,6.18,4.81,3.40,3.62,4.18,3.55,3.43,4.56,4.83,5.10,4.65,3.68,3.98,5.76
2031,3.87,3.77,3.15,3.19,4.17,3.70,3.54,4.36,3.14,3.54,4.24,3.41,5.47,5.98,4.56,3.22,3.35,3.97,3.25,3.23,4.34,4.67,5.09,4.49,3.47,3.75,5.76
2032,4.63,4.59,3.94,4.01,5.04,4.52,4.35,5.17,3.94,4.38,5.08,4.25,6.08,6.58,5.40,4.08,4.20,4.82,4.12,4.13,5.20,5.39,5.68,5.24,4.28,4.57,6.24
2033,4.19,4.16,3.36,3.43,4.54,4.05,4.05,4.71,3.44,3.94,4.60,3.84,5.87,6.48,4.99,3.62,3.73,4.36,3.64,3.63,4.74,4.98,5.40,4.84,3.80,4.10,6.10
2034,4.02,3.84,3.36,3.47,4.23,3.81,3.69,4.44,3.34,3.67,4.32,3.66,5.57,6.13,4.69,3.62,3.52,4.04,3.46,3.59,4.43,4.75,5.17,4.59,3.61,3.86,5.77
2035,4.29,4.34,3.59,3.66,4.67,4.24,4.16,4.82,3.61,4.13,4.73,3.93,5.75,6.24,5.06,3.73,3.92,4.51,3.82,3.76,4.84,5.05,5.32,4.89,3.99,4.29,5.93
2036,4.33,4.34,3.60,3.70,4.73,4.15,4.18,4.90,3.57,4.12,4.80,4.01,5.96,6.52,5.04,3.80,3.91,4.54,3.83,3.82,4.87,5.16,5.52,4.99,3.90,4.19,6.19
2037,4.22,4.13,3.49,3.51,4.48,4.11,3.98,4.70,3.54,3.93,4.58,3.76,5.80,6.34,4.92,3.61,3.76,4.30,3.67,3.63,4.67,5.01,5.36,4.82,3.88,4.16,6.03
2038,4.26,4.28,3.50,3.60,4.68,4.05,4.14,4.83,3.50,4.06,4.76,3.92,5.83,6.40,4.94,3.73,3.85,4.48,3.77,3.75,4.80,5.00,5.44,4.91,3.81,4.10,6.05
2039,4.30,4.27,3.59,3.67,4.68,4.13,4.07,4.86,3.57,4.04,4.76,3.89,5.88,6.43,5.03,3.75,3.84,4.48,3.75,3.76,4.83,5.10,5.46,4.95,3.89,4.18,6.06
2040,4.76,4.71,4.10,4.18,5.08,4.63,4.55,5.17,4.04,4.51,5.06,4.37,6.19,6.72,5.48,4.20,4.33,4.90,4.25,4.22,5.24,5.44,5.79,5.29,4.39,4.68,6.36
2041,4.36,4.28,3.56,3.65,4.80,4.26,4.15,4.89,3.56,4.03,4.79,3.98,5.87,6.40,5.20,3.79,3.84,4.55,3.74,3.79,4.96,5.14,5.52,5.02,3.99,4.33,6.01
2042,4.05,4.01,3.28,3.32,4.36,3.90,3.80,4.55,3.31,3.80,4.44,3.58,5.56,6.06,4.88,3.41,3.61,4.18,3.52,3.43,4.59,4.81,5.20,4.69,3.65,3.96,5.82
2043,4.59,4.58,3.80,3.92,4.98,4.41,4.52,5.22,3.80,4.38,5.12,4.32,6.20,6.79,5.30,4.08,4.20,4.78,4.13,4.10,5.14,5.44,5.73,5.28,4.16,4.47,6.29
