Variable:,tas
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
2015,25.19,27.34,25.62,27.37,25.55,24.03,26.64,26.30
2016,25.14,27.23,25.55,27.26,25.47,23.99,26.58,26.22
2017,25.19,27.30,25.56,27.32,25.52,23.99,26.59,26.23
2018,25.24,27.35,25.65,27.35,25.59,24.09,26.69,26.32
2019,25.37,27.50,25.75,27.55,25.72,24.18,26.79,26.43
2020,25.28,27.41,25.67,27.43,25.63,24.11,26.70,26.32
2021,25.30,27.44,25.70,27.42,25.65,24.12,26.72,26.37
2022,25.35,27.47,25.75,27.52,25.70,24.19,26.80,26.43
2023,25.40,27.56,25.86,27.59,25.74,24.23,26.85,26.51
2024,25.49,27.62,25.89,27.64,25.85,24.32,26.94,26.58
2025,25.46,27.58,25.83,27.58,25.81,24.28,26.84,26.50
2026,25.39,27.51,25.76,27.54,25.73,24.21,26.82,26.44
2027,25.49,27.63,25.85,27.64,25.84,24.30,26.90,26.53
2028,25.57,27.71,25.94,27.70,25.95,24.40,26.97,26.62
2029,25.57,27.71,25.98,27.74,25.91,24.39,26.99,26.65
2030,25.49,27.56,25.90,27.67,25.80,24.34,26.90,26.56
2031,25.61,27.75,25.96,27.78,25.97,24.43,27.02,26.66
2032,25.54,27.65,25.94,27.73,25.86,24.36,26.97,26.61
2033,25.64,27.82,26.08,27.85,26.00,24.46,27.13,26.76
2034,25.65,27.78,25.94,27.75,26.01,24.44,26.98,26.61
2035,25.60,27.79,26.01,27.80,25.97,24.41,27.05,26.70
2036,25.78,27.96,26.21,28.02,26.14,24.60,27.25,26.89
2037,25.78,27.87,26.10,27.89,26.11,24.58,27.12,26.75
2038,25.81,27.99,26.22,28.00,26.19,24.64,27.23,26.88
2039,25.73,27.90,26.12,27.92,26.08,24.53,27.15,26.80
2040,25.64,27.77,25.99,27.77,26.00,24.45,27.03,26.67
2041,25.67,27.83,26.04,27.83,26.04,24.49,27.08,26.73
2042,25.85,27.99,26.24,28.04,26.20,24.67,27.25,26.89
2043,25.84,27.93,26.21,27.98,26.18,24.68,27.21,26.86
2044,25.71,27.84,26.07,27.87,26.06,24.52,27.11,26.75
2045,25.76,27.93,26.18,27.96,26.12,24.59,27.23,26.86
2046,26.04,28.21,26.41,28.20,26.41,24.85,27.44,27.09
2047,25.77,27.95,26.18,27.97,26.15,24.60,27.21,26.86
2048,25.92,28.07,26.30,28.05,26.30,24.75,27.34,26.99
2049,26.05,28.20,26.41,28.20,26.40,24.85,27.41,27.07
2050,25.97,28.12,26.36,28.17,26.31,24.78,27.40,27.05
2051,25.92,28.09,26.34,28.12,26.29,24.75,27.34,27.01
2052,25.78,27.90,26.15,27.94,26.11,24.59,27.18,26.81
2053,25.90,28.06,26.29,28.11,26.27,24.72,27.35,26.98
2054,25.79,28.03,26.15,28.04,26.18,24.56,27.22,26.86
2055,25.75,27.93,26.06,27.94,26.10,24.51,27.11,26.73
2056,25.90,28.04,26.34,28.09,26.23,24.72,27.33,26.98
2057,25.91,28.10,26.24,28.16,26.29,24.70,27.27,26.92
2058,25.91,28.04,26.29,28.04,26.26,24.74,27.29,26.93
2059,25.88,27.96,26.18,28.01,26.19,24.65,27.23,26.86
2060,25.94,28.04,26.35,28.11,26.27,24.78,27.38,27.02
2061,25.90,28.05,26.21,28.02,26.27,24.70,27.30,26.89
2062,25.93,28.09,26.33,28.16,26.29,24.75,27.43,27.04
2063,25.85,28.03,26.28,27.99,26.26,24.71,27.24,26.93
2064,25.84,28.01,26.23,28.01,26.19,24.64,27.21,26.89
2065,25.72,27.87,26.17,27.94,26.06,24.54,27.19,26.85
2066,25.91,28.11,26.34,28.18,26.28,24.74,27.43,27.07
2067,25.96,28.01,26.27,28.03,26.30,24.77,27.29,26.95
2068,25.92,28.08,26.29,28.13,26.26,24.70,27.35,26.95
2069,26.07,28.21,26.47,28.24,26.43,24.90,27.49,27.14
2070,26.01,28.15,26.36,28.18,26.36,24.81,27.41,27.05
2071,25.93,28.05,26.28,28.14,26.25,24.72,27.29,26.95
