Variable:,tasmin
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
2015,14.56,12.31,13.14,11.64,12.24
2016,14.69,12.48,13.30,11.80,12.37
2017,14.59,12.37,13.18,11.71,12.26
2018,14.56,12.31,13.13,11.62,12.21
2019,14.70,12.48,13.30,11.81,12.42
2020,14.56,12.34,13.16,11.65,12.26
2021,14.69,12.48,13.27,11.78,12.34
2022,14.81,12.56,13.38,11.88,12.45
2023,14.77,12.53,13.34,11.85,12.43
2024,14.93,12.69,13.53,12.04,12.54
2025,14.74,12.46,13.29,11.76,12.33
2026,14.83,12.57,13.38,11.88,12.49
2027,14.93,12.67,13.49,11.99,12.56
2028,14.87,12.66,13.45,11.95,12.53
2029,15.06,12.81,13.62,12.12,12.72
2030,15.09,12.86,13.67,12.15,12.71
2031,15.05,12.85,13.65,12.14,12.71
2032,15.06,12.83,13.64,12.16,12.72
2033,15.14,12.92,13.73,12.27,12.79
2034,15.03,12.82,13.62,12.13,12.65
2035,15.13,12.88,13.68,12.16,12.71
2036,15.08,12.92,13.72,12.24,12.79
2037,15.19,12.97,13.74,12.28,12.81
2038,15.27,13.04,13.84,12.37,12.92
2039,15.23,13.02,13.82,12.34,12.90
2040,15.24,13.04,13.83,12.35,12.90
2041,15.26,13.06,13.86,12.39,12.96
2042,15.36,13.16,13.95,12.47,13.06
2043,15.42,13.22,14.02,12.54,13.13
2044,15.61,13.43,14.18,12.70,13.27
2045,15.37,13.13,13.95,12.48,13.04
2046,15.53,13.36,14.18,12.71,13.21
2047,15.63,13.45,14.25,12.78,13.31
2048,15.60,13.46,14.22,12.76,13.31
2049,15.52,13.31,14.10,12.61,13.11
2050,15.54,13.34,14.11,12.63,13.13
2051,15.55,13.38,14.16,12.69,13.30
2052,15.77,13.58,14.39,12.91,13.45
2053,15.71,13.48,14.28,12.80,13.34
2054,15.68,13.46,14.24,12.76,13.28
2055,15.77,13.63,14.39,12.92,13.37
2056,15.75,13.54,14.38,12.87,13.41
2057,15.94,13.72,14.53,13.03,13.59
2058,15.80,13.61,14.38,12.92,13.46
2059,15.93,13.74,14.55,13.08,13.67
2060,15.79,13.61,14.39,12.93,13.46
2061,15.91,13.67,14.44,12.99,13.50
2062,15.88,13.64,14.45,12.96,13.50
2063,15.97,13.75,14.62,13.13,13.68
2064,15.86,13.63,14.42,12.94,13.48
2065,15.92,13.74,14.53,13.07,13.57
2066,15.83,13.62,14.47,12.97,13.61
2067,15.95,13.74,14.58,13.14,13.68
2068,16.04,13.86,14.67,13.19,13.79
2069,16.02,13.76,14.61,13.11,13.75
2070,15.97,13.80,14.60,13.13,13.65
2071,16.16,14.03,14.81,13.36,13.80
2072,16.10,13.92,14.69,13.23,13.70
2073,16.41,14.20,14.93,13.49,14.00
2074,16.10,13.92,14.70,13.25,13.81
2075,16.23,14.04,14.84,13.37,13.91
2076,16.11,13.97,14.76,13.30,13.90
2077,16.15,14.00,14.77,13.33,13.85
2078,16.16,13.99,14.78,13.34,13.83
2079,16.14,14.02,14.76,13.35,13.82
2080,16.51,14.30,15.07,13.60,14.13
2081,16.13,13.96,14.71,13.29,13.77
2082,16.29,14.02,14.83,13.33,13.88
2083,16.34,14.10,14.90,13.45,13.95
2084,16.43,14.20,15.01,13.57,14.07
2085,16.29,14.13,14.89,13.47,14.00
2086,16.28,14.13,14.93,13.46,13.98
2087,16.20,13.99,14.77,13.30,13.82
2088,16.39,14.24,15.01,13.57,14.08
2089,16.55,14.34,15.11,13.67,14.17
2090,16.26,14.09,14.90,13.48,14.02
2091,16.13,13.94,14.74,13.26,13.84
2092,16.45,14.25,15.05,13.61,14.15
2093,16.52,14.39,15.13,13.69,14.15
2094,16.48,14.35,15.15,13.73,14.20
2095,16.51,14.31,15.09,13.63,14.21
2096,16.34,14.15,14.91,13.46,14.00
2097,16.41,14.26,15.07,13.63,14.18
2098,16.47,14.36,15.10,13.66,14.25
2099,16.48,14.30,15.09,13.62,14.15
2100,16.38,14.24,15.04,13.56,14.11
