Variable:,tasmax
2015,28.56
2016,28.52
2017,28.64
2018,28.53
2019,28.66
2020,28.67
2021,28.74
2022,28.81
2023,28.75
2024,28.92
2025,28.86
2026,28.83
2027,28.78
2028,28.93
2029,28.85
2030,28.94
2031,29.02
2032,29.01
2033,29.06
2034,28.94
2035,28.96
2036,28.94
2037,29.12
2038,29.14
2039,29.15
2040,29.18
2041,29.06
2042,29.19
2043,29.09
2044,29.07
2045,29.15
2046,29.21
2047,29.22
2048,29.36
2049,29.25
2050,29.21
2051,29.23
2052,29.47
2053,29.42
2054,29.41
2055,29.39
2056,29.39
2057,29.67
2058,29.43
2059,29.50
2060,29.56
2061,29.55
2062,29.41
2063,29.66
2064,29.61
2065,29.75
2066,29.67
2067,29.57
2068,29.61
2069,29.71
2070,29.74
2071,29.63
2072,29.57
2073,29.80
2074,29.68
2075,29.78
2076,29.82
2077,29.87
2078,29.79
2079,29.70
2080,29.76
2081,29.82
2082,29.80
2083,29.79
2084,29.96
2085,29.97
2086,29.97
2087,29.96
2088,29.77
2089,30.01
2090,29.99
2091,29.93
2092,29.95
2093,29.89
2094,29.97
2095,30.12
2096,29.99
2097,29.91
2098,29.90
2099,30.01
2100,29.98
