Variable:,tasmax
,Mali,Bamako,Gao,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou
2015,36.52,34.65,37.63,35.80,36.72,35.43,36.59,35.80,34.04,36.80
2016,36.38,34.64,37.45,35.84,36.54,35.38,36.40,35.69,34.02,36.64
2017,36.68,34.64,37.69,35.92,36.93,35.51,36.69,35.84,34.10,37.03
2018,36.48,34.63,37.58,35.78,36.74,35.36,36.51,35.63,33.93,36.78
2019,36.73,34.80,37.70,36.06,36.98,35.60,36.58,35.87,34.13,37.10
2020,36.53,34.47,37.62,35.88,36.72,35.32,36.45,35.57,33.94,36.89
2021,36.64,34.65,37.68,35.88,36.89,35.40,36.49,35.65,34.11,37.03
2022,36.84,34.78,37.87,36.09,37.11,35.65,36.71,36.00,34.30,37.18
2023,36.67,34.81,37.73,36.05,36.90,35.58,36.67,35.88,34.21,36.95
2024,36.99,34.86,37.99,36.23,37.32,35.73,36.73,36.01,34.21,37.39
2025,36.84,34.85,37.91,36.11,37.15,35.65,36.72,35.92,34.26,37.16
2026,36.97,35.16,38.01,36.35,37.14,35.94,36.99,36.22,34.46,37.27
2027,36.94,35.01,37.99,36.30,37.14,35.81,36.91,36.12,34.33,37.26
2028,37.03,34.97,38.00,36.32,37.22,35.84,36.98,36.20,34.42,37.41
2029,37.08,35.10,38.18,36.34,37.31,35.89,37.07,36.23,34.51,37.40
2030,36.90,34.84,38.04,36.11,37.22,35.71,36.77,35.98,34.24,37.21
2031,37.03,34.87,37.96,36.36,37.31,35.79,36.92,36.15,34.32,37.43
2032,37.16,34.98,38.05,36.38,37.44,35.91,36.99,36.18,34.44,37.59
2033,37.22,35.26,38.27,36.46,37.52,36.03,37.06,36.34,34.64,37.56
2034,37.07,34.88,38.08,36.30,37.38,35.77,36.89,36.00,34.37,37.48
2035,37.10,35.18,38.10,36.39,37.29,35.88,36.95,36.08,34.56,37.50
2036,37.22,35.33,38.20,36.49,37.47,36.08,37.00,36.24,34.60,37.62
2037,37.45,35.36,38.48,36.68,37.71,36.21,37.32,36.52,34.78,37.84
2038,37.31,35.45,38.28,36.79,37.46,36.23,37.10,36.41,34.79,37.66
2039,37.27,35.40,38.24,36.76,37.37,36.27,37.21,36.56,34.82,37.57
2040,37.36,35.19,38.34,36.73,37.54,36.14,37.29,36.49,34.67,37.75
2041,37.49,35.56,38.58,36.75,37.75,36.34,37.36,36.63,34.92,37.83
2042,37.61,35.51,38.55,36.78,37.88,36.34,37.41,36.62,34.89,38.06
2043,37.38,35.46,38.44,36.69,37.64,36.27,37.21,36.51,34.84,37.69
2044,37.53,35.61,38.48,36.88,37.80,36.37,37.41,36.60,35.02,37.89
