Variable:,tas
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
2015,14.31,16.00,14.05,15.79,8.13,9.00,9.15,11.61,11.02,12.99,10.29,15.79
2016,14.10,15.66,13.86,15.51,8.12,8.93,9.16,11.32,11.08,12.96,10.25,15.49
2017,14.12,15.68,13.82,15.52,8.14,8.81,9.11,11.35,11.08,12.82,10.18,15.56
2018,14.47,16.06,14.05,15.68,8.47,9.24,9.27,11.61,11.24,13.28,10.31,15.92
2019,14.40,16.12,14.12,15.92,8.20,9.23,9.41,11.73,11.49,13.18,10.52,15.83
2020,14.28,15.93,13.84,15.52,7.88,8.68,9.03,11.63,11.10,12.56,10.11,15.94
2021,14.77,16.21,14.34,16.00,8.52,9.50,9.59,12.03,11.62,13.46,10.68,16.25
2022,14.57,16.35,14.33,16.12,8.35,9.49,9.44,12.02,11.42,13.10,10.57,16.06
2023,14.36,15.91,14.29,15.99,8.45,9.18,9.40,11.99,11.39,13.32,10.51,15.77
2024,14.57,16.14,14.30,15.98,8.61,9.22,9.61,11.92,11.64,13.36,10.66,16.02
2025,15.24,16.95,15.16,16.90,9.28,10.22,10.47,12.74,12.52,14.12,11.54,16.65
2026,14.97,16.53,14.73,16.35,8.84,9.68,9.87,12.45,11.90,13.69,11.03,16.44
2027,14.94,16.58,14.78,16.54,8.88,9.80,9.99,12.35,12.02,13.81,11.11,16.35
2028,14.52,16.22,14.15,15.88,8.17,9.26,9.15,11.78,11.11,13.05,10.27,16.06
2029,14.83,16.50,14.55,16.31,8.71,9.67,9.68,12.14,11.59,13.63,10.79,16.29
2030,15.18,16.86,15.04,16.80,9.14,10.08,10.08,12.68,11.96,14.06,11.24,16.59
2031,14.79,16.41,14.66,16.31,8.90,9.47,9.88,12.26,11.78,13.76,10.92,16.23
2032,14.89,16.42,14.66,16.25,8.95,9.61,10.10,12.33,11.98,13.73,11.17,16.29
2033,14.79,16.33,14.51,16.12,8.70,9.40,9.75,12.15,11.63,13.56,10.84,16.27
2034,15.23,17.02,15.01,16.89,9.07,10.18,9.97,12.50,11.85,13.99,11.10,16.68
2035,15.08,16.65,14.75,16.45,9.32,9.72,10.24,12.29,11.96,14.10,11.23,16.48
2036,15.04,16.67,14.60,16.43,8.74,9.71,9.76,12.21,11.72,13.57,10.85,16.56
2037,15.09,16.75,14.89,16.69,8.96,10.01,10.01,12.57,11.99,13.85,11.14,16.54
2038,14.71,16.22,14.62,16.14,8.86,9.34,9.92,12.47,12.03,13.64,11.01,16.14
