Variable:,tasmax
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
2015,31.76,31.65,31.51,30.41,28.61
2016,31.71,31.59,31.51,30.36,28.53
2017,31.74,31.60,31.51,30.41,28.68
2018,31.78,31.69,31.56,30.49,28.67
2019,31.83,31.71,31.63,30.57,28.83
2020,31.82,31.68,31.58,30.40,28.59
2021,31.87,31.78,31.65,30.60,28.81
2022,31.91,31.74,31.68,30.57,28.82
2023,31.93,31.80,31.72,30.64,28.89
2024,32.10,31.99,31.86,30.74,28.92
2025,31.96,31.88,31.73,30.64,28.83
2026,32.05,31.89,31.81,30.62,28.86
2027,32.09,31.96,31.84,30.67,28.89
2028,32.09,31.95,31.90,30.74,28.94
2029,32.20,32.06,31.98,30.87,29.04
2030,32.02,31.87,31.79,30.63,28.85
2031,32.03,31.94,31.82,30.78,29.03
2032,32.26,32.11,32.05,30.85,28.96
2033,32.26,32.06,32.05,30.91,29.15
2034,32.19,32.11,31.97,30.86,29.01
2035,32.31,32.17,32.06,30.90,29.06
2036,32.25,32.14,32.00,30.85,29.04
2037,32.43,32.27,32.18,31.01,29.16
2038,32.47,32.28,32.29,31.08,29.30
2039,32.42,32.23,32.17,30.96,29.15
2040,32.48,32.35,32.25,31.09,29.32
2041,32.49,32.36,32.24,31.07,29.23
2042,32.45,32.27,32.22,31.10,29.32
2043,32.51,32.35,32.25,31.08,29.26
2044,32.47,32.31,32.20,31.02,29.22
2045,32.59,32.47,32.30,31.08,29.19
2046,32.69,32.57,32.41,31.23,29.45
2047,32.72,32.55,32.46,31.29,29.43
2048,32.72,32.54,32.49,31.28,29.53
2049,32.59,32.43,32.34,31.21,29.46
2050,32.57,32.45,32.32,31.23,29.41
2051,32.61,32.46,32.38,31.18,29.44
2052,32.93,32.76,32.69,31.45,29.62
2053,32.89,32.73,32.62,31.38,29.52
2054,32.88,32.74,32.60,31.41,29.68
2055,32.90,32.68,32.65,31.42,29.63
2056,32.88,32.69,32.61,31.43,29.62
2057,33.00,32.79,32.73,31.52,29.64
2058,32.93,32.73,32.68,31.50,29.67
2059,33.03,32.88,32.79,31.60,29.67
2060,33.19,33.01,32.92,31.68,29.78
2061,32.87,32.72,32.63,31.41,29.62
2062,32.94,32.75,32.72,31.54,29.75
2063,33.07,32.94,32.81,31.63,29.88
2064,33.09,32.91,32.84,31.59,29.80
2065,33.06,32.85,32.78,31.59,29.79
2066,33.07,32.90,32.81,31.60,29.69
2067,33.10,32.94,32.80,31.63,29.71
2068,33.27,33.13,32.97,31.72,29.76
2069,33.30,33.19,32.95,31.72,29.81
2070,33.08,32.94,32.80,31.64,29.84
2071,33.15,33.03,32.84,31.61,29.79
2072,33.27,33.12,32.95,31.76,29.89
2073,33.38,33.17,33.16,31.95,30.14
2074,33.18,32.98,32.91,31.66,29.87
2075,33.10,32.90,32.84,31.63,29.82
2076,33.29,33.08,33.02,31.74,29.97
2077,33.59,33.39,33.29,32.01,30.02
2078,33.32,33.10,33.10,31.84,30.16
2079,33.33,33.14,33.08,31.83,30.07
2080,33.44,33.31,33.15,31.96,30.11
2081,33.43,33.22,33.11,31.88,30.05
2082,33.50,33.28,33.23,31.91,30.10
2083,33.25,33.05,32.98,31.82,30.05
2084,33.46,33.26,33.16,31.94,30.04
2085,33.50,33.38,33.22,32.08,30.27
2086,33.66,33.48,33.37,32.12,30.13
2087,33.41,33.20,33.17,31.91,30.12
2088,33.41,33.23,33.17,31.96,30.12
2089,33.43,33.28,33.13,31.90,30.09
2090,33.47,33.36,33.20,32.00,30.15
2091,33.53,33.41,33.23,32.07,30.34
2092,33.68,33.54,33.41,32.21,30.31
2093,33.43,33.22,33.22,32.03,30.25
2094,33.59,33.34,33.29,31.99,30.04
2095,33.58,33.39,33.31,32.11,30.28
2096,33.51,33.38,33.20,31.99,30.08
2097,33.48,33.28,33.19,31.92,30.19
2098,33.63,33.45,33.36,32.11,30.23
2099,33.64,33.43,33.37,32.08,30.28
2100,33.65,33.40,33.38,32.11,30.27
