Variable:,tasmin
,"Cocos (Keeling) Islands","Administrative unit not available"
2015,24.56,24.42
2016,24.63,24.44
2017,24.79,24.55
2018,24.89,24.69
2019,24.76,24.58
2020,24.73,24.57
2021,24.79,24.64
2022,24.74,24.66
2023,24.80,24.65
2024,24.84,24.61
2025,24.68,24.54
2026,24.84,24.64
2027,24.75,24.52
2028,24.94,24.77
2029,24.85,24.64
2030,24.93,24.75
2031,24.86,24.61
2032,24.95,24.72
2033,24.97,24.86
2034,25.00,24.76
2035,25.13,24.94
2036,25.07,24.86
2037,25.00,24.81
2038,25.15,24.92
2039,25.13,24.92
2040,25.11,24.91
2041,25.15,24.96
2042,24.95,24.78
2043,25.00,24.79
2044,25.10,24.92
2045,25.16,24.96
2046,24.98,24.77
2047,24.99,24.84
2048,25.08,24.87
2049,25.05,24.87
2050,25.16,25.01
2051,25.18,24.95
2052,25.12,24.94
2053,25.08,24.78
2054,25.12,24.88
2055,25.09,24.88
2056,25.05,24.88
2057,24.80,24.61
2058,24.86,24.66
2059,25.12,24.91
2060,24.97,24.75
2061,25.07,24.93
2062,24.94,24.71
2063,24.97,24.79
2064,24.75,24.58
2065,24.98,24.84
2066,24.98,24.80
2067,25.12,24.90
2068,25.15,24.98
2069,24.87,24.67
2070,24.96,24.77
2071,25.11,24.91
2072,25.02,24.83
2073,25.00,24.80
2074,24.97,24.72
2075,25.02,24.80
2076,25.13,24.96
2077,25.03,24.79
2078,25.01,24.79
2079,25.03,24.84
2080,24.92,24.69
2081,24.99,24.81
2082,24.90,24.72
2083,25.07,24.91
2084,25.09,24.92
2085,24.77,24.55
2086,25.00,24.73
2087,25.10,24.85
2088,24.90,24.69
2089,24.71,24.58
2090,25.01,24.88
2091,25.06,24.78
2092,24.96,24.74
2093,24.83,24.68
2094,24.72,24.56
2095,25.04,24.86
2096,24.91,24.74
2097,24.78,24.54
2098,24.84,24.72
2099,24.75,24.60
2100,24.73,24.59
