Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2015,22.26,11.11,25.11,17.84,25.02,14.51,23.59,19.67,11.03,14.35,22.58
2016,22.13,11.00,25.05,17.58,24.91,14.47,23.43,19.49,11.07,14.25,22.51
2017,22.28,10.94,25.07,17.65,25.03,14.40,23.57,19.63,11.12,14.26,22.74
2018,22.38,11.25,25.03,17.96,25.09,14.70,23.79,19.71,11.18,14.51,22.70
2019,22.52,11.21,25.05,17.94,25.46,14.74,23.95,19.64,11.23,14.39,22.83
2020,22.50,11.30,25.16,17.92,25.27,14.75,23.88,19.76,11.45,14.57,22.87
2021,22.51,11.36,25.14,17.96,25.32,14.72,23.86,19.91,11.39,14.62,22.83
2022,22.46,11.30,25.25,17.92,25.27,14.75,23.76,19.81,11.30,14.53,22.84
2023,22.47,11.39,25.30,17.96,25.24,14.88,23.74,19.84,11.37,14.53,22.85
2024,22.60,11.47,25.29,18.01,25.45,14.87,23.80,19.92,11.42,14.71,23.06
2025,22.71,11.64,25.23,18.26,25.49,14.96,24.09,20.14,11.38,14.80,23.00
2026,22.70,11.42,25.44,18.12,25.62,14.87,24.05,19.94,11.35,14.56,23.06
2027,22.57,11.37,25.42,17.97,25.50,14.76,23.80,19.90,11.44,14.68,22.95
2028,22.72,11.57,25.36,18.24,25.58,15.05,24.11,20.04,11.44,14.71,22.99
2029,22.69,11.50,25.34,18.15,25.53,14.97,24.05,19.99,11.47,14.74,23.04
2030,22.81,11.60,25.38,18.26,25.67,15.02,24.12,20.19,11.56,14.89,23.12
2031,22.79,11.61,25.42,18.18,25.70,15.05,24.19,20.01,11.51,14.74,23.12
2032,22.73,11.47,25.52,18.21,25.61,14.98,24.03,20.04,11.55,14.80,23.06
2033,22.78,11.53,25.52,18.14,25.65,14.89,24.23,20.08,11.69,14.85,23.04
2034,22.83,11.56,25.46,18.25,25.74,15.07,24.17,20.10,11.71,14.89,23.16
2035,22.71,11.80,25.27,18.24,25.46,15.08,23.98,20.15,11.61,14.98,23.08
2036,22.99,11.84,25.42,18.54,25.94,15.21,24.46,20.35,11.56,14.93,23.14
2037,22.96,11.82,25.50,18.45,25.81,15.16,24.27,20.20,11.57,14.91,23.34
2038,22.97,11.63,25.48,18.30,25.88,15.05,24.29,20.27,11.64,14.87,23.36
2039,22.94,11.69,25.55,18.32,25.78,15.13,24.30,20.18,11.52,14.83,23.33
2040,22.81,11.60,25.46,18.22,25.75,15.05,24.12,20.10,11.69,14.83,23.15
2041,22.97,11.71,25.48,18.35,25.91,15.17,24.26,20.29,11.69,14.96,23.33
2042,23.00,11.92,25.42,18.55,25.92,15.26,24.31,20.27,11.59,14.82,23.34
2043,23.04,11.87,25.46,18.55,25.97,15.25,24.39,20.41,11.64,15.01,23.32
2044,22.86,11.86,25.62,18.44,25.61,15.24,24.19,20.26,11.67,14.95,23.17
2045,22.99,11.86,25.53,18.51,25.82,15.17,24.34,20.31,11.72,14.98,23.31
2046,23.07,12.05,25.44,18.61,25.95,15.40,24.34,20.43,11.72,15.00,23.40
2047,22.93,11.78,25.55,18.32,25.80,15.10,24.21,20.22,11.84,15.03,23.34
2048,23.02,11.71,25.52,18.46,25.89,15.13,24.34,20.27,11.65,14.95,23.40
2049,23.19,11.96,25.47,18.70,26.07,15.24,24.43,20.60,11.87,15.23,23.54
2050,23.10,11.87,25.38,18.53,25.96,15.23,24.43,20.41,11.83,15.10,23.45
2051,23.11,11.72,25.55,18.56,26.00,15.27,24.48,20.28,11.75,15.03,23.46
2052,22.97,11.69,25.69,18.40,25.85,15.11,24.41,20.29,11.74,14.96,23.25
2053,23.13,11.96,25.52,18.63,26.07,15.31,24.58,20.30,11.66,14.86,23.41
2054,23.11,11.72,25.66,18.42,26.08,15.11,24.37,20.36,11.70,15.03,23.51
2055,23.03,11.88,25.48,18.49,25.79,15.27,24.41,20.32,11.75,15.02,23.39
2056,23.15,11.93,25.63,18.51,26.01,15.23,24.56,20.28,11.51,14.85,23.55
2057,23.10,11.70,25.58,18.46,25.95,15.17,24.49,20.39,11.84,15.00,23.44
2058,23.07,11.92,25.69,18.53,25.93,15.33,24.40,20.34,11.74,15.06,23.44
2059,23.12,11.76,25.55,18.53,25.93,15.17,24.50,20.44,11.84,15.04,23.46
2060,23.41,12.11,25.65,18.80,26.37,15.41,24.68,20.67,11.86,15.22,23.80
2061,23.09,11.94,25.63,18.53,26.00,15.23,24.30,20.45,11.93,15.25,23.46
2062,23.10,11.72,25.66,18.46,26.00,15.23,24.36,20.49,11.91,15.11,23.48
2063,23.17,12.04,25.59,18.65,26.04,15.40,24.52,20.51,11.86,15.16,23.46
2064,23.13,11.92,25.75,18.59,25.96,15.34,24.57,20.46,11.66,15.03,23.39
2065,23.17,11.91,25.57,18.62,25.98,15.35,24.48,20.53,11.84,15.11,23.56
2066,23.29,12.03,25.55,18.75,26.22,15.55,24.55,20.74,11.84,15.22,23.61
2067,23.16,12.03,25.61,18.60,26.02,15.43,24.51,20.42,11.89,15.17,23.51
2068,23.02,11.91,25.74,18.44,25.87,15.33,24.35,20.31,11.84,15.03,23.36
2069,23.17,11.95,25.64,18.54,26.08,15.29,24.48,20.57,11.84,15.13,23.50
2070,23.15,12.24,25.60,18.66,25.98,15.47,24.47,20.50,11.89,15.18,23.47
